Japanese::N5::Advice & recommendations | 早く寝たほうがいいです。 | You had better go to bed early. | [ha.ja.kɯ ne.ta hoː.ɡa i.i.de.sɯ] | [hajak neta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | タバコはやめたほうがいいです。 | You had better give up smoking. | [ta.ba.ko.ɰa ja.me.ta hoː.ɡa i.i.de.sɯ] | [tabako βa jameta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 夜遅く歩かないほうがいいです。 | You had better not walk late at night. | [jo.ɾɯ o.to.so.kɯ a.ɾɯ.ka.na.i hoː.ɡa i.i.de.sɯ] | [joɾɯ otosok aɾɯkanai hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 甘いものを食べすぎないほうがいいです。 | You had better not eat too many sweet things. | [a.ma.i mo.no.o ta.be.sɯ.ɡi.na.i hoː.ɡa i.i.de.sɯ] | [amai mono o tabesɯŋinai hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 先生に相談したほうがいいです。 | You had better consult your teacher. | [se.ɴ.seː.ni soː.da.ɴ.ɕi.ta hoː.ɡa i.i.de.sɯ] | [seɴseː ni soːdaɴ ɕita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 予約をしたほうがいいです。 | You had better make a reservation. | [jo.ja.kɯ.o ɕi.ta hoː.ɡa i.i.de.sɯ] | [jojak o ɕita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 飛行機より新幹線のほうが安いです。 | The Shinkansen is cheaper than flying. | [hi.koː.ki.jo.ɾi ɕi.ɴ.ka.ɴ.se.ɴ.no hoː.ɡa ja.sɯ.i.de.sɯ] | [hkoːkʲi joɾi ɕiŋkaɴseɴ no hoː ŋa jasɯi de͍sᶍ]
Japanese::N5::Advice & recommendations | 夏より冬のほうが好きです。 | I like winter better than summer. | [na.tsɯ.jo.ɾi fɯ.jɯ.no hoː.ɡa sɯ.ki.de.sɯ̥] | [nats joɾi ɸɯjɯ no hoː ŋa sk i de͍sᶍ]
Japanese::N5::Advice & recommendations | 漢字よりひらがなのほうが簡単です。 | Hiragana is easier than kanji. | [ka.ɴ.ji.jo.ɾi hi.ra.ɡa.na.no hoː.ɡa ka.ɴ.ta.ɴ.de.sɯ] | [kaɴdʑi joɾi hiɾaŋana no hoː ŋa kaɴtaɴ de͍sᶍ]
Japanese::N5::Advice & recommendations | 英語より日本語のほうが面白いです。 | Japanese is more interesting than English. | [eː.ɡo.jo.ɾi ni.ho.ɴ.ɡo.no hoː.ɡa o.mo.ɕi.ro.i.de.sɯ] | [eːŋo joɾi nihoɴŋo no hoː ŋa omoɕiɾoi de͍sᶍ]
Japanese::N5::Advice & recommendations | 早く起きたほうがいいですよ。 | You had better wake up early. | [ha.ja.kɯ o.ki.ta hoː.ɡa i.i.de.sɯ.jo] | [hajak okʲita hoː ŋa iː des jo]
Japanese::N5::Advice & recommendations | 自分で作ったほうが安いです。 | Making it yourself is cheaper. | [ji.bɯ.ɴ.de tsɯ.kɯ.ʔ.ta hoː.ɡa ja.sɯ.i.de.sɯ] | [dʑibɯɴ de tsɯkɯ t ta hoː ŋa jasɯi de͍sᶍ]
Japanese::N5::Advice & recommendations | お金をたくさん持って行かないほうがいいです。 | You had better not take a lot of money with you. | [o.ka.ne.o ta.kɯ.sa.ɴ mo.ʔ.te i.ka.na.i hoː.ɡa i.i.de.sɯ] | [okane o takɯsaɴ mo t te ikanai hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 休んだほうがいいです。 | You had better take a rest. | [ja.sɯ.ɴ.da hoː.ɡa i.i.de.sɯ] | [jasɯnda hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 心配しないほうがいいですよ。 | You had better not worry. | [ɕi.ɴ.pa.i ɕi.na.i hoː.ɡa i.i.de.sɯ.jo] | [ɕimpai ɕinai hoː ŋa iː des jo]
Japanese::N5::Advice & recommendations | 復習をしたほうがいいです。 | You had better revise your lessons. | [fɯ.kɯ.ɕɯː.o ɕi.ta hoː.ɡa i.i.de.sɯ] | [ɸɯkɯɕɯː o ɕita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | コートを着たほうがいいです。 | You had better wear a coat. | [koː.to.o ki.ta hoː.ɡa i.i.de.sɯ] | [koːto o kʲita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | お酒を飲みすぎないほうがいいです。 | You had better not drink too much alcohol. | [o.sa.ke.o no.mi.sɯ.ɡi.na.i hoː.ɡa i.i.de.sɯ] | [osake o nomisɯŋinai hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 静かにしたほうがいいです。 | You had better keep quiet. | [ɕi.zɯ.ka.ni ɕi.ta hoː.ɡa i.i.de.sɯ] | [ɕizɯka ni ɕita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 早めに出発したほうがいいです。 | You had better set off early. | [ha.ja.me.ni ɕɯ.ʔ.pa.tsɯ.ɕi.ta hoː.ɡa i.i.de.sɯ] | [hajame ni ɕɯp patɕita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 野菜をたくさん食べたほうがいいです。 | You had better eat plenty of vegetables. | [ja.sa.i.o ta.kɯ.sa.ɴ ta.be.ta hoː.ɡa i.i.de.sɯ] | [jasai o takɯsaɴ tabeta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 辞書を引いたほうがいいです。 | You had better look it up in the dictionary. | [ji.ɕo.o hi.ː.ta hoː.ɡa i.i.de.sɯ] | [dʑiɕo o hːta hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | この靴のほうがいいです。 | These shoes are better. | [ko.no kɯ.tsɯ.no hoː.ɡa i.i.de.sɯ] | [kono kɯts no hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | 直ぐに電話したほうがいいです。 | You had better call right away. | [sɯ.ɡɯ.ni de.ɴ.ɰa.ɕi.ta hoː.ɡa i.i.de.sɯ] | [sɯŋɯ ni deŋβa ɕita hoː ŋa iː de͍sᶍ]
Japanese::N5::Advice & recommendations | タクシーで行くほうが便利です。 | Going by taxi is more convenient. | [ta.kɯ.ɕiː.de i.kɯ hoː.ɡa be.ɴ.ɾi.de.sɯ] | [takɯɕiː de ik hoː ŋa beɴɾi de͍sᶍ]
