Japanese::N5::Food, shopping & ordering | 水を一杯ください。 | Please give me a glass of water. | [mi.zɯ.o. ꜜ i me.pa.i.kɯ.da.sa.i. ◌̄] | [mi.zɯ.o.i.pa.i.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | レシートをください。 | Please give me the receipt. | [ʁe.ɕiː.to.o. ꜜ kɯ.da.sa.i. ◌̄] | [ʁe.ɕiː.to.o.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | 何をお召し上がりになりますか。 | What would you like to eat? | [na.ni.o.o.me.ɕi.a.ga.ʁi.ni. ꜜ na.ʁi.ma.sɯ.ka. ◌̄] | [na.ni.o.o.me.ɕi.a.ɡa.ʁi.ni.na.ʁi.ma.sɯ.ka]
Japanese::N5::Food, shopping & ordering | カレーライスをお願いします。 | Curry rice, please. | [ka.ʁeː.ʁa.i.sɯ.o. ꜜ o.ne.ga.i.ɕi.ma.sɯ̥. ◌̄] | [ka.ʁeː.ʁa.i.sɯ.o.o.ne.ɡa.i.ɕi.ma.sɯ]
Japanese::N5::Food, shopping & ordering | 食後にお茶をください。 | Please bring tea after the meal. | [ɕyo.kɯ.go.ni.o.tɕa.o. ꜜ kɯ.da.sa.i. ◌̄] | [ɕyo.kɯ.ɡo.ni.o.tɕa.o.kɯ.da.sa.i]
Japanese::N5::Food, shopping & ordering | お腹がすきました。 | I am hungry. | [o.na.ka.ga. ꜜ sɯ.ki.ma.ɕi.ta. ◌̄] | [o.na.ka.ɡa.sɯ.ki.ma.ɕi.ta]
Japanese::N5::Food, shopping & ordering | 喉が渇きました。 | I am thirsty. | [no.do.ga. ꜜ ka.ɰa.ki.ma.ɕi.ta. ◌̄] | [no.do.ɡa.ka.ɰa.ki.ma.ɕi.ta]
Japanese::N5::Food, shopping & ordering | 喉が渇いたので水を飲みます。 | I will drink water because I am thirsty. | [no.do.ga.ka.ɰa.i.ta.no.de. ꜜ mi.zɯ.o.no.mi.ma.sɯ̥. ◌̄] | [no.do.ɡa.ka.ɰa.i.ta.no.de.mi.zɯ.o.no.mi.ma.sɯ]
Japanese::N5::Food, shopping & ordering | お腹がいっぱいです。 | I am full. | [o.na.ka.ga. ꜜ i me.pa.i.de.sɯ̥. ◌̄] | [o.na.ka.ɡa.i.pa.i.de.sɯ]
Japanese::N5::Food, shopping & ordering | ごちそうさまでした。 | Thank you for the meal. | [go.tɕi.soː.sa.ma. ꜜ de.ɕi.ta. ◌̄] | [ɡo.tɕi.soː.sa.ma.de.ɕi.ta]
Japanese::N5::Food, shopping & ordering | この肉はとても美味しいです。 | This meat is very delicious. | [ko.no.ni.kɯ.ɰa. ꜜ to.te.mo.o.i.ɕiː.de.sɯ̥. ◌̄] | [ko.no.ni.kɯ.ɰa.to.te.mo.o.i.ɕiː.de.sɯ]
Japanese::N5::Food, shopping & ordering | 魚と野菜を買いました。 | I bought fish and vegetables. | [sa.ka.na.to.ya.sa.i.o. ꜜ ka.i.ma.ɕi.ta. ◌̄] | [sa.ka.na.to.ya.sa.i.o.ka.i.ma.ɕi.ta]
Japanese::N5::Food, shopping & ordering | 果物を食べたいです。 | I want to eat fruit. | [kɯ.da.mo.no.o. ꜜ ta.be.ta.i.de.sɯ̥. ◌̄] | [kɯ.da.mo.no.o.ta.be.ta.i.de.sɯ]
Japanese::N5::Food, shopping & ordering | 一緒にお弁当を食べましょう。 | Let's eat bento together. | [i me.ɕyo.ni.o.be.ɴ.toː.o. ꜜ ta.be.ma.ɕyoː. ◌̄] | [i.ɕo.ni.o.be.ɴ.toː.o.ta.be.ma.ɕyoː]
Japanese::N5::Food, shopping & ordering | 朝ご飯にパンを食べます。 | I eat bread for breakfast. | [a.sa.go.ha.ɴ.ni. ꜜ pa.ɴ.o.ta.be.ma.sɯ̥. ◌̄] | [a.sa.ɡo.ha.ɴ.ni.pa.ɴ.o.ta.be.ma.sɯ]
Japanese::N5::Food, shopping & ordering | 晩ご飯に何をを食べますか。 | What will you eat for dinner? | [ba.ɴ.go.ha.ɴ.ni. ꜜ na.ni.o.ta.be.ma.sɯ.ka. ◌̄] | [ba.ɴ.ɡo.ha.ɴ.ni.na.ni.o.ta.be.ma.sɯ.ka]
Japanese::N5::Food, shopping & ordering | 寿司を食べに行きます。 | I am going to eat sushi. | [sɯ.ɕi.o. ꜜ ta.be.ni.i.ki.ma.sɯ̥. ◌̄] | [sɯ.ɕi.o.ta.be.ni.i.ki.ma.sɯ]
Japanese::N5::Food, shopping & ordering | お土産をたくさん買いました。 | I bought many souvenirs. | [o.mi.ya.ge.o. ꜜ ta.kɯ.sa.ɴ.ka.i.ma.ɕi.ta. ◌̄] | [o.mi.ya.ɡe.o.ta.kɯ.sa.ɴ.ka.i.ma.ɕi.ta]
