Japanese::N5::Hobbies & Free-Time Activities | 暇な時に音楽を聴きます。 | I listen to music in my free time. | [hima͍ na͍ to̞ki ni o̞ɴɡa͍kɯ͍ o̞ ki kɯ͍ma͍sɨ̥] | [hima͍ na͍ to̞ki ɲi o̞ŋɡa͍kɯ͍ o̞ kikɯ͍ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | ピアノの練習を毎日します。 | I practice the piano every day. | [pia͍no̞ no̞ ɾe̞ɴɕɯː o̞ ma͍iɲit͡ɕi ɕima͍sɨ̥] | [pia͍no̞ no̞ ɾe̞ɴɕɯː o̞ ma͍iɲit͡ɕi ɕima͍s]
Japanese::N5::Hobbies & Free-Time Activities | 絵を描くことが得意です。 | I am good at drawing pictures. | [e̞ o̞ ka͍kɯ͍ ko̞to̞ ɡa̠ to̞kɯ͍i de̞sɨ̥] | [e̞ o̞ ka͍kɯ͍ ko̞to̞ ɡa͍ to̞kɯ͍i de̞s]
Japanese::N5::Hobbies & Free-Time Activities | アニメを見るのが大好きです。 | I love watching anime. | [a͍ɲime̞ o̞ mi ɾɯ͍ no̞ ɡa̠ da͍isɯ͍ki de̞sɨ̥] | [a͍ɲime̞ o̞ miɾɯ͍ no̞ ɡa͍ da͍iski de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 時々山へハイキングに行きます。 | Sometimes I go hiking in the mountains. | [to̞kid͡zo̞ki ja͍ma͍ e̞ ha͍ikiɴɡɯ͍ ni iki ma͍sɨ̥] | [to̞kid͡zo̞ki ja͍ma͍ e̞ ha͍ikʲiŋɡɯ͍ ɲiːki ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 歌を歌うのが下手です。 | I am bad at singing songs. | [ɯ͍ta͍ o̞ ɯ͍ta͍ɯ͍ no̞ ɡa̠ he̞ta͍ de̞sɨ̥] | [ɯ͍ta͍ o̞ ɯ͍ta͍ɯ͍ no̞ ɡa͍ he̞ta͍ de̞s]
Japanese::N5::Hobbies & Free-Time Activities | インターネットで動画を見ます。 | I watch videos on the internet. | [iɴtaːne̞tːo̞ de̞ doːɡa͍ o̞ mi ma͍sɨ̥] | [iɴtaːne̞tːo̞ de̞ doːɡa͍ o̞ mi ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 友達とおしゃべりをするのは面白 いです。 | Chatting with friends is interesting. | [to̞mo͍da͍t͡ɕi to̞ o̞ɕa͍be̞ɾʲi o̞ sɯ͍ɾɯ͍ no̞ wa̠ o̞mo̞ɕiɾo̞i de̞sɨ̥] | [to̞mo͍da͍t͡ɕʲi to̞ o̞ɕa͍be̞ɾʲi o̞ sɾɯ͍ no̞ wa̠ o̞mo̞ɕro̞i de̞s]
Japanese::N5::Hobbies & Free-Time Activities | カフェでコーヒーを飲みながら読書します。 | I read books while drinking coffee at a cafe. | [ka͍fe̞ de̞ koːhiː o̞ no̞mi na͍ɡa͍ɾa͍ do̞kɯ͍ɕo̞ ɕima͍sɨ̥] | [ka͍fe̞ de̞ koːhiː o̞ no̞mi na͍ɡa͍ɾa͍ do̞kɯ͍ɕo̞ ɕima͍s]
Japanese::N5::Hobbies & Free-Time Activities | ジョギングをするのが習慣です。 | Jogging is my habit. | [d͡ʑo̞ɡʲiɴɡɯ͍ o̞ sɯ͍ɾɯ͍ no̞ ɡa̠ ɕɯːka͍ɴ de̞sɨ̥] | [d͡ʑo̞ɡʲiŋɡɯ͍ o̞ sɾɯ͍ no̞ ɡa͍ ɕɯːka͍ɴ de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 外国語を勉強するのは面白いです。 | Studying foreign languages is interesting. | [ɡa͍iko͍kɯ͍ɡo̞ o̞ be̞ɴkʲoː sɯ͍ɾɯ͍ no̞ wa̠ o̞mo̞ɕiɾo̞i de̞sɨ̥] | [ɡa͍iko͍kɯ͍ɡo̞ o̞ be̞ŋkʲoː sɾɯ͍ no̞ wa̠ o̞mo̞ɕro̞i de̞s]
Japanese::N5::Hobbies & Free-Time Activities | ダンスを習っています。 | I am learning dancing. | [da͍ɴsɯ͍ o̞ na͍ɾa͍tːe̞ ima͍sɨ̥] | [da͍ɴs o̞ na͍ɾa͍tːe͍ima͍s]
Japanese::N5::Hobbies & Free-Time Activities | 釣りが好きでよく川へ行きます。 | I like fishing and often go to the river. | [t͡sɯ͍ɾʲi ɡa̠ sɯ͍ki de̞ jo̞kɯ͍ ka͍wa͍ e̞ iki ma͍sɨ̥] | [t͡sɯ͍ɾʲi ɡa͍ ski de̞ jo̞kɯ͍ ka͍wa͍ e̞ːki ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 漫画をたくさん読んでいます。 | I am reading many manga books. | [ma͍ɴɡa͍ o̞ ta͍kɯ͍sa͍ɴ jo̞ɴde̞ ima͍sɨ̥] | [ma͍ŋɡa͍ o̞ ta͍k͡sa͍ŋ jo̞ɴde͍ima͍s]
Japanese::N5::Hobbies & Free-Time Activities | スポーツ観戦が好きですか。 | Do you like watching sports games? | [sɯ͍poːt͡sɯ͍ ka͍ɴse̞ɴ ɡa̠ sɯ͍ki de̞sɨ̥ ka͍] | [spoːt͡s ka͍ɴse̞ŋ ɡa͍ ski de̞ska͍]
Japanese::N5::Hobbies & Free-Time Activities | テニスをするのが得意ではありません。 | I am not good at playing tennis. | [te̞ɲisɯ͍ o̞ sɯ͍ɾɯ͍ no̞ ɡa̠ to̞kɯ͍i de̞ wa̠ a̠ɾʲima͍se̞ɴ] | [te̞ɲis o̞ sɾɯ͍ no̞ ɡa͍ to̞kɯ͍i de̞ wa̠ a͍ɾʲima͍se̞ŋ]
Japanese::N5::Hobbies & Free-Time Activities | お菓子作りが趣味です。 | Making sweets is my hobby. | [o̞ka͍ɕi zɯ͍kɯ͍ɾʲi ɡa̠ ɕɯ͍mi de̞sɨ̥] | [o̞ka͍ɕi zɯ͍kɯ͍ɾʲi ɡa͍ ɕɯ͍mi de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 友達と買い物に行くのが好きです。 | I like going shopping with friends. | [to̞mo͍da͍t͡ɕi to̞ ka͍imo̞no̞ ni ikɯ͍ no̞ ɡa̠ sɯ͍ki de̞sɨ̥] | [to̞mo͍da͍t͡ɕʲi to̞ ka͍imo̞no̞ ɲiːkɯ͍ no̞ ɡa͍ ski de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 博物館へ行くのが楽しみです。 | I look forward to going to the museum. | [ha͍kɯ͍bɯ͍t͡sɯ͍ka͍ɴ e̞ ikɯ͍ no̞ ɡa̠ ta͍no̞ɕimi de̞sɨ̥] | [ha͍kɯ͍bɯ͍t͡sɯ͍ka͍ɴ e̞ːkɯ͍ no̞ ɡa͍ ta͍no̞ɕimi de̞s]
Japanese::N5::Hobbies & Free-Time Activities | キャンプに行く計画があります。 | I have plans to go camping. | [kʲa͍mpɯ͍ ni ikɯ͍ keːka͍kɯ͍ ɡa̠ a̠ɾʲima͍sɨ̥] | [kʲa͍mpɯ͍ ɲiːkɯ͍ keːka͍kɯ͍ ɡa͍ a͍ɾʲima͍s]
Japanese::N5::Hobbies & Free-Time Activities | ピアノを弾くのが上手ですね。 | You are good at playing the piano, aren't you? | [pia͍no̞ o̞ hikɯ͍ no̞ ɡa̠ d͡ʑoːzɯ͍ de̞sɨ̥ ne̞] | [pia͍no̞ o̞ hikɯ͍ no̞ ɡa͍ d͡ʑoːz de̞sne̞]
Japanese::N5::Hobbies & Free-Time Activities | 映画館で映画を見ました。 | I watched a movie at the cinema. | [eːɡa͍ka͍ɴ de̞ eːɡa͍ o̞ mi ma͍ɕita͍] | [eːɡa͍ka͍ɴ de̞ eːɡa͍ o̞ mi ma͍ɕta͍]
Japanese::N5::Hobbies & Free-Time Activities | 散歩をしながらラジオを聞きます。 | I listen to the radio while taking a walk. | [sa͍mpo̞ o̞ ɕi na͍ɡa͍ɾa͍ ɾa͍d͡ʑio̞ o̞ ki ki ma͍sɨ̥] | [sa͍mpo̞ o̞ ɕi na͍ɡa͍ɾa͍ ɾa͍d͡ʑio̞ o̞ kikɯ͍ma͍s]
Japanese::N5::Hobbies & Free-Time Activities | 庭で花を育てるのが好きです。 | I like growing flowers in the garden. | [ɲiwa͍ de̞ ha͍na͍ o̞ so̞ta͍te̞ɾɯ͍ no̞ ɡa̠ sɯ͍ki de̞sɨ̥] | [ɲiwa͍ de̞ ha͍na͍ o̞ so̞ta͍te̞ɾɯ͍ no̞ ɡa͍ ski de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 友達とボードゲームを遊んでいます。 | I am playing board games with friends. | [to̞mo͍da͍t͡ɕi to̞ boːdo̞ɡeːmɯ͍ o̞ a͍so̞ɴde̞ ima͍sɨ̥] | [to̞mo͍da͍t͡ɕʲi to̞ boːdo̞ɡeːm o̞ a͍so̞ɴde͍ima͍s]
Japanese::N5::Hobbies & Free-Time Activities | カラオケで歌を歌いました。 | I sang songs at karaoke. | [ka͍ɾa͍o̞ke̞ de̞ ɯ͍ta͍ o̞ ɯ͍ta͍i ma͍ɕita͍] | [ka͍ɾa͍o̞ke̞ de̞ ɯ͍ta͍ o̞ ɯ͍ta͍ima͍ɕta͍]
Japanese::N5::Hobbies & Free-Time Activities | ドライブをするのが好きです。 | I like going for a drive. | [do̞ɾa͍ibɯ͍ o̞ sɯ͍ɾɯ͍ no̞ ɡa̠ sɯ͍ki de̞sɨ̥] | [do̞ɾa͍ibɯ͍ o̞ sɾɯ͍ no̞ ɡa͍ ski de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 温泉に行くのが楽しみです。 | I look forward to going to the hot springs. | [o̞ɴse̞ɴ ni ikɯ͍ no̞ ɡa̠ ta͍no̞ɕimi de̞sɨ̥] | [o̞ɴse̞ɴ ɲiːkɯ͍ no̞ ɡa͍ ta͍no̞ɕimi de̞s]
Japanese::N5::Hobbies & Free-Time Activities | 料理を習いたいと思っています。 | I am thinking that I want to learn cooking. | [ɾjoːɾʲi o̞ na͍ɾa͍ita͍i to̞ o̞mo̞tːe̞ ima͍sɨ̥] | [ɾjoːɾʲi o̞ na͍ɾa͍ita͍i to̞ o̞mo̞tːe͍ima͍s]
Japanese::N5::Hobbies & Free-Time Activities | 新しい趣味を見つけたいです。 | I want to find a new hobby. | [a͍ta͍ɾa͍ɕiː ɕɯ͍mi o̞ mi t͡sɯ͍ke̞ta͍i de̞sɨ̥] | [a͍ta͍ɾa͍ɕiː ɕɯ͍mi o̞ mi t͡ske̞ta͍i de̞s]
