Japanese::N5::Preferences & simple descriptions | 日本料理が好きです。 | I like Japanese food. | [ni.ho.ɴ.ʁyoː.ʁi.ga. ꜜ sɯ.ki.de.sɯ̥. ◌̄] | [ni.ho.ɴ.ʁyoː.ʁi.ɡa.sɯ.ki.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 仕事はあまり面白くありません。 | Work is not very interesting. | [ɕi.go.to.ɰa. ꜜ a.ma.ʁi.o.mo.ɕi.ʁo.kɯ.a.ʁi.ma.se.ɴ. ◌̄] | [ɕi.ɡo.to.ɰa.a.ma.ʁi.o.mo.ɕi.ʁo.kɯ.a.ʁi.ma.se.ɴ]
Japanese::N5::Preferences & simple descriptions | 水は冷たいです。 | The water is cold. | [mi.zɯ.ɰa. ꜜ tsɯ.me.ta.i.de.sɯ̥. ◌̄] | [mi.zɯ.ɰa.tsɯ.me.ta.i.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 天気はとても良かったです。 | The weather was very good. | [te.ɴ.ki.ɰa. ꜜ to.te.mo.yo.ka me.ta.de.sɯ̥. ◌̄] | [te.ɴ.ki.ɰa.to.te.mo.yo.ka.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 英語は簡単ではありません。 | English is not simple. | [eː.go.ɰa. ꜜ ka.ɴ.ta.ɴ.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [eː.ɡo.ɰa.ka.ɴ.ta.ɴ.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Preferences & simple descriptions | この辞書はとても便利です。 | This dictionary is very convenient. | [ko.no.ʑi.ɕo.ɰa. ꜜ to.te.mo.be.ɴ.ʁi.de.sɯ̥. ◌̄] | [ko.no.ʑi.ɕo.ɰa.to.te.mo.be.ɴ.ʁi.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 料理は上手ではありません。 | I am not good at cooking. | [ʁyoː.ʁi.ɰa. ꜜ zyɯː.zɯ.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [ʁyoː.ʁi.ɰa.zyɯː.zɯ.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Preferences & simple descriptions | 歌が下手です。 | I am bad at singing. | [u.ta.ga. ꜜ he.ta.de.sɯ̥. ◌̄] | [ɯ.ta.ɡa.he.ta.de.sɯ]
Japanese::N5::Preferences & simple descriptions | 犬と猫とどちらが好きですか。 | Which do you like better, dogs or cats? | [i.nɯ.to.ne.ko.to. ꜜ do.tɕi.ʁa.ga.sɯ.ki.de.sɯ.ka. ◌̄] | [i.nɯ.to.ne.ko.to.do.tɕi.ʁa.ɡa.sɯ.ki.de.sɯ.ka]
Japanese::N5::Preferences & simple descriptions | 猫のほうが好きです。 | I like cats better. | [ne.ko.no.hoː.ga. ꜜ sɯ.ki.de.sɯ̥. ◌̄] | [ne.ko.no.hoː.ɡa.sɯ.ki.de.sɯ]
Japanese::N5::Preferences & simple descriptions | スポーツの中で何が一番好きですか。 | Among sports, what do you like the best? | [sɯ.poː.tsɯ.no.na.ka.de. ꜜ na.ni.ga.i.tɕi.ba.ɴ.sɯ.ki.de.sɯ.ka. ◌̄] | [sɯ.poː.tsɯ.no.na.ka.de.na.ni.ɡa.i.tɕi.ba.ɴ.sɯ.ki.de.sɯ.ka]
Japanese::N5::Preferences & simple descriptions | サッカーが一番好きです。 | I like soccer the best. | [sa me.kaː.ga. ꜜ i.tɕi.ba.ɴ.sɯ.ki.de.sɯ̥. ◌̄] | [sa.kaː.ɡa.i.tɕi.ba.ɴ.sɯ.ki.de.sɯ]
Japanese::N5::Preferences & simple descriptions | この服はあまり高くないです。 | These clothes are not very expensive. | [ko.no.fɯ.kɯ.ɰa. ꜜ a.ma.ʁi.ta.ka.kɯ.na.i.de.sɯ̥. ◌̄] | [ko.no.fɯ.kɯ.ɰa.a.ma.ʁi.ta.ka.kɯ.na.i.de.sɯ]
