Japanese::N5::Desire & intention | 日本へ行きたいです。 | I want to go to Japan. | [ni.ho.ɴ.e i.ki.ta.i.de.sɯ̥] | [nihoɴ e ikʲtai de͍sᶍ]
Japanese::N5::Desire & intention | 公園を散歩しませんか。 | Would you like to take a walk in the park? | [koː.e.ɴ.o sa.ɴ.po.ɕi.ma.se.ɴ.ka] | [koːeɴ o sampo ɕimaseɴ ka]
Japanese::N5::Desire & intention | 今日は早く帰りたいです。 | I want to go home early today. | [kʲoː.ɰa ha.ja.kɯ ka.e.ɾi.ta.i.de.sɯ̥] | [kʲoːβa hajak kaeɾitai de͍sᶍ]
Japanese::N5::Desire & intention | 友達に会いたいです。 | I want to meet my friend. | [to.mo.da.chi.ni a.i.ta.i.de.sɯ̥] | [tomodatɕi ni aitai de͍sᶍ]
Japanese::N5::Desire & intention | 写真を撮りましょうか。 | Shall I take a photograph? | [ɕa.ɕi.ɴ.o to.ɾi.ma.ɕoː.ka] | [ɕaɕiɴ o toɾimaɕoː ka]
Japanese::N5::Desire & intention | 傘を貸しましょうか。 | Shall I lend you an umbrella? | [ka.sa.o ka.ɕi.ma.ɕoː.ka] | [kasa o kaɕimaɕoː ka]
Japanese::N5::Desire & intention | 荷物を持ちましょうか。 | Shall I hold your luggage? | [ni.mo.tsɯ.o mo.chi.ma.ɕoː.ka] | [nimots o matɕimaɕoː ka]
Japanese::N5::Desire & intention | 窓を閉めましょうか。 | Shall I close the window? | [ma.do.o ɕi.me.ma.ɕoː.ka] | [mado o ɕimemaɕoː ka]
Japanese::N5::Desire & intention | 何時に会いましょうか。 | What time shall we meet? | [na.ɴ.ji.ni a.i.ma.ɕoː.ka] | [naɴdʑi ni aimaɕoː ka]
Japanese::N5::Desire & intention | どこで食べましょうか。 | Where shall we eat? | [do.ko.de ta.be.ma.ɕoː.ka] | [doko de tabemaɕoː ka]
Japanese::N5::Desire & intention | 海で泳ぎたいです。 | I want to swim in the sea. | [ɯ.mi.de o.jo.ɡi.ta.i.de.sɯ̥] | [ɯmi de ojoŋitai de͍sᶍ]
Japanese::N5::Desire & intention | 広い家に住みたいです。 | I want to live in a spacious house. | [hi.ro.i i.e.ni sɯ.mi.ta.i.de.sɯ̥] | [hiɾoi ie ni sɯmitai de͍sᶍ]
Japanese::N5::Desire & intention | 何を飲みたいですか。 | What would you like to drink? | [na.ni.o no.mi.ta.i.de.sɯ.ka] | [nani o nomitai de͍sᶍ ka]
Japanese::N5::Desire & intention | 温かいお茶が飲みたいです。 | I want to drink hot green tea. | [a.ta.ta.ka.i o.cha.ɡa no.mi.ta.i.de.sɯ̥] | [atatkai otɕa ŋa nomitai de͍sᶍ]
Japanese::N5::Desire & intention | ケーキを食べたいです。 | I want to eat cake. | [keː.ki.o ta.be.ta.i.de.sɯ̥] | [keːkʲi o tabetai de͍sᶍ]
Japanese::N5::Desire & intention | 京都へ遊びに行きたいです。 | I want to go to Kyoto for fun. | [kʲoː.to.e a.so.bi.ni i.ki.ta.i.de.sɯ̥] | [kʲoːto e asobi ni ikʲtai de͍sᶍ]
Japanese::N5::Desire & intention | 日本の文化を勉強したいです。 | I want to study Japanese culture. | [ni.ho.ɴ.no bɯ.ɴ.ka.o be.ɴ.kʲoː.ɕi.ta.i.de.sɯ̥] | [nihoɴ no bɯɴka o beŋkʲoː ɕitai de͍sᶍ]
Japanese::N5::Desire & intention | 温泉に入りたいです。 | I want to bathe in an hot spring. | [o.ɴ.se.ɴ.ni ha.i.ɾi.ta.i.de.sɯ̥] | [onseɴ ni haiɾitai de͍sᶍ]
Japanese::N5::Desire & intention | 富士山に登りたいです。 | I want to climb Mount Fuji. | [fɯ.ji.sa.ɴ.ni no.bo.ɾi.ta.i.de.sɯ̥] | [ɸɯdʑisaɴ ni noboɾitai de͍sᶍ]
Japanese::N5::Desire & intention | 一緒にタクシーで帰りませんか。 | Would you like to go home together by taxi? | [i.ʔ.ɕo.ni ta.kɯ.ɕiː.de ka.e.ɾi.ma.se.ɴ.ka] | [i t ɕoni takɯɕiː de kaeɾimaseɴ ka]
Japanese::N5::Desire & intention | 来週、パーティーをしましょう。 | Let us have a party next week. | [ra.i.ɕɯː paː.tiː.o ɕi.ma.ɕoː] | [ɾaiɕɯː paːtiː o ɕimaɕoː]
Japanese::N5::Desire & intention | テレビの音を小さくしましょう。 | Let us turn down the television volume. | [te.ɾe.bi.no o.to.o chiː.sa.kɯ ɕi.ma.ɕoː] | [teɾebi no oto o tɕiːsak ɕimaɕoː]
Japanese::N5::Desire & intention | 今晩、外で食べましょう。 | Let us eat outside tonight. | [ko.ɴ.ba.ɴ so.to.de ta.be.ma.ɕoː] | [kombaɴ soto de tabemaɕoː]
Japanese::N5::Desire & intention | 少し話しませんか。 | Would you like to talk for a moment? | [sɯ.ko.ɕi ha.na.ɕi.ma.se.ɴ.ka] | [sk oɕ hanaɕimaseɴ ka]
Japanese::N5::Desire & intention | 来年、車を買いたいです。 | I want to buy a car next year. | [ra.i.ne.ɴ kɯ.ɾɯ.ma.o ka.i.ta.i.de.sɯ̥] | [ɾaineɴ kɯɾɯma o kaitai de͍sᶍ]
Japanese::N5::Desire & intention | ずっと日本にいたいです。 | I want to stay in Japan forever. | [zɯ.ʔ.to ni.ho.ɴ.ni i.ta.i.de.sɯ̥] | [zɯ t to nihoɴ ni itai de͍sᶍ]
Japanese::N5::Desire & intention | 一番前で立ちたいです。 | I want to stand right at the front. | [i.chi.ba.ɴ ma.e.de ta.chi.ta.i.de.sɯ̥] | [itɕibaɴ mae de tatɕitai de͍sᶍ]
Japanese::N5::Desire & intention | 音楽を聞きたいです。 | I want to listen to music. | [o.ɴ.ɡa.kɯ.o ki.ki.ta.i.de.sɯ̥] | [oŋŋak o kʲikʲtai de͍sᶍ]
Japanese::N5::Desire & intention | お風呂に入りたいです。 | I want to take a bath. | [o.fɯ.ro.ni ha.i.ɾi.ta.i.de.sɯ̥] | [oɸɯɾo ni haiɾitai de͍sᶍ]
Japanese::N5::Desire & intention | もう少し寝たいです。 | I want to sleep a little more. | [moː sɯ.ko.ɕi ne.ta.i.de.sɯ̥] | [moː sk oɕ netai de͍sᶍ]
