Japanese::N5::Reasons & causes | 雨が降っていますから、出かけません。 | Because it is raining, I will not go out. | [a.me.ɡa fɯ.ʔ.te.i.ma.sɯ.ka.ra de.ka.ke.ma.se.ɴ] | [ame ŋa ɸɯ t te ima des kaɾa dekakema seɴ]
Japanese::N5::Reasons & causes | 電車が遅れましたので、会議に遅れました。 | Because the train was delayed, I was late for the meeting. | [de.ɴ.ɕa.ɡa o.kɯ.ɾe.ma.ɕi.ta.no.de ka.i.ɡi.ni o.kɯ.ɾe.ma.ɕi.ta] | [deɴɕa ŋa okɯɾemaɕta node kaiŋi ni okɯɾemaɕta]
Japanese::N5::Reasons & causes | 忙しいですから、どこへも行きません。 | Because I am busy, I will not go anywhere. | [i.so.ɡa.ɕi.i.de.sɯ.ka.ra do.ko.e.mo i.ki.ma.se.ɴ] | [isoŋaɕiː des kaɾa doko emo ikʲima seɴ]
Japanese::N5::Reasons & causes | 高いですから、買いません。 | Because it is expensive, I will not buy it. | [ta.ka.i.de.sɯ.ka.ra ka.i.ma.se.ɴ] | [takai des kaɾa kaima seɴ]
Japanese::N5::Reasons & causes | 日本語が好きですから、勉強します。 | Because I like Japanese, I study it. | [ni.ho.ɴ.ɡo.ɡa sɯ.ki.de.sɯ.ka.ra be.ɴ.kʲoː.ɕi.ma.sɯ̥] | [nihoɴŋo ŋa sk i des kaɾa beŋkʲoː ɕi ma͍sᶍ]
Japanese::N5::Reasons & causes | 寒いですから、コートを着ます。 | Because it is cold, I wear a coat. | [sa.mɯ.i.de.sɯ.ka.ra koː.to.o ki.ma.sɯ̥] | [samɯi des kaɾa koːto o kʲi ma͍sᶍ]
Japanese::N5::Reasons & causes | 暗いですから、電気をつけましょう。 | Because it is dark, let us turn on the light. | [kɯ.ɾa.i.de.sɯ.ka.ra de.ɴ.ki.o tsɯ.ke.ma.ɕoː] | [kɯɾai des kaɾa deŋkʲi o tsɯkemaɕoː]
Japanese::N5::Reasons & causes | お腹がすきましたから、ご飯を食べましょう。 | Because I have become hungry, let us eat a meal. | [o.na.ka.ɡa sɯ.ki.ma.ɕi.ta.ka.ra ɡo.ha.ɴ.o ta.be.ma.ɕoː] | [onaka ŋa sk imaɕta kaɾa ŋohaɴ o tabemaɕoː]
Japanese::N5::Reasons & causes | のどが渇きましたから、水が飲みたいです。 | Because I have become thirsty, I want to drink water. | [no.do.ɡa ka.ɰa.ki.ma.ɕi.ta.ka.ra mi.zɯ.ɡa no.mi.ta.i.de.sɯ̥] | [nodo ŋa kaɰakʲimaɕta kaɾa miz ŋa nomitai de͍sᶍ]
Japanese::N5::Reasons & causes | どうして遅れましたか。 | Why were you late? | [doː.ɕi.te o.kɯ.ɾe.ma.ɕi.ta.ka] | [doːɕte okɯɾemaɕta ka]
Japanese::N5::Reasons & causes | 事故がありましたから。 | Because there was an accident. | [ji.ko.ɡa a.ɾi.ma.ɕi.ta.ka.ra] | [dʑiko ŋa aɾimaɕta kaɾa]
Japanese::N5::Reasons & causes | 明日は試験がありますから、勉強しなければなりません。 | Because I have an exam tomorrow, I must study. | [a.ɕi.ta.ɰa ɕi.ke.ɴ.ɡa a.ɾi.ma.sɯ.ka.ra be.ɴ.kʲoː.ɕi.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [aɕtaβa ɕikeɴ ŋa aɾimas kaɾa beŋkʲoː ɕinak eɾeba naɾimaseɴ]
Japanese::N5::Reasons & causes | 雨が降っていますので、タクシーで行きます。 | Because it is raining, I will go by taxi. | [a.me.ɡa fɯ.ʔ.te.i.ma.sɯ.no.de ta.kɯ.ɕiː.de i.ki.ma.sɯ̥] | [ame ŋa ɸɯ t te ima node takɯɕiː de ikʲi ma͍sᶍ]
Japanese::N5::Reasons & causes | この本は面白くありませんから、読みません。 | Because this book is not interesting, I will not read it. | [ko.no ho.ɴ.ɰa o.mo.ɕi.ro.kɯ a.ɾi.ma.se.ɴ.ka.ra jo.mi.ma.se.ɴ] | [kono hoɴ βa omoɕiɾok aɾimaseɴ kaɾa jomima seɴ]
Japanese::N5::Reasons & causes | 安いですから、二つ買いました。 | Because it was cheap, I bought two. | [ja.sɯ.i.de.sɯ.ka.ra fɯ.ta.tsɯ ka.i.ma.ɕi.ta] | [jasɯi des kaɾa ɸɯtats kaimaɕta]
Japanese::N5::Reasons & causes | 静かですから、ここで勉強します。 | Because it is quiet, I will study here. | [ɕi.zɯ.ka.de.sɯ.ka.ra ko.ko.de be.ɴ.kʲoː.ɕi.ma.sɯ̥] | [ɕizɯka des kaɾa koko de beŋkʲoː ɕi ma͍sᶍ]
Japanese::N5::Reasons & causes | 部屋が狭いですから、引っ越したいです。 | Because my room is small, I want to move house. | [he.ja.ɡa se.ma.i.de.sɯ.ka.ra hi.ʔ.ko.ɕi.ta.i.de.sɯ̥] | [heja ŋa semai des kaɾa hk koɕtai de͍sᶍ]
Japanese::N5::Reasons & causes | 鍵を忘れましたから、入れません。 | Because I forgot my key, I cannot enter. | [ka.ɡi.o ɰa.sɯ.ɾe.ma.ɕi.ta.ka.ra ha.i.ɾe.ma.se.ɴ] | [kaŋi o ɰasɯɾemaɕta kaɾa haiɾema seɴ]
Japanese::N5::Reasons & causes | 道路が混んでいますから、バスは遅いです。 | Because the roads are crowded, the bus is slow. | [doː.ro.ɡa ko.ɴ.de.i.ma.sɯ.ka.ra ba.sɯ.ɰa o.so.i.de.sɯ] | [doːɾo ŋa koɴde ima des kaɾa bas βa osoi de͍sᶍ]
Japanese::N5::Reasons & causes | なぜ買わないのですか。 | Why are you not buying it? | [na.ze ka.ɰa.na.i.no.de.sɯ.ka] | [naze kaɰanai no des ka]
Japanese::N5::Reasons & causes | 好きではありませんから。 | Because I do not like it. | [sɯ.ki.de.ɰa a.ɾi.ma.se.ɴ.ka.ra] | [sk i deβa aɾimaseɴ kaɾa]
Japanese::N5::Reasons & causes | 体調が悪いので、早く帰ります。 | Because I am not feeling well, I will go home early. | [ta.i.choː.ɡa ɰa.ɾɯ.i.no.de ha.ja.kɯ ka.e.ɾi.ma.sɯ̥] | [taitɕoː ŋa ɰaɾɯi node hajak kaeɾi ma͍sᶍ]
Japanese::N5::Reasons & causes | 切手がありませんから、手紙を出せません。 | Because I do not have stamps, I cannot send the letter. | [ki.ʔ.te.ɡa a.ɾi.ma.se.ɴ.ka.ra te.ɡa.mi.o da.se.ma.se.ɴ] | [kʲi t te ŋa aɾimaseɴ kaɾa teŋami o dasema seɴ]
Japanese::N5::Reasons & causes | 疲れましたから、少し休みましょう。 | Because I have become tired, let us rest for a moment. | [tsɯ.ka.ɾe.ma.ɕi.ta.ka.ra sɯ.ko.ɕi ja.sɯ.mi.ma.ɕoː] | [tsɯkaɾemaɕta kaɾa sk oɕ jasɯmimaɕoː]
Japanese::N5::Reasons & causes | 景色が綺麗ですから、写真を撮ります。 | Because the scenery is beautiful, I will take a photograph. | [ke.ɕi.ki.ɡa ki.ɾeː.de.sɯ.ka.ra ɕa.ɕi.ɴ.o to.ɾi.ma.sɯ̥] | [keɕkʲi ŋa kʲiɾeː des kaɾa ɕaɕiɴ o toɾi ma͍sᶍ]
Japanese::N5::Reasons & causes | 電車の券をなくしましたから、困っています。 | Because I lost my train ticket, I am in trouble. | [de.ɴ.ɕa.no ke.ɴ.o na.kɯ.ɕi.ma.ɕi.ta.ka.ra ko.ma.ʔ.te.i.ma.sɯ̥] | [deɴɕa no keɴ o nakɯɕimaɕta kaɾa koma t te i ma͍sᶍ]
Japanese::N5::Reasons & causes | どうして箸を使わないのですか。 | Why are you not using chopsticks? | [doː.ɕi.te ha.ɕi.o tsɯ.ka.ɰa.na.i.no.de.sɯ.ka] | [doːɕte haɕi o tsɯkaɰanai no des ka]
Japanese::N5::Reasons & causes | 難しすぎますから。 | Because it is too difficult. | [mɯ.zɯ.ka.ɕi.sɯ.ɡi.ma.sɯ.ka.ra] | [mazɯkaɕisɯŋi des kaɾa]
Japanese::N5::Reasons & causes | 薬を飲みましたから、大丈夫です。 | Because I took medicine, I am fine. | [kɯ.sɯ.ɾi.o no.mi.ma.ɕi.ta.ka.ra da.i.joː.bɯ.de.sɯ] | [kɯsɯɾi o nomimaɕta kaɾa daidʑoːbɯ de͍sᶍ]
Japanese::N5::Reasons & causes | 荷物が多いので、タクシーを呼びます。 | Because there is a lot of luggage, I will call a taxi. | [ni.mo.tsɯ.ɡa oː.i.no.de ta.kɯ.ɕiː.o jo.bi.ma.sɯ̥] | [nimots ŋa oːi node takɯɕiː o jobi ma͍sᶍ]
