Japanese::N5::Desire & Suggestion | 日本へ行きたいです。 | I want to go to Japan. | [niho̞ɴ e̞ ikita̠i de̞sɨᵝ] | [niho̞ŋ e̞ ikita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | ちょっと休みましょう。 | Let's rest a little. | [tɕo̞tːo̞ ya̠sɨᵝmima̠ɕoː] | [tɕo̞tːo̞ ya̠sɨᵝmima̠ɕoː]
Japanese::N5::Desire & Suggestion | お茶を飲みませんか。 | Would you like to drink tea? | [o̞tɕa̠ o̞ no̞mima̠se̞ɴ ka̠] | [o̞tɕa̠ o̞ no̞mima̠se̞ŋ ka̠]
Japanese::N5::Desire & Suggestion | 昼ご飯を食べましょう。 | Let's eat lunch. | [hiɾɯ̟ᵝɡo̞ha̠ɴ o̞ ta̠be̞ma̠ɕoː] | [hiɾɯ̟ᵝɡo̞ha̠ŋ o̞ ta̠be̞ma̠ɕoː]
Japanese::N5::Desire & Suggestion | 一緒に帰りませんか。 | Won't you go home with me? | [iɕːo̞ ni ka̠e̞ɾima̠se̞ɴ ka̠] | [iɕːo̞ ni ka̠e̞ɾima̠se̞ŋ ka̠]
Japanese::N5::Desire & Suggestion | 今日の夜、食事をしませんか。 | Would you like to have a meal together tonight? | [kyoː no̞ yo̞ɾɯ̟ᵝ ɕo̞kɯ̟ᵝdʑi o̞ ɕima̠se̞ɴ ka̠] | [kyoː no̞ yo̞ɾɯ̟ᵝ ɕo̞kɯ̟ᵝdʑi o̞ ɕima̠se̞ŋ ka̠]
Japanese::N5::Desire & Suggestion | 写真を撮りましょうか。 | Shall I take a picture? | [ɕa̠ɕiɴ o̞ to̞ɾima̠ɕoː ka̠] | [ɕa̠ɕiŋ o̞ to̞ɾima̠ɕoː ka̠]
Japanese::N5::Desire & Suggestion | 荷物を持ちましょうか。 | Shall I carry your bags? | [ni mo̞tsɨᵝ o̞ mo̞tɕima̠ɕoː ka̠] | [ni mo̞tsɨᵝ o̞ mo̞tɕima̠ɕoː ka̠]
Japanese::N5::Desire & Suggestion | 窓を閉めましょうか。 | Shall I close the window? | [ma̠do̞ o̞ ɕime̞ma̠ɕoː ka̠] | [ma̠do̞ o̞ ɕime̞ma̠ɕoː ka̠]
Japanese::N5::Desire & Suggestion | タクシーを呼びましょうか。 | Shall I call a taxi? | [ta̠kɯ̟ᵝɕiː o̞ yo̞bima̠ɕoː ka̠] | [ta̠kɯ̟ᵝɕiː o̞ yo̞bima̠ɕoː ka̠]
Japanese::N5::Desire & Suggestion | 新しいパソコンが欲しいです。 | I want a new computer. | [a̠ta̠ɾa̠ɕiː pa̠so̞ko̞ɴ ɡa̠ ho̞ɕiː de̞sɨᵝ] | [a̠ta̠ɾa̠ɕiː pa̠so̞ko̞ŋ ɡa̠ ho̞ɕiː de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 今何が一番欲しいですか。 | What do you want most right now? | [ima̠ na̠ni ɡa̠ itɕiba̠ɴ ho̞ɕiː de̞sɨᵝ ka̠] | [ima̠ na̠ni ɡa̠ itɕiba̠m ho̞ɕiː de̞sɨᵝ ka̠]
Japanese::N5::Desire & Suggestion | 時間が欲しいです。 | I want time. | [dʑika̠ɴ ɡa̠ ho̞ɕiː de̞sɨᵝ] | [dʑika̠ŋ ɡa̠ ho̞ɕiː de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 家族に会いたいです。 | I want to meet my family. | [ka̠zo̞kɯ̟ᵝ ni a̠ita̠i de̞sɨᵝ] | [ka̠zo̞kɯ̟ᵝ ni a̠ita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 日本料理を食べに行きたいです。 | I want to go and eat Japanese food. | [niho̞ɴɾyoːɾi o̞ ta̠be̞ ni ikita̠i de̞sɨᵝ] | [niho̞ɴɾyoːɾi o̞ ta̠be̞ ni ikita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 公園を散歩しましょう。 | Let me/us take a walk in the park. | [koːe̞ɴ o̞ sa̠mpoːɕima̠ɕoː] | [koːe̞ŋ o̞ sa̠mpoːɕima̠ɕoː]
Japanese::N5::Desire & Suggestion | 明日何を出かけませんか。 | Won't you go out tomorrow? | [a̠ɕita̠ na̠ni o̞ de̞ka̠ke̞ma̠se̞ɴ ka̠] | [a̠ɕta̠ na̠ni o̞ de̞ka̠ke̞ma̠se̞ŋ ka̠]
Japanese::N5::Desire & Suggestion | 喉が渇きましたから、何か飲みたいです。 | I am thirsty, so I want to drink something. | [no̞do̞ ɡa̠ ka̠wa̠kima̠ɕita̠ ka̠ɾa̠ na̠ni ka̠ no̞mita̠i de̞sɨᵝ] | [no̞do̞ ɡa̠ ka̠wa̠kima̠ɕta̠ ka̠ɾa̠ na̠ni ka̠ no̞mita̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | お腹がすきましたから、何か食べたいです。 | I am hungry, so I want to eat something. | [o̞na̠ka̠ ɡa̠ sɨᵝkima̠ɕita̠ ka̠ɾa̠ na̠ni ka̠ ta̠be̞ta̠i de̞sɨᵝ] | [o̞na̠ka̠ ɡa̠ sɨᵝkima̠ɕta̠ ka̠ɾa̠ na̠ni ka̠ ta̠be̞ta̠i de̞sɨᵝ]
Japanese::N5::Desire & Suggestion | 疲れましたから、早く寝たいです。 | I am tired, so I want to go to sleep early. | [tsɨᵝka̠ɾe̞ma̠ɕita̠ ka̠ɾa̠ ha̠ya̠kɯ̟ᵝ ne̞ta̠i de̞sɨᵝ] | [tsɨᵝka̠ɾe̞ma̠ɕta̠ ka̠ɾa̠ ha̠ya̠kɯ̟ᵝ ne̞ta̠i de̞sɨᵝ]
