Japanese::N5::Te-Form: Prohibition & Sequencing | ここでタバコを吸ってはいけません。 | You must not smoke here. | [ko̞ko̞ de̞ ta̠ba̠ko̞ o̞ sɨᵝtte̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ de̞ ta̠ba̠ko̞ o̞ sɨᵝtte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ここで走ってはいけません。 | You must not run here. | [ko̞ko̞ de̞ ha̠ɕiɾitte̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ de̞ ha̠ɕiɾitte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 仕事が終わってから、映画を見ます。 | After work finishes, I will watch a movie. | [ɕiɡo̞to̞ ɡa̠ o̞wa̠tte̞ ka̠ɾa̠ eːɡa̠ o̞ mima̠sɨᵝ] | [ɕiɡo̞to̞ ɡa̠ o̞wa̠tte̞ ka̠ɾa̠ eːɡa̠ o̞ mima̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ご飯を食べてから、歯をみがきます。 | After eating meals, I brush my teeth. | [ɡo̞ha̠ɴ o̞ ta̠be̞te̞ ka̠ɾa̠ ha̠ o̞ miɡa̠kima̠sɨᵝ] | [ɡo̞ha̠ŋ o̞ ta̠be̞te̞ ka̠ɾa̠ ha̠ o̞ miɡa̠kima̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 手を洗ってから、食べます。 | After washing my hands, I eat. | [te̞ o̞ a̠ɾa̠tte̞ ka̠ɾa̠ ta̠be̞ma̠sɨᵝ] | [te̞ o̞ a̠ɾa̠tte̞ ka̠ɾa̠ ta̠be̞ma̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | シャワーを浴びてから、ねます。 | After taking a shower, I go to bed. | [ɕa̠waː o̞ a̠bite̞ ka̠ɾa̠ ne̞ma̠sɨᵝ] | [ɕa̠waː o̞ a̠bite̞ ka̠ɾa̠ ne̞ma̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 日本へ来てから、日本語を勉強しました。 | After coming to Japan, I studied Japanese. | [niho̞ɴ e̞ kite̞ ka̠ɾa̠ niho̞ɴɡo̞ o̞ be̞ŋkyoːɕima̠ɕita̠] | [niho̞ŋ e̞ kite̞ ka̠ɾa̠ niho̞ŋɡo̞ o̞ be̞ŋkyoːɕima̠ɕta̠]
Japanese::N5::Te-Form: Prohibition & Sequencing | 国へ帰ってから、父の会社で働きます。 | After returning to my home country, I will work at my father's company. | [kɯ̟ᵝni e̞ ka̠e̞tte̞ ka̠ɾa̠ tɕitɕi no̞ ka̠iɕa̠ de̞ ha̠ta̠ɾa̠kima̠sɨᵝ] | [kɯ̟ᵝni e̞ ka̠e̞tte̞ ka̠ɾa̠ tɕitɕi no̞ ka̠iɕa̠ de̞ ha̠ta̠ɾa̠kima̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | コンサートが終わってから、レストランへ行きました。 | After the concert finished, we went to a restaurant. | [ko̞ɴsaːto̞ ɡa̠ o̞wa̠tte̞ ka̠ɾa̠ re̞sɨᵝto̞ɾa̠ɴ e̞ ikima̠ɕita̠] | [ko̞ɴsaːto̞ ɡa̠ o̞wa̠tte̞ ka̠ɾa̠ re̞sɨᵝto̞ɾa̠ŋ e̞ ikima̠ɕta̠]
Japanese::N5::Te-Form: Prohibition & Sequencing | お金を払ってから、商品を受け取ります。 | After paying the money, you receive the goods. | [o̞ka̠ne̞ o̞ ha̠ɾa̠tte̞ ka̠ɾa̠ ɕoːhiɴ o̞ ɯ̟ᵝke̞to̞ɾima̠sɨᵝ] | [o̞ka̠ne̞ o̞ ha̠ɾa̠tte̞ ka̠ɾa̠ ɕoːhiŋ o̞ ɯ̟ᵝke̞to̞ɾima̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 薬を飲んでから、寝てください。 | Please go to sleep after taking your medicine. | [kɯ̟ᵝsɨᵝɾi o̞ no̞nde̞ ka̠ɾa̠ ne̞te̞ kɯ̟ᵝda̠sa̠i] | [kɯ̟ᵝsɨᵝɾi o̞ no̞nde̞ ka̠ɾa̠ ne̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Prohibition & Sequencing | 宿題をしてから、遊んでください。 | Please play after doing your homework. | [ɕɯ̟ᵝkɯ̟ᵝda̠i o̞ ɕite̞ ka̠ɾa̠ a̠so̞nde̞ kɯ̟ᵝda̠sa̠i] | [ɕɯ̟ᵝkɯ̟ᵝda̠i o̞ ɕte̞ ka̠ɾa̠ a̠so̞nde̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Prohibition & Sequencing | 説明を聞いてから、書いてください。 | Please write after listening to the explanation. | [se̞tsɨᵝmeː o̞ kiːte̞ ka̠ɾa̠ ka̠ite̞ kɯ̟ᵝda̠sa̠i] | [se̞tsɨᵝmeː o̞ kiːte̞ ka̠ɾa̠ ka̠ite̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form: Prohibition & Sequencing | 銀行でお金を下ろしてから、買い物へ行きます。 | After withdrawing money at the bank, I will go shopping. | [ɡiɴkoː de̞ o̞ka̠ne̞ o̞ o̞ɾo̞ɕite̞ ka̠ɾa̠ ka̠imo̞no̞ e̞ ikima̠sɨᵝ] | [ɡiŋkoː de̞ o̞ka̠ne̞ o̞ o̞ɾo̞ɕte̞ ka̠ɾa̠ ka̠imo̞no̞ e̞ ikima̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | ここで携帯電話を使ってはいけません。 | You must not use mobile phones here. | [ko̞ko̞ de̞ keːta̠ide̞ɴwa̠ o̞ tsɨᵝka̠tte̞ wa̠ ike̞ma̠se̞ɴ] | [ko̞ko̞ de̞ keːta̠ide̞ɴwa̠ o̞ tsɨᵝka̠tte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 芝生に入ってはいけません。 | You must not step onto the lawn. | [ɕiba̠fɯ̟ᵝ ni ha̠itte̞ wa̠ ike̞ma̠se̞ɴ] | [ɕiba̠fɯ̟ᵝ ni ha̠itte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 美術館で触ってはいけません。 | You must not touch things in the art museum. | [biʑɯ̟ᵝtsɨᵝka̠ɴ de̞ sa̠wa̠tte̞ wa̠ ike̞ma̠se̞ɴ] | [biʑɯ̟ᵝtsɨᵝka̠ŋ de̞ sa̠wa̠tte̞ wa̠ ike̞ma̠se̞ŋ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 友達に聞いてから、決めます。 | I will decide after asking my friend. | [to̞mo̞da̠tɕi ni kiːte̞ ka̠ɾa̠ kime̞ma̠sɨᵝ] | [to̞mo̞da̠tɕi ni kiːte̞ ka̠ɾa̠ kime̞ma̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 部屋を片付けてから、出かけます。 | I will go out after tidying up my room. | [he̞ya̠ o̞ ka̠ta̠tsɨᵝke̞te̞ ka̠ɾa̠ de̞ka̠ke̞ma̠sɨᵝ] | [he̞ya̠ o̞ ka̠ta̠tsɨᵝke̞te̞ ka̠ɾa̠ de̞ka̠ke̞ma̠sɨᵝ]
Japanese::N5::Te-Form: Prohibition & Sequencing | 確認してから、サインしてください。 | Please sign after confirming. | [ka̠kɯ̟ᵝniɴɕite̞ ka̠ɾa̠ sa̠iɴɕite̞ kɯ̟ᵝda̠sa̠i] | [ka̠kɯ̟ᵝniɴɕte̞ ka̠ɾa̠ sa̠iɴɕte̞ kɯ̟ᵝda̠sa̠i]
