Japanese::N5::Numbers, Dates, Time | いまなんじですか。 | What time is it now? | [i.ma.naɴ.ʑi.de.sɯ.ka. ‖] | [i.ma.nan.ʑi.des.ka]
Japanese::N5::Numbers, Dates, Time | なんぷんかかりますか。 | How many minutes does it take? | [naɴ.pɯɴ.ka.ka.ɾi.ma.sɯ.ka. ‖] | [nam.pɯŋ.ka.ka.ɾi.mas.ka]
Japanese::N5::Numbers, Dates, Time | じゅうふんかかります。 | It takes ten minutes. | [ʑɯː.pɯɴ.ka.ka.ɾi.ma.sɯ. ‖] | [ʑɯː.pɯŋ.ka.ka.ɾi.mas]
Japanese::N5::Numbers, Dates, Time | たなかさんのたんじょうびはいつですか。 | When is Mr Tanaka's birthday? | [ta.na.ka.saɴ.no.taɴ.ʑoː.bi.wa.i.tsɯ.de.sɯ.ka. ‖] | [ta.na.ka.san.no.tan.ʑoː.bi.wa.i.tsɯ.des.ka]
Japanese::N5::Numbers, Dates, Time | にがつふつかです。 | It is February 2nd. | [ni.ɡa.tsɯ.fɯ.tsɯ.ka.de.sɯ. ‖] | [ni.ɡa.tsɯ.fɯ.tsɯ.ka.des]
Japanese::N5::Numbers, Dates, Time | さんがつみっかです。 | It is March 3rd. | [saɴ.ɡa.tsɯ.mik.ka.de.sɯ. ‖] | [saŋ.ɡa.tsɯ.mik.ka.des]
Japanese::N5::Numbers, Dates, Time | しがつよっかです。 | It is April 4th. | [ɕi.ɡa.tsɯ.jok.ka.de.sɯ. ‖] | [ɕi.ɡa.tsɯ.jok.ka.des]
Japanese::N5::Numbers, Dates, Time | ごがついつかです。 | It is May 5th. | [ɡo.ɡa.tsɯ.i.tsɯ.ka.de.sɯ. ‖] | [ɡo.ɡa.tsɯ.i.tsɯ.ka.des]
Japanese::N5::Numbers, Dates, Time | ろくがつむいかです。 | It is June 6th. | [ɾo.kɯ.ɡa.tsɯ.mɯ.i.ka.de.sɯ. ‖] | [ɾo.kɯ.ɡa.tsɯ.mɯ.i.ka.des]
Japanese::N5::Numbers, Dates, Time | はちがつなのかです。 | It is August 7th. | [ha.tɕi.ɡa.tsɯ.na.no.ka.de.sɯ. ‖] | [ha.tɕi.ɡa.tsɯ.na.no.ka.des]
Japanese::N5::Numbers, Dates, Time | くがつようかです。 | It is September 8th. | [kɯ.ɡa.tsɯ.joː.ka.de.sɯ. ‖] | [kɯ.ɡa.tsɯ.joː.ka.des]
Japanese::N5::Numbers, Dates, Time | じゅうがつここのかです。 | It is October 9th. | [ʑɯː.ɡa.tsɯ.ko.ko.no.ka.de.sɯ. ‖] | [ʑɯː.ɡa.tsɯ.ko.ko.no.ka.des]
Japanese::N5::Numbers, Dates, Time | じゅういちがつとおかです。 | It is November 10th. | [ʑɯː.i.tɕi.ɡa.tsɯ.toː.ka.de.sɯ. ‖] | [ʑɯː.i.tɕi.ɡa.tsɯ.toː.ka.des]
Japanese::N5::Numbers, Dates, Time | じゅうにがつじゅうよっかです。 | It is December 14th. | [ʑɯː.ni.ɡa.tsɯ.ʑɯː.jok.ka.de.sɯ. ‖] | [ʑɯː.ni.ɡa.tsɯ.ʑɯː.jok.ka.des]
Japanese::N5::Numbers, Dates, Time | はつかです。 | It is the 20th day. | [ha.tsɯ.ka.de.sɯ. ‖] | [ha.tsɯ.ka.des]
Japanese::N5::Numbers, Dates, Time | にじゅうよっかです。 | It is the 24th day. | [ni.ʑɯː.jok.ka.de.sɯ. ‖] | [ni.ʑɯː.jok.ka.des]
Japanese::N5::Numbers, Dates, Time | なんじからなんじまでですか。 | From what time to what time is it? | [naɴ.ʑi.ka.ɾa.naɴ.ʑi.ma.de.de.sɯ.ka. ‖] | [nan.ʑi.ka.ɾa.nan.ʑi.ma.de.des.ka]
Japanese::N5::Numbers, Dates, Time | くじからごじまでです。 | It is from nine o'clock to five o'clock. | [kɯ.ʑi.ka.ɾa.ɡo.ʑi.ma.de.de.sɯ. ‖] | [kɯ.ʑi.ka.ɾa.ɡo.ʑi.ma.de.des]
Japanese::N5::Numbers, Dates, Time | じゅぎょうはなんじにおわりますか。 | What time does class end? | [ʑɯ.ɡʲoː.wa.naɴ.ʑi.ni.o.wa.ɾi.ma.sɯ.ka. ‖] | [ʑɯ.ɡʲoː.wa.nan.ʑi.ni.o.wa.ɾi.mas.ka]
Japanese::N5::Numbers, Dates, Time | よんじにおわります。 | It ends at four o'clock. | [joɴ.ʑi.ni.o.wa.ɾi.ma.sɯ. ‖] | [jon.ʑi.ni.o.wa.ɾi.mas]
