#lang: ja -> en
Japanese::N5::Self-introduction & basic identity | 初めまして。 | How do you do? | [ha.ʑi.me.ma.ɕi.te. ◌̄] | [ha.ʑi.me.ma.ɕi.te]
Japanese::N5::Self-introduction & basic identity | 鈴木さんは先生です。 | Mr. Suzuki is a teacher. | [sɯ.zɯ.ki.sa.ɴ.ɰa. ꜜ se.ɴ.seː.de.sɯ̥. ◌̄] | [sɯ.zɯ.ki.sa.ɴ.ɰa.se.ɴ.seː.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 鈴木さんは日本人です。 | Mr. Suzuki is Japanese. | [sɯ.zɯ.ki.sa.ɴ.ɰa. ꜜ ni.ho.ɴ.ʑi.ɴ.de.sɯ̥. ◌̄] | [sɯ.zɯ.ki.sa.ɴ.ɰa.ni.ho.ɴ.ʑi.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は三十歳です。 | I am thirty years old. | [ɰa.ta.ɕi.ɰa. ꜜ sa.ɴ.ʑuː.sa.i.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.sa.ɴ.ʑɯː.sa.i.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私はアメリカ人ではありません。 | I am not American. | [ɰa.ta.ɕi.ɰa. ꜜ a.me.ʁi.ka.ʑi.ɴ.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [ɰa.ta.ɕi.ɰa.a.me.ʁi.ka.ʑi.ɴ.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Self-introduction & basic identity | 会社員ですか。 | Are you an office worker? | [ka.i.ɕa.i.ɴ.de.sɯ.ka. ◌̄] | [ka.i.ɕa.i.ɴ.de.sɯ.ka]
Japanese::N5::Self-introduction & basic identity | はい、会社員です。 | Yes, I am an office worker. | [ha.i. ꜜ ka.i.ɕa.i.ɴ.de.sɯ̥. ◌̄] | [ha.i.ka.i.ɕa.i.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | いいえ、学生です。 | No, I am a student. | [iː.e. ꜜ ga.kɯ̥.seː.de.sɯ̥. ◌̄] | [iː.e.ɡa.kɯ̥.seː.de.sɯ]
Japanese::N5::Self-introduction & basic identity | おいくつですか。 | How old are you? | [o.i.kɯ.tsɯ.de.sɯ.ka. ◌̄] | [o.i.kɯ.tsɯ.de.sɯ.ka]
Japanese::N5::Self-introduction & basic identity | 二十二歳です。 | I am twenty-two years old. | [ni.ʑuː.ni.sa.i.de.sɯ̥. ◌̄] | [ni.ʑɯː.ni.sa.i.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 専門は何ですか。 | What is your specialty? | [se.ɴ.mo.ɴ.ɰa. ꜜ na.ni.de.sɯ.ka. ◌̄] | [se.ɴ.mo.ɴ.ɰa.na.ɴ.de.sɯ.ka]
Japanese::N5::Self-introduction & basic identity | 日本語です。 | It is Japanese. | [ni.ho.ɴ.go.de.sɯ̥. ◌̄] | [ni.ho.ɴ.ɡo.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 留学生ではありません。 | I am not an international student. | [ʁyɯː.ga.kɯ̥.seː.de.ɰa.a.ʁi.ma.se.ɴ. ◌̄] | [ʁyɯː.ɡa.kɯ̥.seː.de.ɰa.a.ʁi.ma.se.ɴ]
Japanese::N5::Self-introduction & basic identity | 私はエンジニアです。 | I am an engineer. | [ɰa.ta.ɕi.ɰa. ꜜ e.ɴ.ʑi.ni.a.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.e.ɴ.ʑi.ni.a.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 友達は中国人です。 | My friend is Chinese. | [to.mo.da.tɕi.ɰa. ꜜ tɕyɯː.go.kɯ̥.ʑi.ɴ.de.sɯ̥. ◌̄] | [to.mo.da.tɕi.ɰa.tɕyɯː.ɡo.kɯ̥.ʑi.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 友達は学生でした。 | My friend was a student. | [to.mo.da.tɕi.ɰa. ꜜ ga.kɯ̥.seː.de.ɕi.ta. ◌̄] | [to.mo.da.tɕi.ɰa.ɡa.kɯ̥.seː.de.ɕi.ta]
Japanese::N5::Self-introduction & basic identity | 私は学生じゃありません。 | I am not a student. | [ɰa.ta.ɕi.ɰa. ꜜ ga.kɯ̥.seː.ʑa.a.ʁi.ma.se.ɴ. ◌̄] | [ɰa.ta.ɕi.ɰa.ɡa.kɯ̥.seː.ʑa.a.ʁi.ma.se.ɴ]
Japanese::N5::Self-introduction & basic identity | 私は十八歳ではありませんでした。 | I was not eighteen years old. | [ɰa.ta.ɕi.ɰa. ꜜ ʑyɯː.ha.tɕi.sa.i.de.ɰa.a.ʁi.ma.se.ɴ.de.ɕi.ta. ◌̄] | [ɰa.ta.ɕi.ɰa.ʑyɯː.ha.tɕi.sa.i.de.ɰa.a.ʁi.ma.se.ɴ.de.ɕi.ta]
Japanese::N5::Self-introduction & basic identity | あの人も学生です。 | That person is also a student. | [a.no.hi.to.mo. ꜜ ga.kɯ̥.seː.de.sɯ̥. ◌̄] | [a.no.çi.to.mo.ɡa.kɯ̥.seː.de.sɯ]
Japanese::N5::Self-introduction & basic identity | どうぞよろしくお願いします。 | Nice to meet you. | [doː.zo.jo.ʁo.ɕi.kɯ.o.ne.ga.i.ɕi.ma.sɯ̥. ◌̄] | [doː.zo.jo.ʁo.ɕi.kɯ.o.ne.ɡa.i.ɕi.ma.sɯ]
Japanese::N5::Self-introduction & basic identity | こちらこそよろしくお願いします。 | Pleased to meet you too. | [ko.tɕi.ʁa.ko.so.jo.ʁo.ɕi.kɯ.o.ne.ga.i.ɕi.ma.sɯ̥. ◌̄] | [ko.tɕi.ʁa.ko.so.jo.ʁo.ɕi.kɯ.o.ne.ɡa.i.ɕi.ma.sɯ]
Japanese::N5::Self-introduction & basic identity | 私はフランス人です。 | I am French. | [ɰa.ta.ɕi.ɰa. ꜜ fɯ.ʁa.ɴ.sɯ.ʑi.ɴ.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.fɯ.ʁa.ɴ.sɯ.ʑi.ɴ.de.sɯ]
Japanese::N5::Self-introduction & basic identity | 私は四十歳です。 | I am forty years old. | [ɰa.ta.ɕi.ɰa. ꜜ jo.ɴ.ʑuː.sa.i.de.sɯ̥. ◌̄] | [ɰa.ta.ɕi.ɰa.jo.ɴ.ʑɯː.sa.i.de.sɯ]
Japanese::N5::Self-introduction & basic identity | よろしくお願いします。 | Nice to meet you. | [jo.ʁo.ɕi.kɯ.o.ne.ga.i.ɕi.ma.sɯ̥. ◌̄] | [jo.ʁo.ɕi.kɯ.o.ne.ɡa.i.ɕi.ma.sɯ]
