Japanese::N5::Progressive/Resultant State | 今雨が降っています。 | It is raining now. | [ima̠ a̠me̞ ɡa̠ fɯ̟ᵝtte̞ ima̠sɨᵝ] | [ima̠ a̠me̞ ɡa̠ fɯ̟ᵝtte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 子供たちが公園で遊んでいます。 | Children are playing in the park. | [ko̞do̞mo̞ta̠tɕi ɡa̠ koːe̞ɴ de̞ a̠so̞nde̞ ima̠sɨᵝ] | [ko̞do̞mo̞ta̠tɕi ɡa̠ koːe̞ŋ de̞ a̠so̞nde̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 電車が来ています。 | The train is coming. | [de̞ɴɕa̠ ɡa̠ kite̞ ima̠sɨᵝ] | [de̞ɴɕa̠ ɡa̠ kite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 兄は大学で日本語を教えています。 | My older brother teaches Japanese at university. | [a̠ni wa̠ da̠iɡa̠kɯ̟ᵝ de̞ niho̞ɴɡo̞ o̞ o̞ɕie̞te̞ ima̠sɨᵝ] | [a̠ni wa̠ da̠iɡa̠kɯ̟ᵝ de̞ niho̞ŋɡo̞ o̞ o̞ɕie̞te̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 黒い帽子をかぶっています。 | She is wearing a black hat. | [kɯ̟ᵝɾo̞i boːɕi o̞ ka̠bɯ̟ᵝtte̞ ima̠sɨᵝ] | [kɯ̟ᵝɾo̞i boːɕi o̞ ka̠bɯ̟ᵝtte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 彼女は青いズボンをはいています。 | She is wearing blue trousers. | [ka̠no̞dʑo̞ wa̠ a̠o̞i zɯ̟ᵝbo̞ɴ o̞ ha̠ite̞ ima̠sɨᵝ] | [ka̠no̞dʑo̞ wa̠ a̠o̞i zɯ̟ᵝbo̞ŋ o̞ ha̠ite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 窓が開いています。 | The window is open. | [ma̠do̞ ɡa̠ a̠ite̞ ima̠sɨᵝ] | [ma̠do̞ ɡa̠ a̠ite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 電気 E-N5 がついています。 | The light is on. | [de̞ŋki ɡa̠ tsɨᵝkite̞ ima̠sɨᵝ] | [de̞ŋki ɡa̠ tsɨᵝkite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | ドアが閉まっています。 | The door is closed. | [doa ɡa̠ ɕima̠tte̞ ima̠sɨᵝ] | [doa ɡa̠ ɕima̠tte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 猫がベッドで寝ています。 | The cat is sleeping on the bed. | [ne̞ko̞ ɡa̠ be̞dːo̞ de̞ ne̞te̞ ima̠sɨᵝ] | [ne̞ko̞ ɡa̠ be̞dːo̞ de̞ ne̞te̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 今何をしていますか。 | What are you doing right now? | [ima̠ na̠ni o̞ ɕite̞ ima̠sɨᵝ ka̠] | [ima̠ na̠ni o̞ ɕte̞ ima̠sɨᵝ ka̠]
Japanese::N5::Progressive/Resultant State | テレビを見ています。 | I am watching television. | [te̞ɾe̞bi o̞ miːte̞ ima̠sɨᵝ] | [te̞ɾe̞bi o̞ miːte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 友達を待っています。 | I am waiting for my friend. | [to̞mo̞da̠tɕi o̞ ma̠tte̞ ima̠sɨᵝ] | [to̞mo̞da̠tɕi o̞ ma̠tte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 英語を勉強しています。 | I am studying English. | [eːɡo̞ o̞ be̞ŋkyoːɕite̞ ima̠sɨᵝ] | [eːɡo̞ o̞ be̞ŋkyoːɕte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 手紙を書いています。 | I am writing a letter. | [te̞ɡa̠mi o̞ ka̠ite̞ ima̠sɨᵝ] | [te̞ɡa̠mi o̞ ka̠ite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 彼は赤い靴をはいています。 | He is wearing red shoes. | [ka̠ɾe̞ wa̠ a̠ka̠i kɯ̟ᵝtsɨᵝ o̞ ha̠ite̞ ima̠sɨᵝ] | [ka̠ɾe̞ wa̠ a̠ka̠i kɯ̟ᵝtsɨᵝ o̞ ha̠ite̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 誰と電話していますか。 | Who are you talking on the phone with? | [da̠ɾe̞ to̞ de̞ɴwa̠ɕite̞ ima̠sɨᵝ ka̠] | [da̠ɾe̞ to̞ de̞ɴwa̠ɕte̞ ima̠sɨᵝ ka̠]
Japanese::N5::Progressive/Resultant State | 母と話しています。 | I am talking with my mother. | [ha̠ha̠ to̞ ha̠na̠ɕite̞ ima̠sɨᵝ] | [ha̠ha̠ to̞ ha̠na̠ɕte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | 荷物が届いています。 | The luggage/package has arrived. | [ni mo̞tsɨᵝ ɡa̠ to̞doːte̞ ima̠sɨᵝ] | [ni mo̞tsɨᵝ ɡa̠ to̞doːte̞ ima̠sɨᵝ]
Japanese::N5::Progressive/Resultant State | まだ覚えていますか。 | Do you still remember? | [ma̠da̠ o̞bo̞e̞te̞ ima̠sɨᵝ ka̠] | [ma̠da̠ o̞bo̞e̞te̞ ima̠sɨᵝ ka̠]
