Japanese::N5::い-Adjectives | この本は面白いです。 | This book is interesting. | [ko.no.hoɴ.wa.o.mo.ɕi.ɾo.i.de.sɯ. ‖] | [ko.no.ho.nwa.o.mo.ɕi.ɾo.i.des]
Japanese::N5::い-Adjectives | 安くないです。 | It is not cheap. | [ja.sɯ.kɯ.na.i.de.sɯ. ‖] | [ja.sɯ.kɯ.na.i.des]
Japanese::N5::い-Adjectives | この部屋は広いです。 | This room is spacious. | [ko.no.he.ja.wa.çi.ɾo.i.de.sɯ. ‖] | [ko.no.he.ja.wa.çi.ɾo.i.des]
Japanese::N5::い-Adjectives | わたしの部屋は狭いです。 | My room is small. | [wa.ta.ɕi.no.he.ja.wa.se.ba.i.de.sɯ. ‖] | [wa.ta.ɕi.no.he.ja.wa.se.ba.i.des]
Japanese::N5::い-Adjectives | この車は新しいです。 | This car is new. | [ko.no.kɯ.ɾɯ.ma.wa.a.ta.ɾa.ɕiː.de.sɯ. ‖] | [ko.no.kɯ.ɾɯ.ma.wa.a.ta.ɾa.ɕiː.des]
Japanese::N5::い-Adjectives | あの辞書は古いです。 | That dictionary is old. | [a.no.ʑi.ɕo.wa.fɯ.ɾɯ.i.de.sɯ. ‖] | [a.no.ʑi.ɕo.wa.fɯ.ɾɯ.i.des]
Japanese::N5::い-Adjectives | このテストは難しかったです。 | This test was difficult. | [ko.no.te.sɯ.to.wa.na.zɯ.ka.ɕi.kat.ta.de.sɯ. ‖] | [ko.no.te.sɯ.to.wa.na.zɯ.ka.ɕi.kat.ta.des]
Japanese::N5::い-Adjectives | 日本語は難しくないです。 | Japanese is not difficult. | [ni.hoɴ.ɡo.wa.na.zɯ.ka.ɕi.kɯ.na.i.de.sɯ. ‖] | [ni.hoŋ.ɡo.wa.na.zɯ.ka.ɕi.kɯ.na.i.des]
Japanese::N5::い-Adjectives | この問題は易しいです。 | This question is easy. | [ko.no.moɴ.da.i.wa.ja.sa.ɕiː.de.sɯ. ‖] | [ko.no.mon.da.i.wa.ja.sa.ɕiː.des]
Japanese::N5::い-Adjectives | その荷物は重いです。 | That luggage is heavy. | [so.no.ni.mo.tsɯ.wa.o.mo.i.de.sɯ. ‖] | [so.no.ni.mo.tsɯ.wa.o.mo.i.des]
Japanese::N5::い-Adjectives | この傘は軽いです。 | This umbrella is light. | [ko.no.ka.sa.wa.ka.ɾɯ.i.de.sɯ. ‖] | [ko.no.ka.sa.wa.ka.ɾɯ.i.des]
Japanese::N5::い-Adjectives | 富士山は高いです。 | Mt. Fuji is high. | [fɯ.ʑi.saɴ.wa.ta.ka.i.de.sɯ. ‖] | [fɯ.ʑi.sa.nwa.ta.ka.i.des]
Japanese::N5::い-Adjectives | そのビルは低いです。 | That building is low. | [so.no.bi.ɾɯ.wa.çi.kɯ.i.de.sɯ. ‖] | [so.no.bi.ɾɯ.wa.çi.kɯ.i.des]
Japanese::N5::い-Adjectives | 今日は忙しいです。 | Today I am busy. | [kʲoː.wa.i.so.ɡa.ɕiː.de.sɯ. ‖] | [kʲoː.wa.i.so.ɡa.ɕiː.des]
Japanese::N5::い-Adjectives | 昨日は忙しくなかったです。 | Yesterday I was not busy. | [ki.noː.wa.i.so.ɡa.ɕi.kɯ.na.kat.ta.de.sɯ. ‖] | [ki.noː.wa.i.so.ɡa.ɕi.kɯ.na.kat.ta.des]
Japanese::N5::い-Adjectives | 天気はいいです。 | The weather is good. | [teɴ.ki.wa.iː.de.sɯ. ‖] | [teŋ.ki.wa.iː.des]
Japanese::N5::い-Adjectives | 天気はよくないです。 | The weather is not good. | [teɴ.ki.wa.jo.kɯ.na.i.de.sɯ. ‖] | [teŋ.ki.wa.jo.kɯ.na.i.des]
Japanese::N5::い-Adjectives | 天気はよかったです。 | The weather was good. | [teɴ.ki.wa.jo.kat.ta.de.sɯ. ‖] | [teŋ.ki.wa.jo.kat.ta.des]
Japanese::N5::い-Adjectives | この靴は大きいです。 | These shoes are big. | [ko.no.kɯ.tsɯ.wa.oː.kiː.de.sɯ. ‖] | [ko.no.kɯ.tsɯ.wa.oː.kiː.des]
Japanese::N5::い-Adjectives | そのシャツは小さいです。 | That shirt is small. | [so.no.ɕa.tsɯ.wa.tɕiː.sa.i.de.sɯ. ‖] | [so.no.ɕa.tsɯ.wa.tɕiː.sa.i.des]
