Japanese::N5::Permission, prohibition & obligation | ここで写真を撮ってもいいですか。 | May I take photographs here | [ko.ko.de ɕa.ɕi.ɴ.o to.ʔ.te.mo i.i.de.sɯ.ka] | [koko de ɕaɕiɴ o to t temo iː des ka]
Japanese::N5::Permission, prohibition & obligation | パスポートを見せなければなりません。 | You must show your passport. | [pa.sɯ.poː.to.o mi.se.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [pasɯpoːto o misenak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 靴を脱がなければなりません。 | You must take off your shoes. | [kɯ.tsɯ.o nɯ.ɡa.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [kɯts o nɯŋanak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 今日、会社へ行かなくてもいいです。 | You do not have to go to work today. | [kʲoː ka.i.ɕa.e i.ka.na.kɯ.te.mo i.i.de.sɯ] | [kʲoː kaiɕa e ikanaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 払わなくてもいいです。 | You do not have to pay. | [ha.ra.ɰa.na.kɯ.te.mo i.i.de.sɯ] | [haɾaɰanaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 急がなくてもいいです。 | You do not need to hurry. | [i.so.ɡa.na.kɯ.te.mo i.i.de.sɯ] | [isoŋanaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 傘を持って行かなくてもいいです。 | You do not need to bring an umbrella. | [ka.sa.o mo.ʔ.te i.ka.na.kɯ.te.mo i.i.de.sɯ] | [kasa o mo t te ikanaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 名前を書かなくてもいいですか。 | Do I not have to write my name | [na.ma.e.o ka.ka.na.kɯ.te.mo i.i.de.sɯ.ka] | [namae o kakanaktemo iː des ka]
Japanese::N5::Permission, prohibition & obligation | 窓を開けてもいいですか。 | May I open the window | [ma.do.o a.ke.te.mo i.i.de.sɯ.ka] | [mado o aketemo iː des ka]
Japanese::N5::Permission, prohibition & obligation | ここで休んでもいいです。 | You may rest here. | [ko.ko.de ja.sɯ.ɴ.de.mo i.i.de.sɯ] | [koko de jasɯnde mo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | お酒を飲んではいけません。 | You must not drink alcohol. | [o.sa.ke.o no.ɴ.de.ɰa i.ke.ma.se.ɴ] | [osake o noɴdeβa ikemaseɴ]
Japanese::N5::Permission, prohibition & obligation | 教室で食べてはいけません。 | You must not eat in the classroom. | [kʲoː.ɕi.tsɯ.de ta.be.te.ɰa i.ke.ma.se.ɴ] | [kʲoːɕts de tabeteβa ikemaseɴ]
Japanese::N5::Permission, prohibition & obligation | 遅れないでください。 | Please do not be late. | [o.kɯ.ɾe.na.i.de kɯ.da.sa.i] | [okɯɾenai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 荷物を置かないでください。 | Please do not place your luggage here. | [ni.mo.tsɯ.o o.ka.na.i.de kɯ.da.sa.i] | [nimots o okanai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 電車の中で電話をしないでください。 | Please do not use your phone on the train. | [de.ɴ.ɕa.no na.ka.de de.ɴ.ɰa.o ɕi.na.i.de kɯ.da.sa.i] | [deɴɕa no naka de deŋβa o ɕinai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | レポートを出さなければなりません。 | I must submit the report. | [re.poː.to.o da.sa.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [repoːto o dasanak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 漢字を覚えなければなりません。 | I must memorise the kanji. | [ka.ɴ.ji.o o.bo.e.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [kaɴdʑi o oboenak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 八時までに帰らなければなりません。 | I must return home by eight o'clock. | [ha.chi.ji.ma.de.ni ka.e.ra.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [hatɕidʑi madeni kaeɾanak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 来なくてもいいです。 | You do not have to come. | [ko.na.kɯ.te.mo i.i.de.sɯ] | [konaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 明日は起きなくてもいいです。 | You do not have to wake up early tomorrow. | [a.ɕi.ta.ɰa o.ki.na.kɯ.te.mo i.i.de.sɯ] | [aɕtaβa okinaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 電気をつけるてもいいですか。 | May I turn on the light | [de.ɴ.ki.o tsɯ.ke.te.mo i.i.de.sɯ.ka] | [deŋkʲi o tsɯketemo iː des ka]
Japanese::N5::Permission, prohibition & obligation | ここで待たなくてもいいです。 | You do not have to wait here. | [ko.ko.de ma.ta.na.kɯ.te.mo i.i.de.sɯ] | [koko de matanaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 危険ですから、入らないでください。 | Because it is dangerous, please do not enter. | [ki.ke.ɴ.de.sɯ.ka.ra ha.i.ra.na.i.de kɯ.da.sa.i] | [kʲikeɴ des kaɾa haiɾanai de kɯdasai]
Japanese::N5::Permission, prohibition & obligation | 答えを書かなければなりません。 | You must write the answer. | [ko.ta.e.o ka.ka.na.ke.ɾe.ba na.ɾi.ma.se.ɴ] | [kotae o kakanak eɾeba naɾimaseɴ]
Japanese::N5::Permission, prohibition & obligation | 全部食べなくてもいいです。 | You do not have to eat everything. | [ze.ɴ.bɯ ta.be.na.kɯ.te.mo i.i.de.sɯ] | [zembu tabenaktemo iː de͍sᶍ]
Japanese::N5::Permission, prohibition & obligation | 自由に使ってもいいです。 | You may use it freely. | [ji.jɯː.ni tsɯ.ka.ʔ.te.mo i.i.de.sɯ] | [dʑijɯː ni tsɯka t temo iː de͍sᶍ]
