Japanese::N5::Location & Directions | ここはどこですか。 | Where is this place? | [ko.ko.wa.do.ko.de.sɯ.ka. ‖] | [ko.ko.wa.do.ko.des.ka]
Japanese::N5::Location & Directions | 公園の近くに交番があります。 | There is a police box near the park. | [koː.eɴ.no.tɕi.ka.kɯ.ni.koː.baɴ.ɡa.a.ɾi.ma.sɯ. ‖] | [koː.eɳ.no.tɕi.ka.kɯ.ni.koː.baŋ.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | エレベーターはあちらです。 | The elevator is over there in that direction. | [e.ɾe.beː.taː.wa.a.tɕi.ɾa.de.sɯ. ‖] | [e.ɾe.beː.taː.wa.a.tɕi.ɾa.des]
Japanese::N5::Location & Directions | エスカレーターのそばに階段があります。 | There are stairs near the escalator. | [e.sɯ.ka.ɾeː.taː.no.so.ba.ni.ka.i.daɴ.ɡa.a.ɾi.ma.sɯ. ‖] | [e.sɯ.ka.ɾeː.taː.no.so.ba.ni.ka.i.daŋ.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | 会社はどちらですか。 | Which direction is your company? | [ka.i.ɕa.wa.do.tɕi.ɾa.de.sɯ.ka. ‖] | [ka.i.ɕa.wa.do.tɕi.ɾa.des.ka]
Japanese::N5::Location & Directions | ここで写真を撮ります。 | I take photos here. | [ko.ko.de.ɕa.ɕiɴ.o.to.ɾi.ma.sɯ. ‖] | [ko.ko.de.ɕa.ɕi.no.to.ɾi.mas]
Japanese::N5::Location & Directions | あそこでバスに乗ります。 | I board the bus over there. | [a.so.ko.de.ba.sɯ.ni.no.ɾi.ma.sɯ. ‖] | [a.so.ko.de.ba.sɯ.ni.no.ɾi.mas]
Japanese::N5::Location & Directions | 駅から歩いて行きます。 | I will go on foot from the station. | [e.ki.ka.ɾa.a.ɾɯ.i.te.i.ki.ma.sɯ. ‖] | [e.ki.ka.ɾa.a.ɾɯ.i.te.i.ki.mas]
Japanese::N5::Location & Directions | スーパーはどこにありますか。 | Where is the supermarket located? | [sɯː.paː.wa.do.ko.ni.a.ɾi.ma.sɯ.ka. ‖] | [sɯː.paː.wa.do.ko.ni.a.ɾi.mas.ka]
Japanese::N5::Location & Directions | 病院の外にタクシーがいます。 | There is a taxi outside the hospital. | [bʲoː.iɴ.no.so.to.ni.ta.kɯ.ɕiː.ɡa.i.ma.sɯ. ‖] | [bʲoː.iɳ.no.so.to.ni.tak.ɕiː.ɡa.i.mas]
Japanese::N5::Location & Directions | 部屋の間にてーぶるがあります。 | There is a table between the rooms. | [he.ja.no.a.i.da.ni.teː.bɯ.ɾɯ.ɡa.a.ɾi.ma.sɯ. ‖] | [he.ja.no.a.i.da.ni.teː.bɯ.ɾɯ.ɡa.a.ɾi.mas]
Japanese::N5::Location & Directions | 北の方へ行きます。 | I am going towards the north. | [ki.ta.no.hoː.he.i.ki.ma.sɯ. ‖] | [ki.ta.no.hoː.e.i.ki.mas]
Japanese::N5::Location & Directions | 南の国に行きたいです。 | I want to go to a southern country. | [mi.na.mi.no.kɯ.ni.ni.i.ki.ta.i.de.sɯ. ‖] | [mi.na.mi.no.kɯ.ni.ni.i.ki.ta.i.des]
Japanese::N5::Location & Directions | 東の出口から出ます。 | I will exit from the east exit. | [çi.ɡa.ɕi.no.de.ɡɯ.tɕi.ka.ɾa.de.ma.sɯ. ‖] | [çi.ɡa.ɕi.no.de.ɡɯ.tɕi.ka.ɾa.de.mas]
