Japanese::N5::Te-Form Formation | 本を書いています。 | I am writing a book. | [ho̞ɴ o̞ ka̠ite̞ ima̠sɨᵝ] | [ho̞ŋ o̞ ka̠ite̞ ima̠sɨᵝ]
Japanese::N5::Te-Form Formation | テレビを見てねます。 | I watch TV and go to bed. | [te̞ɾe̞bi o̞ miːte̞ ne̞ma̠sɨᵝ] | [te̞ɾe̞bi o̞ miːte̞ ne̞ma̠sɨᵝ]
Japanese::N5::Te-Form Formation | 日本語を習って、教えます。 | I learn Japanese and teach it. | [niho̞ɴɡo̞ o̞ na̠ɾa̠tte̞ o̞ɕie̞ma̠sɨᵝ] | [niho̞ŋɡo̞ o̞ na̠ɾa̠tte̞ o̞ɕie̞ma̠sɨᵝ]
Japanese::N5::Te-Form Formation | 荷物を手伝ってください。 | Please help me with my luggage. | [ni mo̞tsɨᵝ o̞ te̞tsɨᵝda̠tte̞ kɯ̟ᵝda̠sa̠i] | [ni mo̞tsɨᵝ o̞ te̞tsɨᵝda̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 部屋を掃除して、洗濯します。 | I clean the room and do the laundry. | [he̞ya̠ o̞ soːdʑiɕite̞ se̞nta̠kɯ̟ᵝɕima̠sɨᵝ] | [he̞ya̠ o̞ soːdʑiɕte̞ se̞nta̠kɯ̟ᵝɕima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 電気を消してください。 | Please turn off the light. | [de̞ŋki o̞ ke̞ɕite̞ kɯ̟ᵝda̠sa̠i] | [de̞ŋki o̞ ke̞ɕte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | エアコンをつけてください。 | Please turn on the air conditioner. | [e̞a̠ko̞ɴ o̞ tsɨᵝke̞te̞ kɯ̟ᵝda̠sa̠i] | [e̞a̠ko̞ŋ o̞ tsɨᵝke̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 辞書を使ってください。 | Please use the dictionary. | [dʑiɕo̞ o̞ tsɨᵝka̠tte̞ kɯ̟ᵝda̠sa̠i] | [dʑiɕo̞ o̞ tsɨᵝka̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | ここに名前を書いてください。 | Please write your name here. | [ko̞ko̞ ni na̠ma̠e̞ o̞ ka̠ite̞ kɯ̟ᵝda̠sa̠i] | [ko̞ko̞ ni na̠ma̠e̞ o̞ ka̠ite̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | タクシーを呼んでください。 | Please call a taxi. | [ta̠kɯ̟ᵝɕiː o̞ yo̞nde̞ kɯ̟ᵝda̠sa̠i] | [ta̠kɯ̟ᵝɕiː o̞ yo̞nde̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | パスポートを見せてください。 | Please show your passport. | [pa̠sɨᵝpoːto̞ o̞ miɕe̞te̞ kɯ̟ᵝda̠sa̠i] | [pa̠sɨᵝpoːto̞ o̞ miɕe̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 住所を教えてください。 | Please tell me your address. | [dʑɯ̟ᵝːɕo̞ o̞ o̞ɕie̞te̞ kɯ̟ᵝda̠sa̠i] | [dʑɯ̟ᵝːɕo̞ o̞ o̞ɕie̞te̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | まっすぐ行ってください。 | Please go straight ahead. | [ma̠sːɯ̟ᵝɡɯ̟ᵝ itːe̞ kɯ̟ᵝda̠sa̠i] | [ma̠sːɯ̟ᵝɡɯ̟ᵝ itːe̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 右へ曲がってください。 | Please turn right. | [miɡi e̞ ma̠ɡa̠tte̞ kɯ̟ᵝda̠sa̠i] | [miɡi e̞ ma̠ɡa̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | ここで止まってください。 | Please stop here. | [ko̞ko̞ de̞ to̞ma̠tte̞ kɯ̟ᵝda̠sa̠i] | [ko̞ko̞ de̞ to̞ma̠tte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 傘を貸してください。 | Please lend me an umbrella. | [ka̠sa̠ o̞ ka̠ɕite̞ kɯ̟ᵝda̠sa̠i] | [ka̠sa̠ o̞ ka̠ɕte̞ kɯ̟ᵝda̠sa̠i]
Japanese::N5::Te-Form Formation | 荷物を持ちましょうか。 | Shall I carry your luggage? | [ni mo̞tsɨᵝ o̞ mo̞tɕima̠ɕoː ka̠] | [ni mo̞tsɨᵝ o̞ mo̞tɕima̠ɕoː ka̠]
Japanese::N5::Te-Form Formation | 車を止めて、おります。 | I will stop the car and get off. | [kɯ̟ᵝɾɯ̟ᵝma̠ o̞ to̞me̞te̞ o̞ɾima̠sɨᵝ] | [kɯ̟ᵝɾɯ̟ᵝma̠ o̞ to̞me̞te̞ o̞ɾima̠sɨᵝ]
Japanese::N5::Te-Form Formation | 漢字を覚えてください。 | Please memorize the kanji. | [ka̠ndʑi o̞ o̞bo̞e̞te̞ kɯ̟ᵝda̠sa̠i] | [ka̠ndʑi o̞ o̞bo̞e̞te̞ kɯ̟ᵝda̠sa̠i]
