Japanese::N5::な-Adjectives | この町は静かです。 | This town is quiet. | [ko.no.ma.tɕi.wa.ɕi.zɯ.ka.de.sɯ. ‖] | [ko.no.ma.tɕi.wa.ɕi.zɯ.ka.des]
Japanese::N5::な-Adjectives | 車はとても便利です。 | Cars are very convenient. | [kɯ.ɾɯ.ma.wa.to.te.mo.beɴ.ɾi.de.sɯ. ‖] | [kɯ.ɾɯ.ma.wa.to.te.mo.ben.ɾi.des]
Japanese::N5::な-Adjectives | 親切な友達に会いました。 | I met a kind friend. | [ɕiɴ.se.tsɯ.na.to.mo.da.tɕi.ni.a.i.ma.ɕi.ta. ‖] | [ɕiɳ.se.tsɯ.na.to.mo.da.tɕi.ni.a.i.ma.ɕta]
Japanese::N5::な-Adjectives | にぎやかな町が好きです。 | I like lively towns. | [ni.ɡi.ja.ka.na.ma.tɕi.ɡa.sɯ.ki.de.sɯ. ‖] | [ni.ɡi.ja.ka.na.ma.tɕi.ɡa.sɯ.ki.des]
Japanese::N5::な-Adjectives | 暇な時、本を読みます。 | In my free time, I read books. | [çi.ma.na.to.ki. ‖ hoɴ.o.jo.mi.ma.sɯ. ‖] | [çi.ma.na.to.ki ‖ ho.no.jo.mi.mas]
Japanese::N5::な-Adjectives | このアパートは静かではありませんでした。 | This apartment was not quiet. | [ko.no.a.paː.to.wa.ɕi.zɯ.ka.de.wa.a.ɾi.ma.seɴ.de.ɕi.ta. ‖] | [ko.no.a.paː.to.wa.ɕi.zɯ.ka.de.wa.a.ɾi.ma.seŋ.de.ɕta]
Japanese::N5::な-Adjectives | 昨日は元気じゃありませんでした。 | I was not well yesterday. | [ki.noː.wa.ɡeɴ.ki.ʑa.a.ɾi.ma.seɴ.de.ɕi.ta. ‖] | [ki.noː.wa.ɡeɲ.ki.ʑa.a.ɾi.ma.seŋ.de.ɕta]
Japanese::N5::な-Adjectives | 大切な書類です。 | It is an important document. | [ta.i.se.tsɯ.na.ɕo.ɾɯ.i.de.sɯ. ‖] | [ta.i.se.tsɯ.na.ɕo.ɾɯ.i.des]
Japanese::N5::な-Adjectives | 図書館は静かなところです。 | The library is a quiet place. | [to.ɕo.kaɴ.wa.ɕi.zɯ.ka.na.to.ko.ɾo.de.sɯ. ‖] | [to.ɕo.kaɳ.wa.ɕi.zɯ.ka.na.to.ko.ɾo.des]
Japanese::N5::な-Adjectives | それは大変ですね。 | That sounds tough, doesn't it? | [so.ɾe.wa.ta.i.heɴ.de.sɯ.ne. ‖] | [so.ɾe.wa.ta.i.hen.des.ne]
Japanese::N5::な-Adjectives | この辞書は便利ではありません。 | This dictionary is not convenient. | [ko.no.ʑi.ɕo.wa.beɴ.ɾi.de.wa.a.ɾi.ma.seɴ. ‖] | [ko.no.ʑi.ɕo.wa.ben.ɾi.de.wa.a.ɾi.ma.seŋ]
Japanese::N5::な-Adjectives | 明日は暇ですか。 | Are you free tomorrow? | [a.ɕi.ta.wa.çi.ma.de.sɯ.ka. ‖] | [a.ɕta.wa.çi.ma.des.ka]
