Japanese::N5::Ability & potential | 私は日本語を話すことができます。 | I can speak Japanese. | [ɰa.ta.ɕi.ɰa ni.ho.ɴ.ɡo.o ha.na.sɯ ko.to.ɡa de.ki.ma.sɯ̥] | [ɰataɕi βa nihoɴŋo o hanas kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | 時間が欲しいです。 | I want time. | [ji.ka.ɴ.ɡa ho.ɕi.i.de.sɯ̥] | [dʑikaɴ ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 新しい車が欲しかったです。 | I wanted a new car. | [a.ta.ra.ɕi.i kɯ.ɾɯ.ma.ɡa ho.ɕi.kaʔ.ta.de.sɯ̥] | [ataɾaɕiː kɯɾɯma ŋa hoɕi ka t̞ ta de͍sᶍ]
Japanese::N5::Ability & potential | 誕生日に時計が欲しいです。 | I want a watch for my birthday. | [ta.ɴ.joː.bi.ni to.keː.ɡa ho.ɕi.i.de.sɯ̥] | [taɴdʑoːbi ni tokeː ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 青い辞書が欲しいです。 | I want a blue dictionary. | [a.o.i ji.ɕo.ɡa ho.ɕi.i.de.sɯ̥] | [aoi dʑiɕo ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 休みが欲しいです。 | I want time off. | [ja.sɯ.mi.ɡa ho.ɕi.i.de.sɯ̥] | [jasɯmi ŋa hoɕiː de͍sᶍ]
Japanese::N5::Ability & potential | 何が欲しいですか。 | What do you want? | [na.ni.ɡa ho.ɕi.i.de.sɯ.ka] | [nani ŋa hoɕiː de͍sᶍ ka]
Japanese::N5::Ability & potential | 何も欲しくありません。 | I do not want anything. | [na.ni.mo ho.ɕi.kɯ.a.ɾi.ma.se.ɴ] | [nanimo hoɕk aɾima seɴ]
Japanese::N5::Ability & potential | 私は日本語が少し話せます。 | I can speak a little Japanese. | [ɰa.ta.ɕi.ɰa ni.ho.ɴ.ɡo.ɡa sɯ.ko.ɕi ha.na.se.ma.sɯ̥] | [ɰataɕi βa nihoɴŋo ŋa sk oɕ hanase ma͍sᶍ]
Japanese::N5::Ability & potential | 漢字が書けます。 | I can write kanji. | [ka.ɴ.ji.ɡa ka.ke.ma.sɯ̥] | [kaɴdʑi ŋa kake ma͍sᶍ]
Japanese::N5::Ability & potential | お刺身が食べられます。 | I can eat sashimi. | [o.sa.ɕi.mi.ɡa ta.be.ra.ɾe.ma.sɯ̥] | [osaɕimi ŋa tabeɾaɾe ma͍sᶍ]
Japanese::N5::Ability & potential | 明日、学校へ行けます。 | I can go to school tomorrow. | [a.ɕi.ta ɡa.ʔ.koː.e i.ke.ma.sɯ̥] | [aɕta ŋak koː e ike ma͍sᶍ]
Japanese::N5::Ability & potential | ここから海が見えます。 | You can see the sea from here. | [ko.ko.ka.ra ɯ.mi.ɡa mi.e.ma.sɯ̥] | [kokokaɾa ɯmi ŋa mie ma͍sᶍ]
Japanese::N5::Ability & potential | 隣の部屋から声が聞こえます。 | I can hear a voice from the room next door. | [to.na.ɾi.no he.ja.ka.ra ko.e.ɡa ki.ko.e.ma.sɯ̥] | [tonaɾi no heja kaɾa koe ŋa kikoe ma͍sᶍ]
Japanese::N5::Ability & potential | 早く起きることができます。 | I can wake up early. | [ha.ja.kɯ o.ki.ɾɯ ko.to.ɡa de.ki.ma.sɯ̥] | [hajak okʲiɾɯ kot ŋa dekʲi ma͍sᶍ]
Japanese::N5::Ability & potential | ギターを弾くことができますか。 | Can you play the guitar? | [ɡi.taː.o hi.kɯ ko.to.ɡa de.ki.ma.sɯ.ka] | [ɡitaː o hk kot ŋa dekʲi ma͍sᶍ ka]
Japanese::N5::Ability & potential | この服は洗うことができます。 | You can wash these clothes. | [ko.no fɯ.kɯ.ɰa a.ra.ɯ ko.to.ɡa de.ki.ma.sɯ̥] | [kono ɸɯk βa aɾaɯ kot ŋa dekʲi ma͍sᶍ]
