Japanese::N5::Comparison (Basic) | これとそれとどちらが大きいですか。 | Which is bigger, this or that? | [ko̞ɾe̞ to̞ so̞ɾe̞ to̞ do̞tɕiɾa̠ ɡa̠ oːkiː de̞sɨᵝ ka̠] | [ko̞ɾe̞ to̞ so̞ɾe̞ to̞ do̞tɕiɾa̠ ɡa̠ oːkiː de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | この鞄はその鞄より重いです。 | This bag is heavier than that bag. | [ko̞no̞ ka̠ba̠ɴ wa̠ so̞no̞ ka̠ba̠ɴ yo̞ɾi o̞mo̞i de̞sɨᵝ] | [ko̞no̞ ka̠ba̠ŋ wa̠ so̞no̞ ka̠ba̠ŋ yo̞ɾi o̞mo̞i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | サッカーと野球とどちらがおもしろいですか。 | Which is more interesting, football or baseball? | [sa̠kkaː to̞ ya̠kyː to̞ do̞tɕiɾa̠ ɡa̠ o̞mo̞ɕiɾo̞i de̞sɨᵝ ka̠] | [sa̠kkaː to̞ ya̠kyː to̞ do̞tɕiɾa̠ ɡa̠ o̞mo̞ɕiɾo̞i de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | サッカーの方がおもしろいです。 | Football is more interesting. | [sa̠kkaː no̞ hoː ɡa̠ o̞mo̞ɕiɾo̞i de̞sɨᵝ] | [sa̠kkaː no̞ hoː ɡa̠ o̞mo̞ɕiɾo̞i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 果物の中で何が一番好きですか。 | Among fruits, what do you like the most? | [kɯ̟ᵝda̠mo̞no̞ no̞ na̠ka̠ de̞ na̠ni ɡa̠ itɕiba̠ɴ sɨᵝki de̞sɨᵝ ka̠] | [kɯ̟ᵝda̠mo̞no̞ no̞ na̠ka̠ de̞ na̠ni ɡa̠ itɕiba̠m sɨᵝki de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | イチゴが一番好きです。 | I like strawberries the most. | [itɕiɡo̞ ɡa̠ itɕiba̠ɴ sɨᵝki de̞sɨᵝ] | [itɕiɡo̞ ɡa̠ itɕiba̠m sɨᵝki de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 一年の中でいつが一番暑いですか。 | When is the hottest time in a year? | [itɕine̞ɴ no̞ na̠ka̠ de̞ itsɨᵝ ɡa̠ itɕiba̠ɴ a̠tsɨᵝi de̞sɨᵝ ka̠] | [itɕine̞ɴ no̞ na̠ka̠ de̞ itsɨᵝ ɡa̠ itɕiba̠m a̠tsɨᵝi de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 八月が一番暑いです。 | August is the hottest. | [ha̠tɕiɡa̠tsɨᵝ ɡa̠ itɕiba̠ɴ a̠tsɨᵝi de̞sɨᵝ] | [ha̠tɕiɡa̠tsɨᵝ ɡa̠ itɕiba̠m a̠tsɨᵝi de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | スポーツの中で何が一番おもしろいですか。 | Among sports, what is the most interesting? | [sɨᵝpoːtsɨᵝ no̞ na̠ka̠ de̞ na̠ni ɡa̠ itɕiba̠ɴ o̞mo̞ɕiɾo̞i de̞sɨᵝ ka̠] | [sɨᵝpoːtsɨᵝ no̞ na̠ka̠ de̞ na̠ni ɡa̠ itɕiba̠m o̞mo̞ɕiɾo̞i de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 水泳が一番おもしろいです。 | Swimming is the most interesting. | [sɯ̟ᵝieː ɡa̠ itɕiba̠ɴ o̞mo̞ɕiɾo̞i de̞sɨᵝ] | [sɯ̟ᵝieː ɡa̠ itɕiba̠m o̞mo̞ɕiɾo̞i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | 家族の中で誰が一番背が高いですか。 | Who is the tallest in your family? | [ka̠zo̞kɯ̟ᵝ no̞ na̠ka̠ de̞ da̠ɾe̠ ɡa̠ itɕiba̠ɴ se̞ ɡa̠ ta̠ka̠i de̞sɨᵝ ka̠] | [ka̠zo̞kɯ̟ᵝ no̞ na̠ka̠ de̞ da̠ɾe̠ ɡa̠ itɕiba̠ɴ se̞ ɡa̠ ta̠ka̠i de̞sɨᵝ ka̠]
Japanese::N5::Comparison (Basic) | 兄が一番背が高いです。 | My older brother is the tallest. | [a̠ni ɡa̠ itɕiba̠ɴ se̞ ɡa̠ ta̠ka̠i de̞sɨᵝ] | [a̠ni ɡa̠ itɕiba̠m se̞ ɡa̠ ta̠ka̠i de̞sɨᵝ]
Japanese::N5::Comparison (Basic) | この本はあの本ほどおもしろくないです。 | This book is not as interesting as that book over there. | [ko̞no̞ ho̞ɴ wa̠ a̠no̞ ho̞ɴ ho̞do̞ o̞mo̞ɕiɾo̞kɯ̟ᵝna̠i de̞sɨᵝ] | [ko̞no̞ ho̞ŋ wa̠ a̠no̞ ho̞m ho̞do̞ o̞mo̞ɕiɾo̞kɯ̟ᵝna̠i de̞sɨᵝ]
