Japanese::N5::Inviting, Accepting & Declining | 一緒に映画を見に行きませんか。 | Won't you go to see a movie together? | [itːɕo̞ ni eːɡa͍ o̞ mi ni iki ma͍se̞ɴ ka͍] | [iɕːo̞ ɲi eːɡa͍ o̞ mi ɲiːki ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | また今度誘ってください。 | Please invite me again next time. | [ma͍ta͍ ko̞ndo̞ sa͍so͍tːe̞ kɯ͍da͍sa͍i] | [ma͍ta͍ ko̞ndo̞ sa͍so͍tːe̞ kɯ͍da͍sa͍i]
Japanese::N5::Inviting, Accepting & Declining | 日曜日にサッカーをしませんか。 | Won't you play soccer on Sunday? | [ɲit͡ɕijoːbi ni sa͍kːaː o̞ ɕima͍se̞ɴ ka͍] | [ɲit͡ɕijoːbi ɲi sa͍kːaː o̞ ɕima͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | ぜひ行きたいです。 | I'd love to go. | [ze̞hi ike̞ta͍i de̞sɨ̥] | [ze̞çiːke̞ta͍i de̞s]
Japanese::N5::Inviting, Accepting & Declining | その日は都合が悪いんです。 | That day is a bit inconvenient for me. | [so̞no̞ hi wa̠ t͡sɯ͍ɡoː ɡa̠ wa͍ɾɯ͍i ɴ de̞sɨ̥] | [so̞no̞ çi wa̠ t͡sɯ͍ɡoː ɡa͍ wa͍ɾɯ͍i ɴ de̞s]
Japanese::N5::Inviting, Accepting & Declining | 今夜、居酒屋へ行きませんか。 | Won't you go to an izakaya tonight? | [ko̞ɴja͍ iza͍ka͍ja͍ e̞ iki ma͍se̞ɴ ka͍] | [ko̞ɴja͍ iza͍ka͍ja͍ e̞ːki ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | もちろん、行きましょう。 | Of course, let's go. | [mo̞t͡ɕiɾo̞ɴ iki ma͍ɕoː] | [mo̞t͡ɕiɾo̞ɴ iki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | 申し訳ありませんが、先約があります。 | I am deeply sorry, but I have a previous engagement. | [moːɕiwa͍ke͍ a̠ɾʲima͍se̞ɴ ɡa̠ se̞ɴja͍kɯ͍ ɡa̠ a̠ɾʲima͍sɨ̥] | [moːɕiwa͍ke͍ a͍ɾʲima͍se̞ŋ ɡa͍ se̞ɴja͍kɯ͍ ɡa͍ a͍ɾʲima͍s]
Japanese::N5::Inviting, Accepting & Declining | 一緒に買い物に行きましょう。 | Let's go shopping together. | [itːɕo̞ ni ka͍imo̞no̞ ni iki ma͍ɕoː] | [iɕːo̞ ɲi ka͍imo̞no̞ ɲiːki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | 楽しそうですね。行きましょう。 | That sounds fun. Let's go. | [ta͍no̞ɕi soː de̞sɨ̥ ne̞ iki ma͍ɕoː] | [ta͍no̞ɕi soː de̞sne̞ iki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | 今日はちょっと忙しいです。 | I'm a bit busy today. | [kjoː wa̠ t͡ɕo̞tːo̞ iso̞ɡa͍ɕiː de̞sɨ̥] | [kjoː wa̠ t͡ɕo̞tːo̞ iso̞ɡa͍ɕiː de̞s]
Japanese::N5::Inviting, Accepting & Declining | テニスをしませんか。 | Won't you play tennis? | [te̞ɲisɯ͍ o̞ ɕima͍se̞ɴ ka͍] | [te̞ɲis o̞ ɕima͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | ええ、いいですよ。 | Yes, that's fine. | [eː iː de̞sɨ̥ jo̞] | [eː iː de̞sjo̞]
Japanese::N5::Inviting, Accepting & Declining | ちょっと用事があるので、また今度。 | I have some business to attend to, so maybe next time. | [t͡ɕo̞tːo̞ joːd͡ʑi ɡa̠ a̠ɾɯ͍ no̞de̞ ma͍ta͍ ko̞ndo̞] | [t͡ɕo̞tːo̞ joːd͡ʑi ɡa͍ a͍ɾɯ͍ no̞de̞ ma͍ta͍ ko̞ndo̞]
Japanese::N5::Inviting, Accepting & Declining | コンサートのチケットがありますが、一緒に行きませんか。 | I have concert tickets, won't you go together? | [ko̞ɴsaːto̞ no̞ t͡ɕike̞tːo̞ ɡa̠ a̠ɾʲima͍sɨ̥ ɡa̠ itːɕo̞ ni iki ma͍se̞ɴ ka͍] | [ko̞ɴsaːto̞ no̞ t͡ɕike̞tːo̞ ɡa͍ a͍ɾʲima͍s ɡa͍ iɕːo̞ ɲiːki ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | わあ、ぜひ行きたいです。 | Wow, I would love to go. | [waː ze̞hi ike̞ta͍i de̞sɨ̥] | [waː ze̞çiːke̞ta͍i de̞s]
Japanese::N5::Inviting, Accepting & Declining | あいにくその日は予定があります。 | Unfortunately, I have plans on that day. | [a͍iɲikɯ͍ so̞no̞ hi wa̠ jo̞teː ɡa̠ a̠ɾʲima͍sɨ̥] | [a͍iɲikɯ͍ so̞no̞ çi wa̠ jo̞teː ɡa͍ a͍ɾʲima͍s]
Japanese::N5::Inviting, Accepting & Declining | 公園を散歩しませんか。 | Won't you take a walk in the park? | [koːe̞ɴ o̞ sa͍mpo̞ ɕima͍se̞ɴ ka͍] | [koːe̞ŋ o̞ sa͍mpo̞ ɕima͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | はい、行きましょう。 | Yes, let me go. | [ha͍i iki ma͍ɕoː] | [ha͍i iki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | すみません、勉強しなければなりません。 | I'm sorry, I must study. | [sɯ͍mi ma͍se̞ɴ be̞ɴkʲoː ɕi na͍ke̞ɾe͍ba͍ na͍ɾʲima͍se̞ɴ] | [sɯ͍mima͍se̞ŋ be̞ŋkʲoː ɕi na͍ke̞ɾe͍ba͍ na͍ɾʲima͍se̞ŋ]
Japanese::N5::Inviting, Accepting & Declining | 一緒に昼ご飯を食べに行きましょう。 | Let's go to eat lunch together. | [itːɕo̞ ni hiɾɯ͍ɡo̞ha͍ɴ o̞ ta͍be̞ ni iki ma͍ɕoː] | [iɕːo̞ ɲi çiɾɯ͍ɡo̞ha͍ɴ o̞ ta͍be̞ ɲiːki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | 美味しそうですね。行きましょう。 | That looks delicious. Let's go. | [o̞iɕi soː de̞sɨ̥ ne̞ iki ma͍ɕoː] | [o̞iɕi soː de̞sne̞ iki ma͍ɕoː]
Japanese::N5::Inviting, Accepting & Declining | お腹がいっぱいなので、遠慮しておきます。 | I am full, so I will refrain. | [o̞na͍ka͍ ɡa̠ ipːa͍i na͍no̞de̞ e̞ɴɾjo̞ ɕite̞ o̞ki ma͍sɨ̥] | [o̞na͍ka͍ ɡa͍ ipːa͍i na͍no̞de̞ e̞ɴɾjo̞ ɕito̞kʲima͍s]
Japanese::N5::Inviting, Accepting & Declining | 来週のドライブ、一緒に行きませんか。 | Won't you go on a drive together next week? | [ɾa͍iɕɯː no̞ do̞ɾa͍ibɯ͍ itːɕo̞ ni iki ma͍se̞ɴ ka͍] | [ɾa͍iɕɯː no̞ do̞ɾa͍ib iɕːo̞ ɲiːki ma͍se̞ŋka͍]
Japanese::N5::Inviting, Accepting & Declining | ぜひ連れて行ってください。 | Please definitely take me along. | [ze̞hi t͡sɯ͍ɾe̞te̞ itːe̞ kɯ͍da͍sa͍i] | [ze̞çi t͡sɯ͍ɾe̞te̞ːtːe̞ kɯ͍da͍sa͍i]
