German::A1::Travel & Transport | Ich bin nach Berlin gefahren. | I travelled to Berlin. | [ʔɪç bɪn naːx bɛɐ̯ˈliːn ɡəˈfaː.ʁən] | [ɪç bɪn nax bɛɐ̯ˈliːn ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Ich bin zum ersten Mal geflogen. | I flew for the first time. | [ʔɪç bɪn tsʊm ˈʔeːɐ̯s.tn̩ maːl ɡəˈfloː.ɡn̩] | [ɪç bɪn tsʊm ˈeɐ̯stn̩ maːl ɡəˈfloːɡŋ̍]
German::A1::Travel & Transport | Wir haben den Flughafen um sechs Uhr erreicht. | We reached the airport at six o'clock. | [viːɐ̯ ˈhaː.bn̩ deːn ˈfluːk.haː.fn̩ ʔʊm zɛks ʔuːɐ̯ ʔɛɐ̯ˈʁaɪ̯çt] | [viɐ̯ ˈhaːbm̩ dn̩ ˈfluːkhaːfn̩ ʊm zɛks‿uɐ̯ ɛɐ̯ˈʁaɪ̯çt]
German::A1::Travel & Transport | Habt ihr das Gepäck aufgegeben? | Have you checked in the luggage? | [hapt ʔiːɐ̯ das ɡəˈpɛk ˈʔaʊ̯f.ɡə.ɡeː.bn̩] | [hap‿t iɐ̯ das ɡəˈpɛk ˈaʊ̯fɡəɡeːbm̩]
German::A1::Travel & Transport | Ich habe am Schalter eingecheckt. | I checked in at the counter. | [ʔɪç ˈhaː.bə ʔam ˈʃal.tɐ ˈʔaɪ̯n.ɡə.tʃɛkt] | [ɪç ˈhaːbə‿m ˈʃaltɐ ˈaɪ̯nɡətʃɛkt]
German::A1::Travel & Transport | Wir sind durch den Zoll gegangen. | We went through customs. | [viːɐ̯ zɪnt dʊʁç deːn tsɔl ɡəˈɡa.ŋən] | [viɐ̯ zɪnt dʊɐ̯ç dn̩ tsɔl ɡəˈɡaŋən]
German::A1::Travel & Transport | Der Flug hat drei Stunden gedauert. | The flight lasted three hours. | [deːɐ̯ fluːk hat dʁaɪ̯ ˈʃtʊn.dn̩ ɡəˈdaʊ̯.ɐt] | [dɛɐ̯ fluːk hat dʁaɪ̯ ˈʃtʊndn̩ ɡəˈdaʊ̯ɐt]
German::A1::Travel & Transport | Wir sind in Rom gelandet. | We landed in Rome. | [viːɐ̯ zɪnt ʔɪn ʁoːm ɡəˈlan.dət] | [viɐ̯ zɪnt‿ɪn ʁoːm ɡəˈlandət]
German::A1::Travel & Transport | Ich habe ein Taxi genommen. | I took a taxi. | [ʔɪç ˈhaː.bə ʔaɪ̯n ˈtʰaksi ɡəˈnɔ.mən] | [ɪç ˈhaːbə‿n ˈtaksi ɡəˈnɔmən]
German::A1::Travel & Transport | Sie ist mit der U-Bahn gefahren. | She travelled by underground. | [ziː ʔɪst mɪt deːɐ̯ ˈʔuː.baːn ɡəˈfaː.ʁən] | [zi‿s mɪt dɛɐ̯ ˈuːbaːn ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Wir haben die Straßenbahn genommen. | We took the tram. | [viːɐ̯ ˈhaː.bn̩ diː ˈʃtʁaː.sn̩.baːn ɡəˈnɔ.mən] | [viɐ̯ ˈhaːbm̩ di ˈʃtʁaːsn̩baːn ɡəˈnɔmən]
German::A1::Travel & Transport | Er ist mit der Fähre gefahren. | He travelled by ferry. | [ʔeːɐ̯ ʔɪst mɪt deːɐ̯ ˈfɛː.ʁə ɡəˈfaː.ʁən] | [ɛɐ̯s mɪt dɛɐ̯ ˈfɛːʁə ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Wir haben das Schiff gesehen. | We saw the ship. | [viːɐ̯ ˈhaː.bn̩ das ʃɪf ɡəˈzeː.ən] | [viɐ̯ ˈhaːbm̩ das ʃɪf ɡəˈzeːn̩]
German::A1::Travel & Transport | Ich habe eine Reise nach Frankreich gemacht. | I made a trip to France. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ˈʁaɪ̯.zə naːx ˈfʁaŋk.ʁaɪ̯ç ɡəˈmaxt] | [ɪç ˈhaːbə‿n ˈʁaɪ̯zə nax ˈfʁaŋkʁaɪ̯ç ɡəˈmaxt]
German::A1::Travel & Transport | Wir haben unseren Urlaub am Strand verbracht. | We spent our holiday at the beach. | [viːɐ̯ ˈhaː.bn̩ ˈʔʊn.zə.ʁən ˈʔuːɐ̯.laʊ̯p ʔam ʃtʁant fɛɐ̯ˈbʁaxt] | [viɐ̯ ˈhaːbm̩ ˈʊnzəʁn̩ ˈuɐ̯laʊ̯p am ʃtʁant fɛɐ̯ˈbʁaxt]
German::A1::Travel & Transport | Habt ihr die Berge besucht? | Have you visited the mountains? | [hapt ʔiːɐ̯ diː ˈbɛʁ.ɡə bəˈzuːxt] | [hap‿t iɐ̯ di ˈbɛɐ̯ɡə bəˈzuːxt]
German::A1::Travel & Transport | Ich habe einen schönen Ausflug gemacht. | I made a lovely trip. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nən ˈʃøː.nən ˈʔaʊ̯s.fluːk ɡəˈmaxt] | [ɪç ˈhaːbə ˈaɪ̯nən ˈʃøːnən ˈaʊ̯sfluːk ɡəˈmaxt]
German::A1::Travel & Transport | Wir haben eine Stadtkarte gekauft. | We bought a city map. | [viːɐ̯ ˈhaː.bn̩ ˈʔaɪ̯.nə ˈʃtat.kʰaʁ.tə ɡəˈkaʊ̯ft] | [viɐ̯ ˈhaːbm̩‿n ˈʃtatkaɐ̯tə ɡəˈkaʊ̯ft]
German::A1::Travel & Transport | Ich habe einen Reiseführer gelesen. | I read a travel guide. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nən ˈʁaɪ̯.zə.fyː.ʁɐ ɡəˈleː.zn̩] | [ɪç ˈhaːbə ˈaɪ̯nən ˈʁaɪ̯zəfyːʁɐ ɡəˈleːzn̩]
German::A1::Travel & Transport | Er hat ein Visum beantragt. | He applied for a visa. | [ʔeːɐ̯ hat ʔaɪ̯n ˈviː.zʊm bəˈʔan.tʁaːkt] | [ɛɐ̯ hat‿n ˈviːzʊm bəˈantʁaːkt]
German::A1::Travel & Transport | Wir haben die Grenze überquert. | We crossed the border. | [viːɐ̯ ˈhaː.bn̩ diː ˈɡʁɛn.tsə ʔyː.bɐˈkveːɐ̯t] | [viɐ̯ ˈhaːbm̩ di ˈɡʁɛntsə yːbɐˈkveɐ̯t]
German::A1::Travel & Transport | Ich bin ins Ausland gereist. | I travelled abroad. | [ʔɪç bɪn ʔɪns ˈʔaʊ̯s.lant ɡəˈʁaɪ̯st] | [ɪç bɪn‿ɪns ˈaʊ̯slant ɡəˈʁaɪ̯st]
German::A1::Travel & Transport | Sie hat viele Länder besucht. | She has visited many countries. | [ziː hat ˈfiː.lə ˈlɛn.dɐ bəˈzuːxt] | [zi hat ˈfiːlə ˈlɛndɐ bəˈzuːxt]
German::A1::Travel & Transport | Habt ihr eure Tickets ausgedruckt? | Did you print your tickets? | [hapt ʔiːɐ̯ ˈʔɔʏ̯.ʁə ˈtʰɪ.kʰɛts ˈʔaʊ̯s.ɡə.dʁʊkt] | [hap‿t iɐ̯ ˈɔʏ̯ʁə ˈtɪkɛts ˈaʊ̯sɡədʁʊkt]
German::A1::Travel & Transport | Ich habe im Internet gebucht. | I booked online. | [ʔɪç ˈhaː.bə ʔɪm ˈʔɪn.tɐ.nɛt ɡəˈbuːxt] | [ɪç ˈhaːbə‿m ˈɪntɐnɛt ɡəˈbuːxt]
German::A1::Travel & Transport | Der Bus ist heute spät gekommen. | The bus came late today. | [deːɐ̯ bʊs ʔɪst ˈhɔʏ̯.tə ʃpɛːt ɡəˈkʰɔ.mən] | [dɛɐ̯ bʊs‿ʔɪs ˈhɔʏ̯tə ʃpɛːt ɡəˈkɔmən]
German::A1::Travel & Transport | Wir haben lange auf den Zug gewartet. | We waited a long time for the train. | [viːɐ̯ ˈhaː.bn̩ ˈla.ŋə ʔaʊ̯f deːn tsuːk ɡəˈvaʁ.tət] | [viɐ̯ ˈhaːbm̩ ˈlaŋə‿aʊ̯f dn̩ tsuːk ɡəˈvaɐ̯tət]
German::A1::Travel & Transport | Ich bin am Gate angekommen. | I arrived at the gate. | [ʔɪç bɪn ʔam ɡeːt ˈʔan.ɡə.kʰɔ.mən] | [ɪç bɪn‿am ɡeːt ˈaŋɡəkɔmən]
German::A1::Travel & Transport | Sie haben unser Gepäck kontrolliert. | They checked our luggage. | [ziː ˈhaː.bn̩ ˈʔʊn.zɐ ɡəˈpɛk kʰɔn.tʁoˈliːɐ̯t] | [zi ˈhaːbm̩ ˈʊnzɐ ɡəˈpɛk kɔntʁoˈliɐ̯t]
German::A1::Travel & Transport | Wir sind durch die Sicherheitskontrolle gegangen. | We went through security control. | [viːɐ̯ zɪnt dʊʁç diː ˈzɪ.çɐ.haɪ̯ts.kʰɔn.tʁɔ.lə ɡəˈɡa.ŋən] | [viɐ̯ zɪnt dʊɐ̯ç di ˈzɪçɐhaɪ̯tskɔntʁɔlə ɡəˈɡaŋən]
German::A1::Travel & Transport | Ich habe mein Handy im Flugzeug ausgeschaltet. | I switched off my phone on the plane. | [ʔɪç ˈhaː.bə maɪ̯n ˈhɛn.di ʔɪm ˈfluːk.tsɔʏ̯k ˈʔaʊ̯s.ɡə.ʃal.tət] | [ɪç ˈhaːbə maɪ̯n ˈhɛndi‿m ˈfluːktsɔʏ̯k ˈaʊ̯sɡəʃaltət]
German::A1::Travel & Transport | Wir haben viele Fotos gemacht. | We took a lot of photos. | [viːɐ̯ ˈhaː.bn̩ ˈfiː.lə ˈfoː.tʰos ɡəˈmaxt] | [viɐ̯ ˈhaːbm̩ ˈfiːlə ˈfoːtos ɡəˈmaxt]
German::A1::Travel & Transport | Er hat die Reise sehr genossen. | He enjoyed the trip very much. | [ʔeːɐ̯ hat diː ˈʁaɪ̯.zə zeːɐ̯ ɡəˈnɔ.sn̩] | [ɛɐ̯ hat di ˈʁaɪ̯zə zeɐ̯ ɡəˈnɔsn̩]
German::A1::Travel & Transport | Wir sind spät nach Hause gekommen. | We came home late. | [viːɐ̯ zɪnt ʃpɛːt naːx ˈhaʊ̯.zə ɡəˈkʰɔ.mən] | [viɐ̯ zɪnt ʃpɛːt nax ˈhaʊ̯zə ɡəˈkɔmən]
German::A1::Travel & Transport | Ich habe meinen Koffer verloren. | I lost my suitcase. | [ʔɪç ˈhaː.bə ˈmaɪ̯.nən ˈkʰɔ.fɐ fɛɐ̯ˈloː.ʁən] | [ɪç ˈhaːbə ˈmaɪ̯nən ˈkɔfɐ fɛɐ̯ˈloːʁn̩]
German::A1::Travel & Transport | Hast du deinen Koffer gefunden? | Did you find your suitcase? | [hast duː ˈdaɪ̯.nən ˈkʰɔ.fɐ ɡəˈfʊn.dn̩] | [has du ˈdaɪ̯nən ˈkɔfɐ ɡəˈfʊndn̩]
German::A1::Travel & Transport | Wir haben ein Auto gemietet. | We rented a car. | [viːɐ̯ ˈhaː.bn̩ ʔaɪ̯n ˈʔaʊ̯.tʰo ɡəˈmiː.tət] | [viɐ̯ ˈhaːbm̩‿n ˈaʊ̯to ɡəˈmiːtət]
German::A1::Travel & Transport | Ich bin selbst gefahren. | I drove myself. | [ʔɪç bɪn zɛlpst ɡəˈfaː.ʁən] | [ɪç bɪn zɛlpst ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Er ist die ganze Nacht gefahren. | He drove the whole night. | [ʔeːɐ̯ ʔɪst diː ˈɡan.tsə naxt ɡəˈfaː.ʁən] | [ɛɐ̯s di ˈɡantsə naxt ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Wir sind an der Küste entlanggefahren. | We drove along the coast. | [viːɐ̯ zɪnt ʔan deːɐ̯ ˈkʰʏs.tə ʔɛntˈlaŋ.ɡə.faː.ʁən] | [viɐ̯ zɪnt‿an dɛɐ̯ ˈkʏstə ɛntˈlaŋɡəfaːʁn̩]
German::A1::Travel & Transport | Ich habe schöne Berge gesehen. | I saw beautiful mountains. | [ʔɪç ˈhaː.bə ˈʃøː.nə ˈbɛʁ.ɡə ɡəˈzeː.ən] | [ɪç ˈhaːbə ˈʃøːnə ˈbɛɐ̯ɡə ɡəˈzeːn̩]
German::A1::Travel & Transport | Wir haben ein kleines Dorf besucht. | We visited a small village. | [viːɐ̯ ˈhaː.bn̩ ʔaɪ̯n ˈklaɪ̯.nəs dɔʁf bəˈzuːxt] | [viɐ̯ ˈhaːbm̩‿n ˈklaɪ̯nəs dɔɐ̯f bəˈzuːxt]
German::A1::Travel & Transport | Sie hat viele Souvenirs gekauft. | She bought many souvenirs. | [ziː hat ˈfiː.lə zu.vəˈniːɐ̯s ɡəˈkaʊ̯ft] | [zi hat ˈfiːlə zuvəˈniɐ̯s ɡəˈkaʊ̯ft]
German::A1::Travel & Transport | Ich habe eine Postkarte geschrieben. | I wrote a postcard. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ˈpʰɔst.kʰaʁ.tə ɡəˈʃʁiː.bn̩] | [ɪç ˈhaːbə‿n ˈpɔstkaɐ̯tə ɡəˈʃʁiːbm̩]
German::A1::Travel & Transport | Wir haben im Hotel gefrühstückt. | We had breakfast at the hotel. | [viːɐ̯ ˈhaː.bn̩ ʔɪm hoˈtʰɛl ɡəˈfʁyː.ʃtʏkt] | [viɐ̯ ˈhaːbm̩‿ɪm hoˈtɛl ɡəˈfʁyːʃtʏkt]
German::A1::Travel & Transport | Ich habe gut geschlafen. | I slept well. | [ʔɪç ˈhaː.bə ɡuːt ɡəˈʃlaː.fn̩] | [ɪç ˈhaːbə ɡuːt ɡəˈʃlaːfn̩]
German::A1::Travel & Transport | Wir sind früh aufgestanden. | We got up early. | [viːɐ̯ zɪnt fʁyː ˈʔaʊ̯f.ɡə.ʃtan.dn̩] | [viɐ̯ zɪnt fʁy ˈaʊ̯fɡəʃtandn̩]
German::A1::Travel & Transport | Der Flug ist verspätet. | The flight is delayed. | [deːɐ̯ fluːk ʔɪst fɛɐ̯ˈʃpɛː.tət] | [dɛɐ̯ fluːk‿s fɛɐ̯ˈʃpɛːtət]
German::A1::Travel & Transport | Ich habe zwei Stunden gewartet. | I waited two hours. | [ʔɪç ˈhaː.bə tsvaɪ̯ ˈʃtʊn.dn̩ ɡəˈvaʁ.tət] | [ɪç ˈhaːbə tsvaɪ̯ ˈʃtʊndn̩ ɡəˈvaɐ̯tət]
German::A1::Travel & Transport | Wir haben die Zeit verpasst. | We missed the time. | [viːɐ̯ ˈhaː.bn̩ diː tsaɪ̯t fɛɐ̯ˈpast] | [viɐ̯ ˈhaːbm̩ di tsaɪ̯t fɛɐ̯ˈpast]
German::A1::Travel & Transport | Ich bin mit dem Fahrrad zum Bahnhof gefahren. | I cycled to the station. | [ʔɪç bɪn mɪt deːm ˈfaːɐ̯.ʁaːt tsʊm ˈbaːn.hoːf ɡəˈfaː.ʁən] | [ɪç bɪn mɪt dm̩ ˈfaːɐ̯aːt tsʊm ˈbaːnhoːf ɡəˈfaːʁn̩]
German::A1::Travel & Transport | Er hat sein Ticket am Automaten gekauft. | He bought his ticket at the machine. | [ʔeːɐ̯ hat zaɪ̯n ˈtʰɪ.kʰɛt ʔam ʔaʊ̯.tʰoˈmaː.tn̩ ɡəˈkaʊ̯ft] | [ɛɐ̯ hat zaɪ̯n ˈtɪkɛt‿am aʊ̯toˈmaːtn̩ ɡəˈkaʊ̯ft]
German::A1::Travel & Transport | Wir haben den Anschlusszug erreicht. | We caught the connecting train. | [viːɐ̯ ˈhaː.bn̩ deːn ˈʔan.ʃlʊs.tsuːk ʔɛɐ̯ˈʁaɪ̯çt] | [viɐ̯ ˈhaːbm̩ dn̩ ˈanʃlʊstsuːk ɛɐ̯ˈʁaɪ̯çt]
German::A1::Travel & Transport | Ich habe im Zug geschlafen. | I slept on the train. | [ʔɪç ˈhaː.bə ʔɪm tsuːk ɡəˈʃlaː.fn̩] | [ɪç ˈhaːbə‿m tsuːk ɡəˈʃlaːfn̩]
German::A1::Travel & Transport | Wir sind sicher angekommen. | We arrived safely. | [viːɐ̯ zɪnt ˈzɪ.çɐ ˈʔan.ɡə.kʰɔ.mən] | [viɐ̯ zɪnt ˈzɪçɐ ˈaŋɡəkɔmən]
German::A1::Travel & Transport | Die Reise war lang, aber schön. | The journey was long but beautiful. | [diː ˈʁaɪ̯.zə vaːɐ̯ laŋ ˈʔaː.bɐ ʃøːn] | [di ˈʁaɪ̯zə vaɐ̯ laŋ aːbɐ ʃøːn]
German::A1::Travel & Transport | Ich habe die Reise nie vergessen. | I have never forgotten the trip. | [ʔɪç ˈhaː.bə diː ˈʁaɪ̯.zə niː fɛɐ̯ˈɡɛ.sn̩] | [ɪç ˈhaːbə di ˈʁaɪ̯zə ni fɛɐ̯ˈɡɛsn̩]
German::A1::Travel & Transport | Wir freuen uns auf die nächste Reise. | We are looking forward to the next trip. | [viːɐ̯ ˈfʁɔʏ̯.ən ʔʊns ʔaʊ̯f diː ˈnɛːks.tə ˈʁaɪ̯.zə] | [viɐ̯ ˈfʁɔʏ̯ən‿ʊns‿aʊ̯f di ˈnɛːkstə ˈʁaɪ̯zə]
