German::A1::House & Home | Das Buch liegt auf dem Tisch. | The book lies on the table. | [das buːx liːkt̚ ʔaʊ̯f deːm tʰɪʃ] | [das buːx liːkt̚ aʊf dm̩ tɪʃ]
German::A1::House & Home | Ich stelle die Teller in den Schrank. | I put the plates in the cupboard. | [ʔɪç ˈʃtɛ.lə diː ˈtʰɛ.lɐ ʔɪn deːn ʃʁaŋk] | [ɪç ˈʃtɛlə diː ˈtɛlɐ ɪn dn̩ ʃʁaŋk]
German::A1::House & Home | Das Kissen liegt auf dem Sofa. | The cushion lies on the sofa. | [das ˈkʰɪ.sn̩ liːkt̚ ʔaʊ̯f deːm ˈzoː.fa] | [das ˈkɪsn̩ liːkt̚ aʊf dm̩ ˈzoːfa]
German::A1::House & Home | Ich lege das Kissen auf das Sofa. | I put the cushion on the sofa. | [ʔɪç ˈleː.ɡə das ˈkʰɪ.sn̩ ʔaʊ̯f das ˈzoː.fa] | [ɪç ˈleːɡə das ˈkɪsn̩ aʊf das ˈzoːfa]
German::A1::House & Home | Der Fernseher steht zwischen den Fenstern. | The television stands between the windows. | [deːɐ̯ ˈfɛʁn.zeː.ɐ ʃteːt̚ ˈtsvɪ.ʃn̩ deːn ˈfɛns.tɐn] | [dɛɐ̯ ˈfɛɐ̯nzeːɐ ʃteːt̚ ˈtsvɪʃn̩ dn̩ ˈfɛnstɐn]
German::A1::House & Home | Ich stelle den Fernseher zwischen die Fenster. | I put the television between the windows. | [ʔɪç ˈʃtɛ.lə deːn ˈfɛʁn.zeː.ɐ ˈtsvɪ.ʃn̩ diː ˈfɛns.tɐ] | [ɪç ˈʃtɛlə dn̩ ˈfɛɐ̯nzeːɐ ˈtsvɪʃn̩ diː ˈfɛnstɐ]
German::A1::House & Home | Die Schuhe stehen hinter der Tür. | The shoes stand behind the door. | [diː ˈʃuː.ə ˈʃteː.ən ˈhɪn.tɐ deːɐ̯ tʰyːɐ̯] | [diː ˈʃuːə ˈʃteːən ˈhɪntɐ dɛɐ̯ tyɐ̯]
German::A1::House & Home | Ich stelle die Schuhe hinter die Tür. | I put the shoes behind the door. | [ʔɪç ˈʃtɛ.lə diː ˈʃuː.ə ˈhɪn.tɐ diː tʰyːɐ̯] | [ɪç ˈʃtɛlə diː ˈʃuːə ˈhɪntɐ diː tyɐ̯]
German::A1::House & Home | Der Tisch steht in der Küche. | The table stands in the kitchen. | [deːɐ̯ tʰɪʃ ʃteːt̚ ʔɪn deːɐ̯ ˈkʰʏ.çə] | [dɛɐ̯ tɪʃ ʃteːt̚ ɪn dɛɐ̯ ˈkʏçə]
German::A1::House & Home | Wir tragen den Tisch in die Küche. | We carry the table into the kitchen. | [viːɐ̯ ˈtʰʁaː.ɡn̩ deːn tʰɪʃ ʔɪn diː ˈkʰʏ.çə] | [viɐ̯ ˈtʁaːɡn̩ dn̩ tɪʃ ɪn diː ˈkʏçə]
German::A1::House & Home | Das Bett steht im Schlafzimmer. | The bed stands in the bedroom. | [das bɛt̚ ʃteːt̚ ʔɪm ˈʃlaːf.tsɪ.mɐ] | [das bɛt̚ ʃteːt̚ ɪm ˈʃlaːftsɪmɐ]
German::A1::House & Home | Wir schieben das Bett ins Schlafzimmer. | We push the bed into the bedroom. | [viːɐ̯ ˈʃiː.bn̩ das bɛt̚ ʔɪns ˈʃlaːf.tsɪ.mɐ] | [viɐ̯ ˈʃiːbn̩ das bɛt̚ ɪns ˈʃlaːftsɪmɐ]
German::A1::House & Home | Die Bücher liegen auf dem Regal. | The books lie on the shelf. | [diː ˈbyː.çɐ ˈliː.ɡn̩ ʔaʊ̯f deːm ʁeˈɡaːl] | [diː ˈbyːçɐ ˈliːɡn̩ aʊf dm̩ ʁeˈɡaːl]
German::A1::House & Home | Ich lege die Bücher auf das Regal. | I put the books on the shelf. | [ʔɪç ˈleː.ɡə diː ˈbyː.çɐ ʔaʊ̯f das ʁeˈɡaːl] | [ɪç ˈleːɡə diː ˈbyːçɐ aʊf das ʁeˈɡaːl]
German::A1::House & Home | Der Teppich liegt auf dem Boden. | The carpet lies on the floor. | [deːɐ̯ ˈtʰɛ.pɪç liːkt̚ ʔaʊ̯f deːm ˈboː.dn̩] | [dɛɐ̯ ˈtɛpɪç liːkt̚ aʊf dm̩ ˈboːdn̩]
German::A1::House & Home | Ich lege den Teppich auf den Boden. | I put the carpet on the floor. | [ʔɪç ˈleː.ɡə deːn ˈtʰɛ.pɪç ʔaʊ̯f deːn ˈboː.dn̩] | [ɪç ˈleːɡə dn̩ ˈtɛpɪç aʊf dn̩ ˈboːdn̩]
German::A1::House & Home | Die Blumen stehen auf dem Balkon. | The flowers stand on the balcony. | [diː ˈbluː.mən ˈʃteː.ən ʔaʊ̯f deːm balˈkoːŋ] | [diː ˈbluːmən ˈʃteːən aʊf dm̩ balˈkoːŋ]
German::A1::House & Home | Ich stelle die Blumen auf den Balkon. | I put the flowers on the balcony. | [ʔɪç ˈʃtɛ.lə diː ˈbluː.mən ʔaʊ̯f deːn balˈkoːŋ] | [ɪç ˈʃtɛlə diː ˈbluːmən aʊf dn̩ balˈkoːŋ]
German::A1::House & Home | Das Zimmer ist groß. | The room is big. | [das ˈtsɪ.mɐ ʔɪst ɡʁoːs] | [das ˈtsɪmɐ ɪst ɡʁoːs]
German::A1::House & Home | Die Wohnung ist klein. | The flat is small. | [diː ˈvoː.nʊŋ ʔɪst klaɪ̯n] | [diː ˈvoːnʊŋ ɪst klaɪn]
German::A1::House & Home | Das Haus hat zwei Stockwerke. | The house has two storeys. | [das haʊ̯s hat̚ tsvaɪ̯ ˈʃtɔk.vɛʁ.kə] | [das haʊs hat tsvaɪ ˈʃtɔkvɛɐ̯kə]
German::A1::House & Home | Wir haben einen Garten. | We have a garden. | [viːɐ̯ ˈhaː.bən ˈʔaɪ̯.nən ˈɡaʁ.tn̩] | [viɐ̯ ˈhaːbm̩ n̩ ˈɡaʁtn̩]
German::A1::House & Home | Die Küche ist modern. | The kitchen is modern. | [diː ˈkʰʏ.çə ʔɪst moˈdɛʁn] | [diː ˈkʏçə ɪst moˈdɛɐ̯n]
German::A1::House & Home | Das Badezimmer ist sauber. | The bathroom is clean. | [das ˈbaː.də.tsɪ.mɐ ʔɪst ˈzaʊ̯.bɐ] | [das ˈbaːdətsɪmɐ ɪst ˈzaʊbɐ]
German::A1::House & Home | Das Wohnzimmer ist gemütlich. | The living room is cosy. | [das ˈvoːn.tsɪ.mɐ ʔɪst ɡəˈmyːt.lɪç] | [das ˈvoːntsɪmɐ ɪst ɡəˈmyːtlɪç]
German::A1::House & Home | Wo ist die Toilette? | Where is the toilet? | [voː ʔɪst diː tʰoaˈlɛ.tə] | [voː ɪst diː toaˈlɛtə]
German::A1::House & Home | Die Toilette ist neben dem Bad. | The toilet is next to the bathroom. | [diː tʰoaˈlɛ.tə ʔɪst ˈneː.bn̩ deːm baːt̚] | [diː toaˈlɛtə ɪst ˈneːbm̩ dm̩ baːt̚]
German::A1::House & Home | Der Keller ist dunkel. | The cellar is dark. | [deːɐ̯ ˈkʰɛ.lɐ ʔɪst ˈdʊŋ.kl̩] | [dɛɐ̯ ˈkɛlɐ ɪst ˈdʊŋkl̩]
German::A1::House & Home | Der Dachboden ist staubig. | The attic is dusty. | [deːɐ̯ ˈdax.boː.dn̩ ʔɪst ˈʃtaʊ̯.bɪç] | [dɛɐ̯ ˈdaxboːdn̩ ɪst ˈʃtaʊbɪç]
German::A1::House & Home | Ich öffne das Fenster. | I open the window. | [ʔɪç ˈʔœf.nə das ˈfɛns.tɐ] | [ɪç ˈœfnə das ˈfɛnstɐ]
German::A1::House & Home | Ich schließe die Tür. | I close the door. | [ʔɪç ˈʃliː.sə diː tʰyːɐ̯] | [ɪç ˈʃliːsə diː tyɐ̯]
German::A1::House & Home | Das Fenster ist offen. | The window is open. | [das ˈfɛns.tɐ ʔɪst ˈʔɔ.fn̩] | [das ˈfɛnstɐ ɪst ˈɔfn̩]
German::A1::House & Home | Die Tür ist geschlossen. | The door is closed. | [diː tʰyːɐ̯ ʔɪst ɡəˈʃlɔ.sn̩] | [diː tyɐ̯ ɪst ɡəˈʃlɔsn̩]
German::A1::House & Home | Ich putze die Küche. | I clean the kitchen. | [ʔɪç ˈpʰʊ.tsə diː ˈkʰʏ.çə] | [ɪç ˈpʊtsə diː ˈkʏçə]
German::A1::House & Home | Ich räume das Zimmer auf. | I tidy up the room. | [ʔɪç ˈʁɔʏ̯.mə das ˈtsɪ.mɐ ʔaʊ̯f] | [ɪç ˈʁɔʏmə das ˈtsɪmɐ aʊf]
German::A1::House & Home | Die Möbel sind neu. | The furniture is new. | [diː ˈmøː.bl̩ zɪnt̚ nɔʏ̯] | [diː ˈmøːbl̩ zɪnt̚ nɔʏ]
German::A1::House & Home | Der Schlüssel liegt auf dem Tisch. | The key lies on the table. | [deːɐ̯ ˈʃlʏ.sl̩ liːkt̚ ʔaʊ̯f deːm tʰɪʃ] | [dɛɐ̯ ˈʃlʏsl̩ liːkt̚ aʊf dm̩ tɪʃ]
German::A1::House & Home | Ich lege den Schlüssel in die Tasche. | I put the key in the bag. | [ʔɪç ˈleː.ɡə deːn ˈʃlʏ.sl̩ ʔɪn diː ˈtʰa.ʃə] | [ɪç ˈleːɡə dn̩ ˈʃlʏsl̩ ɪn diː ˈtaʃə]
German::A1::House & Home | Die Wand ist weiß. | The wall is white. | [diː vant̚ ʔɪst vaɪ̯s] | [diː vant̚ ɪst vaɪs]
German::A1::House & Home | Der Boden ist aus Holz. | The floor is made of wood. | [deːɐ̯ ˈboː.dn̩ ʔɪst ʔaʊ̯s hɔlts] | [dɛɐ̯ ˈboːdn̩ ɪst aʊs hɔlts]
German::A1::House & Home | Wir wohnen in einer Wohnung. | We live in a flat. | [viːɐ̯ ˈvoː.nən ʔɪn ˈʔaɪ̯.nɐ ˈvoː.nʊŋ] | [viɐ̯ ˈvoːnən ɪn nɐ ˈvoːnʊŋ]
German::A1::House & Home | Sie wohnen in einem Haus. | They live in a house. | [ziː ˈvoː.nən ʔɪn ˈʔaɪ̯.nəm haʊ̯s] | [ziː ˈvoːnən ɪn nəm haʊs]
German::A1::House & Home | Der Balkon ist klein. | The balcony is small. | [deːɐ̯ balˈkoːŋ ʔɪst klaɪ̯n] | [dɛɐ̯ balˈkoːŋ ɪst klaɪn]
German::A1::House & Home | Ich sitze auf dem Balkon. | I sit on the balcony. | [ʔɪç ˈzɪ.tsə ʔaʊ̯f deːm balˈkoːŋ] | [ɪç ˈzɪtsə aʊf dm̩ balˈkoːŋ]
German::A1::House & Home | Wir essen am Tisch. | We eat at the table. | [viːɐ̯ ˈʔɛ.sn̩ ʔam tʰɪʃ] | [viɐ̯ ˈɛsn̩ am tɪʃ]
German::A1::House & Home | Ich stelle die Vase auf den Tisch. | I put the vase on the table. | [ʔɪç ˈʃtɛ.lə diː ˈvaː.zə ʔaʊ̯f deːn tʰɪʃ] | [ɪç ˈʃtɛlə diː ˈvaːzə aʊf dn̩ tɪʃ]
German::A1::House & Home | Die Vase steht auf dem Tisch. | The vase stands on the table. | [diː ˈvaː.zə ʃteːt̚ ʔaʊ̯f deːm tʰɪʃ] | [diː ˈvaːzə ʃteːt̚ aʊf dm̩ tɪʃ]
