German::A1::Health & Body | Wie geht es dir? | How are you? | [viː ɡeːt ʔɛs diːɐ̯] | [vi ɡeːt‿s diɐ̯]
German::A1::Health & Body | Meine Augen sind müde. | My eyes are tired. | [ˈmaɪ̯.nə ˈʔaʊ̯.ɡn̩ zɪnt ˈmyː.də] | [ˈmaɪ̯nə ˈaʊ̯ɡn̩ zɪnt ˈmyːdə]
German::A1::Health & Body | Meine Hand tut weh. | My hand hurts. | [ˈmaɪ̯.nə hant tʰuːt veː] | [ˈmaɪ̯nə hant tuːt veː]
German::A1::Health & Body | Sein Bein tut weh. | His leg hurts. | [zaɪ̯n baɪ̯n tʰuːt veː] | [zaɪ̯n baɪ̯n tuːt veː]
German::A1::Health & Body | Ihr Arm tut weh. | Her arm hurts. | [ʔiːɐ̯ ʔaʁm tʰuːt veː] | [iɐ̯ aɐ̯m tuːt veː]
German::A1::Health & Body | Meine Füße sind kalt. | My feet are cold. | [ˈmaɪ̯.nə ˈfyː.sə zɪnt kʰalt] | [ˈmaɪ̯nə ˈfyːsə zɪnt kalt]
German::A1::Health & Body | Ich habe Zahnschmerzen. | I have a toothache. | [ʔɪç ˈhaː.bə ˈtsaːn.ʃmɛʁ.tsn̩] | [ɪç ˈhaːbə ˈtsaːnʃmɛɐ̯tsn̩]
German::A1::Health & Body | Ich muss zum Zahnarzt gehen. | I must go to the dentist. | [ʔɪç mʊs tsʊm ˈtsaːn.ʔaʁtst ˈɡeː.ən] | [ɪç mʊs tsʊm ˈtsaːnaɐ̯tst ˈɡeːn̩]
German::A1::Health & Body | Wir müssen einen Termin beim Arzt machen. | We must make an appointment with the doctor. | [viːɐ̯ ˈmʏ.sn̩ ˈʔaɪ̯.nən tʰɛɐ̯ˈmiːn baɪ̯m ʔaʁtst ˈma.xn̩] | [viɐ̯ ˈmʏsn̩ ˈaɪ̯nən tɛɐ̯ˈmiːn baɪ̯m‿aɐ̯tst ˈmaxn̩]
German::A1::Health & Body | Der Arzt untersucht meinen Bauch. | The doctor examines my stomach. | [deːɐ̯ ʔaʁtst ʔʊn.tɐˈzuːxt ˈmaɪ̯.nən baʊ̯x] | [dɛɐ̯ aɐ̯tst ʊntɐˈzuːxt ˈmaɪ̯nən baʊ̯x]
German::A1::Health & Body | Ich muss meine Temperatur messen. | I have to take my temperature. | [ʔɪç mʊs ˈmaɪ̯.nə tʰɛm.pə.ʁaˈtʰuːɐ̯ ˈmɛ.sn̩] | [ɪç mʊs ˈmaɪ̯nə tɛmpəʁaˈtuɐ̯ ˈmɛsn̩]
German::A1::Health & Body | Er hat sechsunddreißig Grad. | He has thirty-six degrees. | [ʔeːɐ̯ hat ˈzɛks.ʔʊnt.dʁaɪ̯.sɪç ɡʁaːt] | [ɛɐ̯ hat ˈzɛksʊntdʁaɪ̯sɪç ɡʁaːt]
German::A1::Health & Body | Sie hat neununddreißig Grad Fieber. | She has a fever of thirty-nine degrees. | [ziː hat ˈnɔʏ̯n.ʔʊnt.dʁaɪ̯.sɪç ɡʁaːt ˈfiː.bɐ] | [zi hat ˈnɔʏ̯nʊntdʁaɪ̯sɪç ɡʁaːt ˈfiːbɐ]
German::A1::Health & Body | Ich brauche ein Pflaster. | I need a plaster. | [ʔɪç ˈbʁaʊ̯.xə ʔaɪ̯n ˈpflas.tɐ] | [ɪç ˈbʁaʊ̯xə‿n ˈpflastɐ]
German::A1::Health & Body | Meine Hand braucht einen Verband. | My hand needs a bandage. | [ˈmaɪ̯.nə hant bʁaʊ̯xt ˈʔaɪ̯.nən fɛɐ̯ˈbant] | [ˈmaɪ̯nə hant bʁaʊ̯xt ˈaɪ̯nən fɛɐ̯ˈbant]
German::A1::Health & Body | Er ist im Krankenhaus. | He is in the hospital. | [ʔeːɐ̯ ʔɪst ʔɪm ˈkʰʁaŋ.kn̩.haʊ̯s] | [ɛɐ̯s‿ɪm ˈkʁaŋkn̩haʊ̯s]
German::A1::Health & Body | Ich fühle mich krank. | I feel sick. | [ʔɪç ˈfyː.lə mɪç kʁaŋk] | [ɪç ˈfyːlə mɪç kʁaŋk]
German::A1::Health & Body | Du siehst müde aus. | You look tired. | [duː ziːst ˈmyː.də ʔaʊ̯s] | [du ziːst ˈmyːdə‿aʊ̯s]
German::A1::Health & Body | Ich möchte gesund bleiben. | I want to stay healthy. | [ʔɪç ˈmœç.tə ɡəˈzʊnt ˈblaɪ̯.bn̩] | [ɪç ˈmœçtə ɡəˈzʊnt ˈblaɪ̯bm̩]
German::A1::Health & Body | Du musst mehr Sport machen. | You must do more sport. | [duː mʊst meːɐ̯ ʃpɔʁt ˈma.xn̩] | [du mʊs meɐ̯ ʃpɔɐ̯t ˈmaxn̩]
German::A1::Health & Body | Rauch nicht so viel! | Don't smoke so much! | [ʁaʊ̯x nɪçt zoː fiːl] | [ʁaʊ̯x nɪç zo fiːl]
German::A1::Health & Body | Iss nicht so viel Zucker! | Don't eat so much sugar! | [ʔɪs nɪçt zoː fiːl ˈtsʊ.kɐ] | [ɪs nɪç zo fiːl ˈtsʊkɐ]
German::A1::Health & Body | Wasch deine Hände! | Wash your hands! | [vaʃ ˈdaɪ̯.nə ˈhɛn.də] | [vaʃ ˈdaɪ̯nə ˈhɛndə]
German::A1::Health & Body | Mach den Mund auf! | Open your mouth! | [max deːn mʊnt ʔaʊ̯f] | [max dn̩ mʊnt‿aʊ̯f]
German::A1::Health & Body | Atme tief ein! | Breathe in deeply! | [ˈʔaːt.mə tʰiːf ʔaɪ̯n] | [ˈaːtmə tiːf‿aɪ̯n]
German::A1::Health & Body | Mein Herz schlägt schnell. | My heart beats fast. | [maɪ̯n hɛʁts ʃlɛːkt ʃnɛl] | [maɪ̯n hɛɐ̯ts ʃlɛːkt ʃnɛl]
German::A1::Health & Body | Meine Nase ist rot. | My nose is red. | [ˈmaɪ̯.nə ˈnaː.zə ʔɪst ʁoːt] | [ˈmaɪ̯nə ˈnaːzə‿s ʁoːt]
German::A1::Health & Body | Sein Ohr tut weh. | His ear hurts. | [zaɪ̯n ʔoːɐ̯ tʰuːt veː] | [zaɪ̯n oːɐ̯ tuːt veː]
German::A1::Health & Body | Wir müssen gesund essen. | We must eat healthily. | [viːɐ̯ ˈmʏ.sn̩ ɡəˈzʊnt ˈʔɛ.sn̩] | [viɐ̯ ˈmʏsn̩ ɡəˈzʊnt‿ɛsn̩]
German::A1::Health & Body | Gute Besserung! | Get well soon! | [ˈɡuː.tə ˈbɛ.sə.ʁʊŋ] | [ˈɡuːtə ˈbɛsəʁʊŋ]
