German::A1::Daily Routines | Ich stehe früh auf. | I get up early. | [ʔɪç ˈʃteː.ə fʁyː ʔaʊ̯f] | [ɪç ˈʃteː.ə fʁyː ʔaʊ̯f]
German::A1::Daily Routines | Ich räume die Wohnung auf. | I tidy up the apartment. | [ʔɪç ˈʁɔʏ̯.mə diː ˈvoː.nʊŋ ʔaʊ̯f] | [ɪç ˈʁɔʏ̯.mə di ˈvoː.nʊŋ ʔaʊ̯f]
German::A1::Daily Routines | Ich kaufe Lebensmittel ein. | I buy groceries. | [ʔɪç ˈkʰaʊ̯.fə ˈleː.bəns.ˌmɪ.tʰəl ʔaɪ̯n] | [ɪç ˈkʰaʊ̯.fə ˈleː.bm̩s.ˌmɪ.tl̩ ʔaɪ̯n]
German::A1::Daily Routines | Ich koche das Abendessen. | I cook dinner. | [ʔɪç ˈkʰɔ.χə das ˈʔaː.bənt.ˌʔɛ.sən] | [ɪç ˈkʰɔ.χə das ˈʔaː.bm̩t.ˌʔɛ.sn̩]
German::A1::Daily Routines | Ich sehe fern. | I watch TV. | [ʔɪç ˈzeː.ə fɛʁn] | [ɪç ˈzeː.ə fɛʁn]
German::A1::Daily Routines | Ich höre Musik. | I listen to music. | [ʔɪç ˈhøː.ʁə muˈziːk] | [ɪç ˈhøː.ʁə muˈziːk]
German::A1::Daily Routines | Ich lese eine Zeitung. | I read a newspaper. | [ʔɪç ˈleː.zə ˈʔaɪ̯.nə ˈtsaɪ̯.tʰʊŋ] | [ɪç ˈleː.zə ˈnaɪ̯.nə ˈtsaɪ̯.tʰʊŋ]
German::A1::Daily Routines | Ich schreibe eine E-Mail. | I write an email. | [ʔɪç ˈʃʁaɪ̯.bə ˈʔaɪ̯.nə ˈʔiː.meɪ̯l] | [ɪç ˈʃʁaɪ̯.bə ˈnaɪ̯.nə ˈʔiː.meɪ̯l]
German::A1::Daily Routines | Die Arbeit hört um fünf Uhr auf. | Work finishes at five o'clock. | [diː ˈʔaʁ.baɪ̯t høːɐ̯t ʔʊm fʏnf ˈʔuːɐ̯ ʔaʊ̯f] | [di ˈʔaʁ.baɪ̯t høːɐ̯t ʊm fʏɱf ˈʔuːɐ̯ ʔaʊ̯f]
German::A1::Daily Routines | Ich höre um fünf Uhr auf zu arbeiten. | I stop working at five o'clock. | [ʔɪç ˈhøː.ʁə ʔʊm fʏnf ˈʔuːɐ̯ ʔaʊ̯f tsuː ˈʔaʁ.baɪ̯.tʰən] | [ɪç ˈhøː.ʁə ʊm fʏɱf ˈʔuːɐ̯ ʔaʊ̯f tsu ˈʔaʁ.baɪ̯.tn̩]
German::A1::Daily Routines | Ich komme um sechs Uhr nach Hause. | I come home at six o'clock. | [ʔɪç ˈkʰɔ.mə ʔʊm zɛks ˈʔuːɐ̯ naːχ ˈhaʊ̯.zə] | [ɪç ˈkʰɔ.mə ʊm zɛks ˈʔuːɐ̯ naːχ ˈhaʊ̯.zə]
German::A1::Daily Routines | Ich mache das Licht an. | I turn on the light. | [ʔɪç ˈma.χə das lɪçt ʔan] | [ɪç ˈma.χə das lɪçt ʔan]
German::A1::Daily Routines | Ich mache das Licht aus. | I turn off the light. | [ʔɪç ˈma.χə das lɪçt ʔaʊ̯s] | [ɪç ˈma.χə das lɪçt ʔaʊ̯s]
German::A1::Daily Routines | Ich dusche jeden Morgen. | I shower every morning. | [ʔɪç ˈduː.ʃə ˈjeː.dən ˈmɔʁ.ɡən] | [ɪç ˈduː.ʃə ˈjeː.dn̩ ˈmɔɐ̯.ɡn̩]
German::A1::Daily Routines | Ich kämme mir die Haare. | I comb my hair. | [ʔɪç ˈkʰɛ.mə miːɐ̯ diː ˈhaː.ʁə] | [ɪç ˈkʰɛ.mə miɐ̯ di ˈhaː.ʁə]
German::A1::Daily Routines | Ich packe meine Tasche. | I pack my bag. | [ʔɪç ˈpʰa.kə ˈmaɪ̯.nə ˈtʰa.ʃə] | [ɪç ˈpʰa.kə ˈmaɪ̯.nə ˈtʰa.ʃə]
German::A1::Daily Routines | Ich schließe die Tür ab. | I lock the door. | [ʔɪç ˈʃliː.sə diː tʰyːɐ̯ ʔap] | [ɪç ˈʃliː.sə di tʰyːɐ̯ ʔap]
German::A1::Daily Routines | Ich öffne das Fenster. | I open the window. | [ʔɪç ˈʔœf.nə das ˈfɛns.tʰɐ] | [ɪç ˈʔœf.nə das ˈfɛns.tʰɐ]
German::A1::Daily Routines | Ich steige in den Bus ein. | I get on the bus. | [ʔɪç ˈʃtʰaɪ̯.ɡə ʔɪn deːn bʊs ʔaɪ̯n] | [ɪç ˈʃtʰaɪ̯.ɡə ɪn dn̩ bʊs ʔaɪ̯n]
German::A1::Daily Routines | Ich steige aus dem Bus aus. | I get off the bus. | [ʔɪç ˈʃtʰaɪ̯.ɡə ʔaʊ̯s deːm bʊs ʔaʊ̯s] | [ɪç ˈʃtʰaɪ̯.ɡə aʊ̯s dm̩ bʊs ʔaʊ̯s]
German::A1::Daily Routines | Wann stehst du normalerweise auf? | When do you usually get up? | [van ʃteːst duː nɔɐ̯ˈmaː.lɐ.ˌvaɪ̯.zə ʔaʊ̯f] | [van ʃteːs.tu nɔɐ̯ˈmaː.lɐ.ˌvaɪ̯.zə ʔaʊ̯f]
German::A1::Daily Routines | Ich stehe normalerweise um sechs auf. | I usually get up at six. | [ʔɪç ˈʃteː.ə nɔɐ̯ˈmaː.lɐ.ˌvaɪ̯.zə ʔʊm zɛks ʔaʊ̯f] | [ɪç ˈʃteː.ə nɔɐ̯ˈmaː.lɐ.ˌvaɪ̯.zə ʊm zɛks ʔaʊ̯f]
German::A1::Daily Routines | Was machst du am Morgen? | What do you do in the morning? | [vas maχst duː ʔam ˈmɔʁ.ɡən] | [vas maχs.tu am ˈmɔɐ̯.ɡn̩]
German::A1::Daily Routines | Zuerst dusche ich, dann frühstücke ich. | First I shower, then I have breakfast. | [tsuˈʔeːɐ̯st ˈduː.ʃə ʔɪç dan ˈfʁyː.ʃtʏ.kə ʔɪç] | [tsuˈʔeːɐ̯st ˈduː.ʃɪç dan ˈfʁyː.ʃtʏ.kɪç]
German::A1::Daily Routines | Danach putze ich mir die Zähne. | After that I brush my teeth. | [daˈnaːχ ˈpʰʊ.tsə ʔɪç miːɐ̯ diː ˈtsɛː.nə] | [daˈnaːχ ˈpʰʊ.tsɪç miɐ̯ di ˈtsɛː.nə]
German::A1::Daily Routines | Dann ziehe ich mich an. | Then I get dressed. | [dan ˈtsiː.ə ʔɪç mɪç ʔan] | [dan ˈtsiː.ɪç mɪç ʔan]
German::A1::Daily Routines | Ich verlasse das Haus um acht Uhr. | I leave the house at eight o'clock. | [ʔɪç fɛɐ̯ˈla.sə das haʊ̯s ʔʊm ʔaχt ˈʔuːɐ̯] | [ɪç fɛɐ̯ˈla.sə das haʊ̯s ʊm raχt ˈʔuːɐ̯]
German::A1::Daily Routines | Ich treffe meine Kollegen. | I meet my colleagues. | [ʔɪç ˈtʰʁɛ.fə ˈmaɪ̯.nə kʰɔˈleː.ɡən] | [ɪç ˈtʰʁɛ.fə ˈmaɪ̯.nə kʰɔˈleː.ɡn̩]
German::A1::Daily Routines | Wir arbeiten zusammen. | We work together. | [viːɐ̯ ˈʔaʁ.baɪ̯.tʰən tsuˈza.mən] | [viɐ̯ ˈʔaʁ.baɪ̯.tn̩ tsuˈza.mən]
German::A1::Daily Routines | Ich schaue oft auf die Uhr. | I often look at the clock. | [ʔɪç ˈʃaʊ̯.ə ʔɔft ʔaʊ̯f diː ˈʔuːɐ̯] | [ɪç ˈʃaʊ̯.ə ʔɔft aʊ̯f di ˈʔuːɐ̯]
German::A1::Daily Routines | Ich rufe einen Kunden an. | I call a customer. | [ʔɪç ˈʁuː.fə ˈʔaɪ̯.nən ˈkʰʊn.dən ʔan] | [ɪç ˈʁuː.fə ˈnaɪ̯.nən ˈkʰʊn.dn̩ ʔan]
German::A1::Daily Routines | Ich bereite das Mittagessen vor. | I prepare lunch. | [ʔɪç bəˈʁaɪ̯.tʰə das ˈmɪt.tʰaːk.ˌʔɛ.sən foːɐ̯] | [ɪç bəˈʁaɪ̯.tʰə das ˈmɪt.tʰaːk.ˌʔɛ.sn̩ foɐ̯]
German::A1::Daily Routines | Ich räume den Tisch ab. | I clear the table. | [ʔɪç ˈʁɔʏ̯.mə deːn tʰɪʃ ʔap] | [ɪç ˈʁɔʏ̯.mə dn̩ tʰɪʃ ʔap]
German::A1::Daily Routines | Ich spüle das Geschirr. | I wash the dishes. | [ʔɪç ˈʃpyː.lə das ɡəˈʃɪʁ] | [ɪç ˈʃpyː.lə das ɡəˈʃɪʁ]
German::A1::Daily Routines | Ich sauge den Boden. | I vacuum the floor. | [ʔɪç ˈzaʊ̯.ɡə deːn ˈboː.dən] | [ɪç ˈzaʊ̯.ɡə dn̩ ˈboː.dn̩]
German::A1::Daily Routines | Ich bringe den Müll raus. | I take out the trash. | [ʔɪç ˈbʁɪ.ŋə deːn mʏl ʁaʊ̯s] | [ɪç ˈbʁɪ.ŋə dn̩ mʏl ʁaʊ̯s]
German::A1::Daily Routines | Ich gehe abends spazieren. | I go for a walk in the evening. | [ʔɪç ˈɡeː.ə ˈʔaː.bənts ʃpaˈtsiː.ʁən] | [ɪç ˈɡeː.ə ˈʔaː.bm̩ts ʃpaˈtsiː.ʁən]
German::A1::Daily Routines | Ich treibe dreimal die Woche Sport. | I do sport three times a week. | [ʔɪç ˈtʰʁaɪ̯.bə ˈdʁaɪ̯.maːl diː ˈvɔ.χə ʃpɔʁt] | [ɪç ˈtʰʁaɪ̯.bə ˈdʁaɪ̯.maːl di ˈvɔ.χə ʃpɔʁt]
German::A1::Daily Routines | Ich gehe ins Fitnessstudio. | I go to the gym. | [ʔɪç ˈɡeː.ə ʔɪns ˈfɪt.nɛs.ˌʃtʰuː.di̯o] | [ɪç ˈɡeː.ə ɪns ˈfɪt.nɛs.ˌʃtʰuː.di̯o]
German::A1::Daily Routines | Am Abend entspanne ich mich. | In the evening I relax. | [ʔam ˈʔaː.bənt ʔɛntˈʃpa.nə ʔɪç mɪç] | [am ˈʔaː.bm̩t ʔɛntˈʃpa.nɪç mɪç]
German::A1::Daily Routines | Ich sehe meine Freunde am Wochenende. | I see my friends on the weekend. | [ʔɪç ˈzeː.ə ˈmaɪ̯.nə ˈfʁɔɪ̯n.də ʔam ˈvɔ.χən.ˌʔɛn.də] | [ɪç ˈzeː.ə ˈmaɪ̯.nə ˈfʁɔɪ̯n.də am ˈvɔ.χn̩.ˌʔɛn.də]
German::A1::Daily Routines | Ich schlafe um zehn Uhr ein. | I fall asleep at ten o'clock. | [ʔɪç ˈʃlaː.fə ʔʊm tseːn ˈʔuːɐ̯ ʔaɪ̯n] | [ɪç ˈʃlaː.fə ʊm tseːn ˈʔuːɐ̯ ʔaɪ̯n]
German::A1::Daily Routines | Ich mache meine Hausaufgaben. | I do my homework. | [ʔɪç ˈma.χə ˈmaɪ̯.nə ˈhaʊ̯s.ˌʔaʊ̯f.ɡaː.bən] | [ɪç ˈma.χə ˈmaɪ̯.nə ˈhaʊ̯s.ˌʔaʊ̯f.ɡaː.bm̩]
German::A1::Daily Routines | Ich lerne jeden Tag Deutsch. | I learn German every day. | [ʔɪç ˈlɛʁ.nə ˈjeː.dən tʰaːk dɔʏ̯tʃ] | [ɪç ˈlɛʁ.nə ˈjeː.dn̩ tʰaːk dɔʏ̯tʃ]
German::A1::Daily Routines | Ich übe die Aussprache. | I practise the pronunciation. | [ʔɪç ˈʔyː.bə diː ˈʔaʊ̯s.ˌʃpʁaː.χə] | [ɪç ˈʔyː.bə di ˈʔaʊ̯s.ˌʃpʁaː.χə]
German::A1::Daily Routines | Ich wiederhole die Vokabeln. | I repeat the vocabulary. | [ʔɪç viː.dɐˈhoː.lə diː voˈkʰaː.bəln] | [ɪç vi.dɐˈhoː.lə di voˈkʰaː.bl̩n]
German::A1::Daily Routines | Meine Routine ist immer gleich. | My routine is always the same. | [ˈmaɪ̯.nə ʁuˈtʰiː.nə ʔɪst ˈʔɪ.mɐ ɡlaɪ̯ç] | [ˈmaɪ̯.nə ʁuˈtʰiː.nə ɪs.tɪ.mɐ ɡlaɪ̯ç]
German::A1::Daily Routines | Am Wochenende schlafe ich aus. | On weekends I sleep in. | [ʔam ˈvɔ.χən.ˌʔɛn.də ˈʃlaː.fə ʔɪç ʔaʊ̯s] | [am ˈvɔ.χn̩.ˌʔɛn.də ˈʃlaː.fɪç aʊ̯s]
German::A1::Daily Routines | Ich stehe langsam auf. | I get up slowly. | [ʔɪç ˈʃteː.ə ˈlaŋ.zaːm ʔaʊ̯f] | [ɪç ˈʃteː.ə ˈlaŋ.zaːm ʔaʊ̯f]
German::A1::Daily Routines | Ich esse schnell. | I eat quickly. | [ʔɪç ˈʔɛ.sə ʃnɛl] | [ɪç ˈʔɛsə ʃnɛl]
German::A1::Daily Routines | Ich beeile mich. | I hurry. | [ʔɪç bəˈʔaɪ̯.lə mɪç] | [ɪç bəˈʔaɪ̯.lə mɪç]
German::A1::Daily Routines | Ich bin oft müde. | I am often tired. | [ʔɪç bɪn ʔɔft ˈmyː.də] | [ɪç bɪn ʔɔft ˈmyː.də]
German::A1::Daily Routines | Ich gehe früh ins Bett. | I go to bed early. | [ʔɪç ˈɡeː.ə fʁyː ʔɪns bɛt] | [ɪç ˈɡeː.ə fʁyː ɪns bɛt]
German::A1::Daily Routines | Ich lese vor dem Schlafen. | I read before sleeping. | [ʔɪç ˈleː.zə foːɐ̯ deːm ˈʃlaː.fən] | [ɪç ˈleː.zə foɐ̯ dm̩ ˈʃlaː.fn̩]
German::A1::Daily Routines | Ich mache das Bett. | I make the bed. | [ʔɪç ˈma.χə das bɛt] | [ɪç ˈma.χə das bɛt]
German::A1::Daily Routines | Mein Tag beginnt früh und endet spät. | My day starts early and ends late. | [maɪ̯n tʰaːk bəˈɡɪnt fʁyː ʔʊnt ˈʔɛn.dət ʃpɛːt] | [maɪ̯n tʰaːk bəˈɡɪnt fʁyː ʊn ˈʔɛn.dət ʃpɛːt]
