German::A1::Hobbies & Free Time | Was ist dein Hobby? | What is your hobby? | [vas ʔɪst daɪ̯n ˈhɔ.bi] | [va.zɪs daɪ̯n ˈhɔ.bi]
German::A1::Hobbies & Free Time | Sie liest lieber Zeitschriften. | She prefers to read magazines. | [ziː liːst ˈliː.bɐ ˈtsaɪ̯t.ʃʁɪf.tn̩] | [zi liːst ˈliːbɐ ˈtsaɪ̯tʃʁɪftn̩]
German::A1::Hobbies & Free Time | Wir hören gern Musik. | We like listening to music. | [viːɐ̯ ˈhøː.ʁən ɡɛʁn muˈziːk] | [viɐ̯ ˈhøːʁŋ̍ ɡɛɐ̯n muˈziːk]
German::A1::Hobbies & Free Time | Ich kann Klavier spielen. | I can play the piano. | [ʔɪç kʰan klaˈviːɐ̯ ˈʃpiː.lən] | [ɪç kan klaˈviːɐ̯ ˈʃpiːlŋ̍]
German::A1::Hobbies & Free Time | Er möchte Gitarre lernen. | He would like to learn the guitar. | [ʔeːɐ̯ ˈmœç.tə ɡiˈtʰa.ʁə ˈlɛʁ.nən] | [ɛɐ̯ ˈmœçtə ɡiˈtaʁə ˈlɛɐ̯nən]
German::A1::Hobbies & Free Time | Sie spielt seit drei Jahren Klavier. | She has been playing piano for three years. | [ziː ˈʃpiːlt zaɪ̯t dʁaɪ̯ ˈjaː.ʁən klaˈviːɐ̯] | [zi ˈʃpiːlt zaɪ̯t dʁaɪ̯ ˈjaːʁn̩ klaˈviːɐ̯]
German::A1::Hobbies & Free Time | Kannst du singen? | Can you sing? | [kʰanst duː ˈzɪ.ŋən] | [kans du ˈzɪŋŋ̍]
German::A1::Hobbies & Free Time | Ich singe nicht sehr gut. | I don't sing very well. | [ʔɪç ˈzɪ.ŋə nɪçt zeːɐ̯ ɡuːt] | [ɪç ˈzɪŋə nɪç zeɐ̯ ɡuːt]
German::A1::Hobbies & Free Time | Wir wollen tanzen gehen. | We want to go dancing. | [viːɐ̯ ˈvɔ.lən ˈtʰan.tsn̩ ˈɡeː.ən] | [viɐ̯ ˈvɔlŋ̍ ˈtantsn̩ ˈɡeːn̩]
German::A1::Hobbies & Free Time | Tanzt du gern? | Do you like dancing? | [tʰantst duː ɡɛʁn] | [tants du ɡɛɐ̯n]
German::A1::Hobbies & Free Time | Sie tanzt jeden Freitag. | She dances every Friday. | [ziː tʰantst ˈjeː.dn̩ ˈfʁaɪ̯.taːk] | [zi tants ˈjeːdn̩ ˈfʁaɪ̯taːk]
German::A1::Hobbies & Free Time | Ich male in meiner Freizeit. | I paint in my free time. | [ʔɪç ˈmaː.lə ʔɪn ˈmaɪ̯.nɐ ˈfʁaɪ̯.tsaɪ̯t] | [ɪç ˈmaːlə‿n ˈmaɪ̯nɐ ˈfʁaɪ̯tsaɪ̯t]
German::A1::Hobbies & Free Time | Er möchte ein Bild malen. | He would like to paint a picture. | [ʔeːɐ̯ ˈmœç.tə ʔaɪ̯n bɪlt ˈmaː.lən] | [ɛɐ̯ ˈmœçtə‿n bɪlt ˈmaːlŋ̍]
German::A1::Hobbies & Free Time | Wir kochen gern zusammen. | We like cooking together. | [viːɐ̯ ˈkʰɔ.xn̩ ɡɛʁn tsuˈza.mən] | [viɐ̯ ˈkɔxn̩ ɡɛɐ̯n tsuˈzamən]
German::A1::Hobbies & Free Time | Kannst du gut kochen? | Can you cook well? | [kʰanst duː ɡuːt ˈkʰɔ.xn̩] | [kans du ɡuːt ˈkɔxn̩]
German::A1::Hobbies & Free Time | Ich möchte italienisch kochen lernen. | I would like to learn to cook Italian food. | [ʔɪç ˈmœç.tə ʔiˈtaː.ljeː.nɪʃ ˈkʰɔ.xn̩ ˈlɛʁ.nən] | [ɪç ˈmœçtə iˈtaːljeːnɪʃ ˈkɔxn̩ ˈlɛɐ̯nən]
German::A1::Hobbies & Free Time | Sie backt gern Kuchen. | She likes baking cakes. | [ziː bakt ɡɛʁn ˈkʰuː.xn̩] | [zi bakt ɡɛɐ̯n ˈkuːxn̩]
German::A1::Hobbies & Free Time | Wir wollen einen Kuchen backen. | We want to bake a cake. | [viːɐ̯ ˈvɔ.lən ˈʔaɪ̯.nən ˈkʰuː.xn̩ ˈba.kn̩] | [viɐ̯ ˈvɔlŋ̍ ˈaɪ̯nən ˈkuːxn̩ ˈbakŋ̍]
German::A1::Hobbies & Free Time | Er geht gern wandern. | He likes going hiking. | [ʔeːɐ̯ ɡeːt ɡɛʁn ˈvan.dɐn] | [ɛɐ̯ ɡeːt ɡɛɐ̯n ˈvandɐn]
German::A1::Hobbies & Free Time | Wollt ihr am Sonntag wandern? | Do you want to go hiking on Sunday? | [vɔlt ʔiːɐ̯ ʔam ˈzɔn.taːk ˈvan.dɐn] | [vɔlt iɐ̯ am ˈzɔntaːk ˈvandɐn]
German::A1::Hobbies & Free Time | Ich fahre gern Rad. | I like cycling. | [ʔɪç ˈfaː.ʁə ɡɛʁn ʁaːt] | [ɪç ˈfaːʁə ɡɛɐ̯n ʁaːt]
German::A1::Hobbies & Free Time | Kannst du Rad fahren? | Can you ride a bike? | [kʰanst duː ʁaːt ˈfaː.ʁən] | [kans du ʁaːt ˈfaːʁn̩]
German::A1::Hobbies & Free Time | Wir möchten am See angeln. | We would like to go fishing at the lake. | [viːɐ̯ ˈmœç.tn̩ ʔam zeː ˈʔa.ŋl̩n] | [viɐ̯ ˈmœçtn̩ am zeː ˈaŋl̩n]
German::A1::Hobbies & Free Time | Er angelt jedes Wochenende. | He goes fishing every weekend. | [ʔeːɐ̯ ˈʔa.ŋl̩t ˈjeː.dəs ˈvɔ.xn̩.ʔɛn.də] | [ɛɐ̯ ˈaŋl̩t ˈjeːdəs ˈvɔxn̩ʔɛndə]
German::A1::Hobbies & Free Time | Ich fotografiere gern Tiere. | I like photographing animals. | [ʔɪç fo.tʰo.ɡʁaˈfiː.ʁə ɡɛʁn ˈtʰiː.ʁə] | [ɪç fotoɡʁaˈfiːʁə ɡɛɐ̯n ˈtiːʁə]
German::A1::Hobbies & Free Time | Sie möchte die Berge fotografieren. | She would like to photograph the mountains. | [ziː ˈmœç.tə diː ˈbɛʁ.ɡə fo.tʰo.ɡʁaˈfiː.ʁən] | [zi ˈmœçtə di ˈbɛɐ̯ɡə fotoɡʁaˈfiːʁn̩]
German::A1::Hobbies & Free Time | Wir spielen gern Schach. | We like playing chess. | [viːɐ̯ ˈʃpiː.lən ɡɛʁn ʃax] | [viɐ̯ ˈʃpiːlŋ̍ ɡɛɐ̯n ʃax]
German::A1::Hobbies & Free Time | Kannst du Schach spielen? | Can you play chess? | [kʰanst duː ʃax ˈʃpiː.lən] | [kans du ʃax ˈʃpiːlŋ̍]
German::A1::Hobbies & Free Time | Er möchte Karten spielen. | He would like to play cards. | [ʔeːɐ̯ ˈmœç.tə ˈkʰaʁ.tn̩ ˈʃpiː.lən] | [ɛɐ̯ ˈmœçtə ˈkaɐ̯tn̩ ˈʃpiːlŋ̍]
German::A1::Hobbies & Free Time | Spielt ihr gern Videospiele? | Do you like playing video games? | [ˈʃpiːlt ʔiːɐ̯ ɡɛʁn ˈviː.de.o.ʃpiː.lə] | [ʃpiːlt iɐ̯ ɡɛɐ̯n ˈviːdeoʃpiːlə]
German::A1::Hobbies & Free Time | Ich spiele jeden Abend Videospiele. | I play video games every evening. | [ʔɪç ˈʃpiː.lə ˈjeː.dn̩ ˈʔaː.bn̩t ˈviː.de.o.ʃpiː.lə] | [ɪç ˈʃpiːlə ˈjeːdn̩ ˈaːbm̩t ˈviːdeoʃpiːlə]
German::A1::Hobbies & Free Time | Wir wollen im Garten arbeiten. | We want to work in the garden. | [viːɐ̯ ˈvɔ.lən ʔɪm ˈɡaʁ.tn̩ ˈʔaʁ.baɪ̯.tn̩] | [viɐ̯ ˈvɔlŋ̍ɪm ˈɡaɐ̯tn̩ ˈaɐ̯baɪ̯tn̩]
German::A1::Hobbies & Free Time | Sie bastelt gern mit den Kindern. | She likes doing crafts with the children. | [ziː ˈbas.tl̩t ɡɛʁn mɪt deːn ˈkʰɪn.dɐn] | [zi ˈbastl̩t ɡɛɐ̯n mɪt dn̩ ˈkɪndɐn]
German::A1::Hobbies & Free Time | Ich nähe meine eigenen Kleider. | I sew my own clothes. | [ʔɪç ˈnɛː.ə ˈmaɪ̯.nə ˈʔaɪ̯.ɡə.nən ˈklaɪ̯.dɐ] | [ɪç ˈnɛːə ˈmaɪ̯nə ˈaɪ̯ɡnən ˈklaɪ̯dɐ]
German::A1::Hobbies & Free Time | Er joggt jeden Morgen. | He jogs every morning. | [ʔeːɐ̯ dʒɔkt ˈjeː.dn̩ ˈmɔʁ.ɡn̩] | [ɛɐ̯ dʒɔkt ˈjeːdn̩ ˈmɔɐ̯ɡn̩]
German::A1::Hobbies & Free Time | Möchtest du mit mir joggen? | Would you like to jog with me? | [ˈmœç.təst duː mɪt miːɐ̯ ˈdʒɔ.ɡn̩] | [ˈmœçtəs du mɪt miɐ̯ ˈdʒɔɡŋ̍]
German::A1::Hobbies & Free Time | Wir machen zusammen Yoga. | We do yoga together. | [viːɐ̯ ˈma.xn̩ tsuˈza.mən ˈjoː.ɡa] | [viɐ̯ ˈmaxn̩ tsuˈzamən ˈjoːɡa]
German::A1::Hobbies & Free Time | Kannst du reiten? | Can you ride a horse? | [kʰanst duː ˈʁaɪ̯.tn̩] | [kans du ˈʁaɪ̯tn̩]
German::A1::Hobbies & Free Time | Sie möchte segeln lernen. | She would like to learn to sail. | [ziː ˈmœç.tə ˈzeː.ɡl̩n ˈlɛʁ.nən] | [zi ˈmœçtə ˈzeːɡl̩n ˈlɛɐ̯nən]
German::A1::Hobbies & Free Time | Wir fahren im Winter gern Ski. | We like skiing in winter. | [viːɐ̯ ˈfaː.ʁən ʔɪm ˈvɪn.tɐ ɡɛʁn ʃiː] | [viɐ̯ ˈfaːʁn̩ɪm ˈvɪntɐ ɡɛɐ̯n ʃiː]
German::A1::Hobbies & Free Time | Er zeichnet sehr gut. | He draws very well. | [ʔeːɐ̯ ˈtsaɪ̯ç.nət zeːɐ̯ ɡuːt] | [ɛɐ̯ ˈtsaɪ̯çnət zeɐ̯ ɡuːt]
German::A1::Hobbies & Free Time | Ich möchte zeichnen lernen. | I would like to learn to draw. | [ʔɪç ˈmœç.tə ˈtsaɪ̯ç.nən ˈlɛʁ.nən] | [ɪç ˈmœçtə ˈtsaɪ̯çnən ˈlɛɐ̯nən]
German::A1::Hobbies & Free Time | Sie sammelt Briefmarken. | She collects stamps. | [ziː ˈza.ml̩t ˈbʁiːf.maʁ.kn̩] | [zi ˈzaml̩t ˈbʁiːfmaɐ̯kn̩]
German::A1::Hobbies & Free Time | Was sammelst du? | What do you collect? | [vas ˈza.məlst duː] | [vas ˈzaml̩s du]
German::A1::Hobbies & Free Time | Wir reisen gern in den Ferien. | We like travelling in the holidays. | [viːɐ̯ ˈʁaɪ̯.zn̩ ɡɛʁn ʔɪn deːn ˈfeː.ʁjən] | [viɐ̯ ˈʁaɪ̯zn̩ ɡɛɐ̯n ɪn dn̩ ˈfeːʁjən]
German::A1::Hobbies & Free Time | Möchtet ihr nach Italien reisen? | Would you like to travel to Italy? | [ˈmœç.tət ʔiːɐ̯ naːx ʔiˈtaː.ljən ˈʁaɪ̯.zn̩] | [ˈmœçtət iɐ̯ nax iˈtaːljən ˈʁaɪ̯zn̩]
German::A1::Hobbies & Free Time | Ich gehe gern ins Kino. | I like going to the cinema. | [ʔɪç ˈɡeː.ə ɡɛʁn ʔɪns ˈkʰiː.no] | [ɪç ˈɡeːə ɡɛɐ̯n‿ɪns ˈkiːno]
German::A1::Hobbies & Free Time | Wollen wir heute Abend ins Kino gehen? | Shall we go to the cinema tonight? | [ˈvɔ.lən viːɐ̯ ˈhɔʏ̯.tə ˈʔaː.bn̩t ʔɪns ˈkʰiː.no ˈɡeː.ən] | [ˈvɔlŋ̍ viɐ̯ ˈhɔʏ̯tə ˈaːbm̩t ɪns ˈkiːno ˈɡeːn̩]
German::A1::Hobbies & Free Time | Sie geht gern ins Theater. | She likes going to the theatre. | [ziː ɡeːt ɡɛʁn ʔɪns tʰeˈʔaː.tɐ] | [zi ɡeːt ɡɛɐ̯n‿ɪns teˈaːtɐ]
German::A1::Hobbies & Free Time | Wir besuchen gern Konzerte. | We like visiting concerts. | [viːɐ̯ bəˈzuː.xn̩ ɡɛʁn kʰɔnˈtsɛʁ.tə] | [viɐ̯ bəˈzuːxn̩ ɡɛɐ̯n kɔnˈtsɛɐ̯tə]
German::A1::Hobbies & Free Time | Er trifft sich gern mit Freunden. | He likes meeting up with friends. | [ʔeːɐ̯ tʁɪft zɪç ɡɛʁn mɪt ˈfʁɔʏ̯n.dn̩] | [ɛɐ̯ tʁɪft zɪç ɡɛɐ̯n mɪt ˈfʁɔʏ̯ndn̩]
German::A1::Hobbies & Free Time | Am Wochenende ruhe ich mich aus. | At the weekend I rest. | [ʔam ˈvɔ.xn̩.ʔɛn.də ˈʁuː.ə ʔɪç mɪç ʔaʊ̯s] | [am ˈvɔxn̩ʔɛndə ˈʁuːə‿ɪç mɪç aʊ̯s]
German::A1::Hobbies & Free Time | Was machst du gern in deiner Freizeit? | What do you like doing in your free time? | [vas maxst duː ɡɛʁn ʔɪn ˈdaɪ̯.nɐ ˈfʁaɪ̯.tsaɪ̯t] | [vas maxs du ɡɛɐ̯n‿ɪn ˈdaɪ̯nɐ ˈfʁaɪ̯tsaɪ̯t]
