German::A1::Clothing & Appearance | Ich trage heute ein blaues Hemd. | I am wearing a blue shirt today. | [ʔɪç ˈtʁaː.ɡə ˈhɔʏ̯.tə ʔaɪ̯n ˈblaʊ̯.əs hɛmt] | [ɪç ˈtʁaːɡə ˈhɔʏ̯tə‿n ˈblaʊ̯əs hɛmt]
German::A1::Clothing & Appearance | Ich trage eine warme Mütze. | I am wearing a warm hat. | [ʔɪç ˈtʁaː.ɡə ˈʔaɪ̯.nə ˈvaʁ.mə ˈmʏ.tsə] | [ɪç ˈtʁaːɡə‿n ˈvaɐ̯mə ˈmʏtsə]
German::A1::Clothing & Appearance | Die Mütze ist gelb. | The hat is yellow. | [diː ˈmʏ.tsə ʔɪst ɡɛlp] | [di ˈmʏtsə‿s ɡɛlp]
German::A1::Clothing & Appearance | Sie trägt einen bunten Schal. | She is wearing a colourful scarf. | [ziː tʁɛːkt ˈʔaɪ̯.nən ˈbʊn.tn̩ ʃaːl] | [zi tʁɛːkt ˈaɪ̯nən ˈbʊntn̩ ʃaːl]
German::A1::Clothing & Appearance | Der Schal ist sehr lang. | The scarf is very long. | [deːɐ̯ ʃaːl ʔɪst zeːɐ̯ laŋ] | [dɛɐ̯ ʃaːl‿s zeɐ̯ laŋ]
German::A1::Clothing & Appearance | Ich trage warme Handschuhe. | I am wearing warm gloves. | [ʔɪç ˈtʁaː.ɡə ˈvaʁ.mə ˈhant.ʃuː.ə] | [ɪç ˈtʁaːɡə ˈvaɐ̯mə ˈhantʃuːə]
German::A1::Clothing & Appearance | Die Handschuhe sind schwarz. | The gloves are black. | [diː ˈhant.ʃuː.ə zɪnt ʃvaʁts] | [di ˈhantʃuːə zɪnt ʃvaɐ̯ts]
German::A1::Clothing & Appearance | Er trägt ein neues T-Shirt. | He is wearing a new t-shirt. | [ʔeːɐ̯ tʁɛːkt ʔaɪ̯n ˈnɔʏ̯.əs ˈtʰiː.ʃœʁt] | [ɛɐ̯ tʁɛːkt‿n ˈnɔʏ̯əs ˈtiːʃœɐ̯t]
German::A1::Clothing & Appearance | Das T-Shirt ist zu groß. | The t-shirt is too big. | [das ˈtʰiː.ʃœʁt ʔɪst tsuː ɡʁoːs] | [das ˈtiːʃœɐ̯t‿s tsu ɡʁoːs]
German::A1::Clothing & Appearance | Ich trage einen dicken Pullover. | I am wearing a thick jumper. | [ʔɪç ˈtʁaː.ɡə ˈʔaɪ̯.nən ˈdɪ.kn̩ pʰʊˈloː.vɐ] | [ɪç ˈtʁaːɡə ˈaɪ̯nən ˈdɪkn̩ pʊˈloːvɐ]
German::A1::Clothing & Appearance | Der Pullover ist grau. | The jumper is grey. | [deːɐ̯ pʰʊˈloː.vɐ ʔɪst ɡʁaʊ̯] | [dɛɐ̯ pʊˈloːvɐ‿s ɡʁaʊ̯]
German::A1::Clothing & Appearance | Er trägt einen dunklen Anzug. | He is wearing a dark suit. | [ʔeːɐ̯ tʁɛːkt ˈʔaɪ̯.nən ˈdʊŋ.kl̩n ˈʔan.tsuːk] | [ɛɐ̯ tʁɛːkt ˈaɪ̯nən ˈdʊŋkl̩n ˈantsuːk]
German::A1::Clothing & Appearance | Der Anzug passt gut. | The suit fits well. | [deːɐ̯ ˈʔan.tsuːk pʰast ɡuːt] | [dɛɐ̯ ˈantsuːk past ɡuːt]
German::A1::Clothing & Appearance | Er trägt eine blaue Krawatte. | He is wearing a blue tie. | [ʔeːɐ̯ tʁɛːkt ˈʔaɪ̯.nə ˈblaʊ̯.ə kʰʁaˈva.tə] | [ɛɐ̯ tʁɛːkt‿n ˈblaʊ̯ə kʁaˈvatə]
German::A1::Clothing & Appearance | Die Krawatte ist schön. | The tie is beautiful. | [diː kʰʁaˈva.tə ʔɪst ʃøːn] | [di kʁaˈvatə‿s ʃøːn]
German::A1::Clothing & Appearance | Ich trage einen braunen Gürtel. | I am wearing a brown belt. | [ʔɪç ˈtʁaː.ɡə ˈʔaɪ̯.nən ˈbʁaʊ̯.nən ˈɡʏʁ.tl̩] | [ɪç ˈtʁaːɡə ˈaɪ̯nən ˈbʁaʊ̯nən ˈɡʏɐ̯tl̩]
German::A1::Clothing & Appearance | Der Gürtel ist zu lang. | The belt is too long. | [deːɐ̯ ˈɡʏʁ.tl̩ ʔɪst tsuː laŋ] | [dɛɐ̯ ˈɡʏɐ̯tl̩‿s tsu laŋ]
German::A1::Clothing & Appearance | Welche Farbe hat dein Kleid? | What colour is your dress? | [ˈvɛl.çə ˈfaʁ.bə hat daɪ̯n klaɪ̯t] | [ˈvɛlçə ˈfaɐ̯bə hat daɪ̯n klaɪ̯t]
German::A1::Clothing & Appearance | Mein Kleid ist grün. | My dress is green. | [maɪ̯n klaɪ̯t ʔɪst ɡʁyːn] | [maɪ̯n klaɪ̯t‿s ɡʁyːn]
German::A1::Clothing & Appearance | Sie trägt ein schönes Kleid. | She is wearing a beautiful dress. | [ziː tʁɛːkt ʔaɪ̯n ˈʃøː.nəs klaɪ̯t] | [zi tʁɛːkt‿n ˈʃøːnəs klaɪ̯t]
German::A1::Clothing & Appearance | Das Kleid passt perfekt. | The dress fits perfectly. | [das klaɪ̯t pʰast pʰɛɐ̯ˈfɛkt] | [das klaɪ̯t past pɛɐ̯ˈfɛkt]
German::A1::Clothing & Appearance | Was ziehst du heute an? | What are you putting on today? | [vas tsiːst duː ˈhɔʏ̯.tə ʔan] | [vas tsiːs du ˈhɔʏ̯tə‿n]
German::A1::Clothing & Appearance | Ich ziehe meine neue Jacke an. | I am putting on my new jacket. | [ʔɪç ˈtsiː.ə ˈmaɪ̯.nə ˈnɔʏ̯.ə ˈja.kə ʔan] | [ɪç ˈtsiːə ˈmaɪ̯nə ˈnɔʏ̯ə ˈjakə‿n]
German::A1::Clothing & Appearance | Zieh deine Schuhe aus! | Take off your shoes! | [tsiː ˈdaɪ̯.nə ˈʃuː.ə ʔaʊ̯s] | [tsi ˈdaɪ̯nə ˈʃuːə‿aʊ̯s]
German::A1::Clothing & Appearance | Er zieht seinen Mantel aus. | He takes off his coat. | [ʔeːɐ̯ tsiːt ˈzaɪ̯.nən ˈman.tl̩ ʔaʊ̯s] | [ɛɐ̯ tsiːt ˈzaɪ̯nən ˈmantl̩‿aʊ̯s]
German::A1::Clothing & Appearance | Diese Hose ist zu eng. | These trousers are too tight. | [ˈdiː.zə ˈhoː.zə ʔɪst tsuː ʔɛŋ] | [ˈdiːzə ˈhoːzə‿s tsu‿ɛŋ]
German::A1::Clothing & Appearance | Dieses Hemd ist zu weit. | This shirt is too wide. | [ˈdiː.zəs hɛmt ʔɪst tsuː vaɪ̯t] | [ˈdiːzəs hɛmt‿s tsu vaɪ̯t]
German::A1::Clothing & Appearance | Welche Größe hast du? | What size are you? | [ˈvɛl.çə ˈɡʁøː.sə hast duː] | [ˈvɛlçə ˈɡʁøːsə has du]
German::A1::Clothing & Appearance | Ich habe Größe achtunddreißig. | I am size thirty-eight. | [ʔɪç ˈhaː.bə ˈɡʁøː.sə ˈʔaxt.ʔʊnt.dʁaɪ̯.sɪç] | [ɪç ˈhaːbə ˈɡʁøːsə ˈaxtʊntdʁaɪ̯sɪç]
German::A1::Clothing & Appearance | Die Kleidung ist sehr teuer. | The clothes are very expensive. | [diː ˈklaɪ̯.dʊŋ ʔɪst zeːɐ̯ ˈtʰɔʏ̯.ɐ] | [di ˈklaɪ̯dʊŋ‿s zeɐ̯ ˈtɔʏ̯ɐ]
German::A1::Clothing & Appearance | Dieser Pullover ist billig. | This jumper is cheap. | [ˈdiː.zɐ pʰʊˈloː.vɐ ʔɪst ˈbɪ.lɪç] | [ˈdiːzɐ pʊˈloːvɐ‿s ˈbɪlɪç]
German::A1::Clothing & Appearance | Ich mag modische Kleidung. | I like fashionable clothes. | [ʔɪç maːk ˈmoː.dɪ.ʃə ˈklaɪ̯.dʊŋ] | [ɪç maːk ˈmoːdɪʃə ˈklaɪ̯dʊŋ]
German::A1::Clothing & Appearance | Diese Jacke gefällt mir sehr. | I like this jacket a lot. | [ˈdiː.zə ˈja.kə ɡəˈfɛlt miːɐ̯ zeːɐ̯] | [ˈdiːzə ˈjakə ɡəˈfɛlt miɐ̯ zeɐ̯]
German::A1::Clothing & Appearance | Er sieht heute sehr gut aus. | He looks very good today. | [ʔeːɐ̯ ziːt ˈhɔʏ̯.tə zeːɐ̯ ɡuːt ʔaʊ̯s] | [ɛɐ̯ ziːt ˈhɔʏ̯tə zeɐ̯ ɡuːt‿aʊ̯s]
German::A1::Clothing & Appearance | Sie sieht immer elegant aus. | She always looks elegant. | [ziː ziːt ˈʔɪ.mɐ ʔe.leˈɡant ʔaʊ̯s] | [zi ziːt ˈɪmɐ eleˈɡant‿aʊ̯s]
German::A1::Clothing & Appearance | Das Hemd hat kurze Ärmel. | The shirt has short sleeves. | [das hɛmt hat ˈkʰʊʁ.tsə ˈʔɛʁ.ml̩] | [das hɛmt hat ˈkʊɐ̯tsə ˈɛɐ̯ml̩]
German::A1::Clothing & Appearance | Der Pullover hat lange Ärmel. | The jumper has long sleeves. | [deːɐ̯ pʰʊˈloː.vɐ hat ˈla.ŋə ˈʔɛʁ.ml̩] | [dɛɐ̯ pʊˈloːvɐ hat ˈlaŋə ˈɛɐ̯ml̩]
German::A1::Clothing & Appearance | Ich habe lange Haare. | I have long hair. | [ʔɪç ˈhaː.bə ˈla.ŋə ˈhaː.ʁə] | [ɪç ˈhaːbə ˈlaŋə ˈhaːʁə]
German::A1::Clothing & Appearance | Sie hat kurze, dunkle Haare. | She has short, dark hair. | [ziː hat ˈkʰʊʁ.tsə ˈdʊŋ.klə ˈhaː.ʁə] | [zi hat ˈkʊɐ̯tsə ˈdʊŋklə ˈhaːʁə]
German::A1::Clothing & Appearance | Er trägt eine Brille. | He wears glasses. | [ʔeːɐ̯ tʁɛːkt ˈʔaɪ̯.nə ˈbʁɪ.lə] | [ɛɐ̯ tʁɛːkt‿n ˈbʁɪlə]
German::A1::Clothing & Appearance | Meine Augen sind braun. | My eyes are brown. | [ˈmaɪ̯.nə ˈʔaʊ̯.ɡn̩ zɪnt bʁaʊ̯n] | [ˈmaɪ̯nə ˈaʊ̯ɡn̩ zɪnt bʁaʊ̯n]
German::A1::Clothing & Appearance | Ich finde diese Farbe sehr schön. | I find this colour very beautiful. | [ʔɪç ˈfɪn.də ˈdiː.zə ˈfaʁ.bə zeːɐ̯ ʃøːn] | [ɪç ˈfɪndə ˈdiːzə ˈfaɐ̯bə zeɐ̯ ʃøːn]
