German::A1::Numbers, Time & Dates | Wie viel Uhr ist es? | What time is it? | [viː fiːl ˈʔuːɐ̯ ʔɪst ʔɛs] | [vi fiːl ˈʔuːɐ̯ ɪs.tɛs]
German::A1::Numbers, Time & Dates | Am Mittag esse ich zu Hause. | At noon I eat at home. | [ʔam ˈmɪt.tʰaːk ˈʔɛ.sə ʔɪç tsuː ˈhaʊ̯.zə] | [am ˈmɪt.tʰaːk ˈʔɛsɪç tsu ˈhaʊ̯.zə]
German::A1::Numbers, Time & Dates | Am Abend lese ich ein Buch. | In the evening I read a book. | [ʔam ˈʔaː.bənt ˈleː.zə ʔɪç ʔaɪ̯n buːχ] | [am ˈʔaː.bm̩t ˈleː.zɪç aɪ̯n buːχ]
German::A1::Numbers, Time & Dates | In der Nacht schlafe ich. | At night I sleep. | [ʔɪn deːɐ̯ naχt ˈʃlaː.fə ʔɪç] | [ɪn dɐ naχt ˈʃlaː.fɪç]
German::A1::Numbers, Time & Dates | Heute ist Montag. | Today is Monday. | [ˈhɔʏ̯.tə ʔɪst ˈmoːn.tʰaːk] | [ˈhɔʏ̯.tə ɪst ˈmoːn.tʰaːk]
German::A1::Numbers, Time & Dates | Morgen ist Dienstag. | Tomorrow is Tuesday. | [ˈmɔʁ.ɡən ʔɪst ˈdiːns.tʰaːk] | [ˈmɔɐ̯.ɡn̩ ɪst ˈdiːns.tʰaːk]
German::A1::Numbers, Time & Dates | Gestern war Sonntag. | Yesterday was Sunday. | [ˈɡɛs.tɐn vaːɐ̯ ˈzɔn.tʰaːk] | [ˈɡɛs.tɐn vaɐ̯ ˈzɔn.tʰaːk]
German::A1::Numbers, Time & Dates | Am Mittwoch habe ich frei. | On Wednesday I have off. | [ʔam ˈmɪt.vɔχ ˈhaː.bə ʔɪç fʁaɪ̯] | [am ˈmɪt.vɔχ ˈhaː.bɪç fʁaɪ̯]
German::A1::Numbers, Time & Dates | Am Wochenende arbeite ich nicht. | On the weekend I don't work. | [ʔam ˈvɔ.χən.ˌʔɛn.də ˈʔaʁ.baɪ̯.tʰə ʔɪç nɪçt] | [am ˈvɔ.χn̩.ˌʔɛn.də ˈʔaʁ.baɪ̯.tʰɪç nɪç]
German::A1::Numbers, Time & Dates | Ein, zwei, drei, vier, fünf. | One, two, three, four, five. | [ʔaɪ̯n tsvaɪ̯ dʁaɪ̯ fiːɐ̯ fʏnf] | [aɪ̯n tsvaɪ̯ dʁaɪ̯ fiɐ̯ fʏɱf]
German::A1::Numbers, Time & Dates | Sechs, sieben, acht, neun, zehn. | Six, seven, eight, nine, ten. | [zɛks ˈziː.bən ʔaχt nɔʏ̯n tseːn] | [zɛks ˈziː.bm̩ raχt nɔʏ̯n tseːn]
German::A1::Numbers, Time & Dates | Ich habe zwanzig Euro. | I have twenty euros. | [ʔɪç ˈhaː.bə ˈtsvan.tsɪç ˈʔɔʏ̯.ʁo] | [ɪç ˈhaː.bə ˈtsvan.tsɪç ˈʔɔʏ̯.ʁo]
German::A1::Numbers, Time & Dates | Er ist dreißig Jahre alt. | He is thirty years old. | [ʔeːɐ̯ ʔɪst ˈdʁaɪ̯.sɪç ˈjaː.ʁə ʔalt] | [ɐ ɪst ˈdʁaɪ̯.sɪç ˈjaː.ʁə ʔalt]
German::A1::Numbers, Time & Dates | Sie ist vierzig Jahre alt. | She is forty years old. | [ziː ʔɪst ˈfɪɐ̯.tsɪç ˈjaː.ʁə ʔalt] | [zi ɪst ˈfɪɐ̯.tsɪç ˈjaː.ʁə ʔalt]
German::A1::Numbers, Time & Dates | Wie alt bist du? | How old are you? | [viː ʔalt bɪst duː] | [vi ʔalt bɪs.tu]
German::A1::Numbers, Time & Dates | Ich bin fünfundzwanzig Jahre alt. | I am twenty-five years old. | [ʔɪç bɪn ˈfʏnf.ʔʊnt.ˌtsvan.tsɪç ˈjaː.ʁə ʔalt] | [ɪç bɪn ˈfʏɱf.ʊn.ˌtsvan.tsɪç ˈjaː.ʁə ʔalt]
German::A1::Numbers, Time & Dates | Der erste Januar ist ein Feiertag. | The first of January is a holiday. | [deːɐ̯ ˈʔeːɐ̯s.tʰə ˈjaː.nu.aːɐ̯ ʔɪst ʔaɪ̯n ˈfaɪ̯.ɐ.ˌtʰaːk] | [dɐ ˈʔeːɐ̯s.tʰə ˈjaː.nu.aɐ̯ ɪs.taɪ̯n ˈfaɪ̯.ɐ.ˌtʰaːk]
German::A1::Numbers, Time & Dates | Heute ist der zweite Mai. | Today is the second of May. | [ˈhɔʏ̯.tə ʔɪst deːɐ̯ ˈtsvaɪ̯.tʰə maɪ̯] | [ˈhɔʏ̯.tə ɪst dɐ ˈtsvaɪ̯.tʰə maɪ̯]
German::A1::Numbers, Time & Dates | Mein Geburtstag ist im März. | My birthday is in March. | [maɪ̯n ɡəˈbʊʁts.ˌtʰaːk ʔɪst ʔɪm mɛʁts] | [maɪ̯n ɡəˈbʊɐ̯ts.ˌtʰaːk ɪs.tɪm mɛʁts]
German::A1::Numbers, Time & Dates | Welches Datum ist heute? | What is today's date? | [ˈvɛl.çəs ˈdaː.tʰʊm ʔɪst ˈhɔʏ̯.tə] | [ˈvɛl.çəs ˈdaː.tʰʊm ɪst ˈhɔʏ̯.tə]
German::A1::Numbers, Time & Dates | Heute ist der dritte Juni. | Today is the third of June. | [ˈhɔʏ̯.tə ʔɪst deːɐ̯ ˈdʁɪt.tʰə ˈjuː.ni] | [ˈhɔʏ̯.tə ɪst dɐ ˈdʁɪt.tʰə ˈjuː.ni]
German::A1::Numbers, Time & Dates | Die Woche hat sieben Tage. | The week has seven days. | [diː ˈvɔ.χə hat ˈziː.bən ˈtʰaː.ɡə] | [di ˈvɔ.χə hat ˈziː.bm̩ ˈtʰaː.ɡə]
German::A1::Numbers, Time & Dates | Das Jahr hat zwölf Monate. | The year has twelve months. | [das jaːɐ̯ hat tsvœlf ˈmoː.na.tʰə] | [das jaɐ̯ hat tsvœlf ˈmoː.na.tʰə]
German::A1::Numbers, Time & Dates | Ein Monat hat etwa dreißig Tage. | A month has about thirty days. | [ʔaɪ̯n ˈmoː.nat hat ˈʔɛt.va ˈdʁaɪ̯.sɪç ˈtʰaː.ɡə] | [aɪ̯n ˈmoː.nat hat ˈʔɛt.va ˈdʁaɪ̯.sɪç ˈtʰaː.ɡə]
German::A1::Numbers, Time & Dates | Um wie viel Uhr triffst du dich? | At what time are you meeting? | [ʔʊm viː fiːl ˈʔuːɐ̯ tʁɪfst duː dɪç] | [ʊm vi fiːl ˈʔuːɐ̯ tʁɪfs.tu dɪç]
German::A1::Numbers, Time & Dates | Ich treffe mich um acht Uhr. | I am meeting at eight o'clock. | [ʔɪç ˈtʰʁɛ.fə mɪç ʔʊm ʔaχt ˈʔuːɐ̯] | [ɪç ˈtʰʁɛ.fə mɪç ʊm raχt ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Der Zug fährt um sechs Uhr ab. | The train departs at six o'clock. | [deːɐ̯ tsuːk fɛːɐ̯t ʔʊm zɛks ˈʔuːɐ̯ ʔap] | [dɐ tsuːk fɛːɐ̯t ʊm zɛks ˈʔuːɐ̯ ʔap]
German::A1::Numbers, Time & Dates | Das Meeting ist um zehn Uhr. | The meeting is at ten o'clock. | [das ˈmiː.tʰɪŋ ʔɪst ʔʊm tseːn ˈʔuːɐ̯] | [das ˈmiː.tʰɪŋ ɪs.tʊm tseːn ˈʔuːɐ̯]
German::A1::Numbers, Time & Dates | Ich habe um elf Uhr einen Termin. | I have an appointment at eleven o'clock. | [ʔɪç ˈhaː.bə ʔʊm ʔɛlf ˈʔuːɐ̯ ˈʔaɪ̯.nən tʰɛɐ̯ˈmiːn] | [ɪç ˈhaː.bə ʊm ʔɛlf ˈʔuːɐ̯ ˈnaɪ̯.nən tʰɛɐ̯ˈmiːn]
German::A1::Numbers, Time & Dates | Am Freitag gehe ich ins Kino. | On Friday I go to the cinema. | [ʔam ˈfʁaɪ̯.tʰaːk ˈɡeː.ə ʔɪç ʔɪns ˈkʰiː.no] | [am ˈfʁaɪ̯.tʰaːk ˈɡeː.ɪç ʔɪns ˈkʰiː.no]
German::A1::Numbers, Time & Dates | Am Samstag schlafe ich lange. | On Saturday I sleep late. | [ʔam ˈzams.tʰaːk ˈʃlaː.fə ʔɪç ˈlaŋ.ə] | [am ˈzams.tʰaːk ˈʃlaː.fɪç ˈlaŋ.ə]
German::A1::Numbers, Time & Dates | Im Sommer ist es warm. | In summer it is warm. | [ʔɪm ˈzɔ.mɐ ʔɪst ʔɛs vaʁm] | [ɪm ˈzɔ.mɐ ɪs.tɛs vaʁm]
German::A1::Numbers, Time & Dates | Im Winter ist es kalt. | In winter it is cold. | [ʔɪm ˈvɪn.tʰɐ ʔɪst ʔɛs kʰalt] | [ɪm ˈvɪn.tʰɐ ɪs.tɛs kʰalt]
German::A1::Numbers, Time & Dates | Der Unterricht dauert eine Stunde. | The lesson lasts one hour. | [deːɐ̯ ˈʔʊn.tʰɐ.ˌʁɪçt ˈdaʊ̯.ɐt ˈʔaɪ̯.nə ˈʃtʰʊn.də] | [dɐ ˈʔʊn.tʰɐ.ˌʁɪçt ˈdaʊ̯.ɐt ˈnaɪ̯.nə ˈʃtʰʊn.də]
German::A1::Numbers, Time & Dates | Die Pause dauert zehn Minuten. | The break lasts ten minutes. | [diː ˈpʰaʊ̯.zə ˈdaʊ̯.ɐt tseːn miˈnuː.tʰən] | [di ˈpʰaʊ̯.zə ˈdaʊ̯.ɐt tseːn miˈnuː.tʰn̩]
German::A1::Numbers, Time & Dates | Ich warte seit einer halben Stunde. | I have been waiting for half an hour. | [ʔɪç ˈvaʁ.tʰə zaɪ̯t ˈʔaɪ̯.nɐ ˈhal.bən ˈʃtʰʊn.də] | [ɪç ˈvaʁ.tʰə zaɪ̯t ˈnaɪ̯.nɐ ˈhal.bm̩ ˈʃtʰʊn.də]
German::A1::Numbers, Time & Dates | Es ist schon spät. | It is already late. | [ʔɛs ʔɪst ʃoːn ʃpɛːt] | [ɛs ɪst ʃoːn ʃpɛːt]
German::A1::Numbers, Time & Dates | Wir haben noch Zeit. | We still have time. | [viːɐ̯ ˈhaː.bən nɔχ tsaɪ̯t] | [viɐ̯ ˈhaː.bm̩ nɔχ tsaɪ̯t]
German::A1::Numbers, Time & Dates | Bis Mittwoch! | See you Wednesday! | [bɪs ˈmɪt.vɔχ] | [bɪs ˈmɪt.vɔχ]
