German::A1::Food & Drink | Ich möchte einen Kaffee. | I would like a coffee. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nən kʰaˈfeː] | [ɪç ˈmœçtə n̩ kaˈfeː]
German::A1::Food & Drink | Der Kaffee ist heiß. | The coffee is hot. | [deːɐ̯ kʰaˈfeː ʔɪst haɪ̯s] | [dɛɐ̯ kaˈfeː ɪst haɪs]
German::A1::Food & Drink | Der Tee ist kalt. | The tea is cold. | [deːɐ̯ tʰeː ʔɪst kʰalt̚] | [dɛɐ̯ teː ɪst kalt̚]
German::A1::Food & Drink | Die Suppe ist lecker. | The soup is delicious. | [diː ˈzʊ.pə ʔɪst ˈlɛ.kɐ] | [diː ˈzʊpə ɪst ˈlɛkɐ]
German::A1::Food & Drink | Ich möchte ein Ei. | I would like an egg. | [ʔɪç ˈmœç.tə ʔaɪ̯n ʔaɪ̯] | [ɪç ˈmœçtn̩ ʔaɪ]
German::A1::Food & Drink | Ich esse eine Wurst. | I am eating a sausage. | [ʔɪç ˈʔɛ.sə ˈʔaɪ̯.nə vʊʁst] | [ɪç ˈɛsə nə vʊɐ̯st]
German::A1::Food & Drink | Ich esse einen Schinken. | I am eating a ham. | [ʔɪç ˈʔɛ.sə ˈʔaɪ̯.nən ˈʃɪŋ.kn̩] | [ɪç ˈɛsə n̩ ˈʃɪŋkn̩]
German::A1::Food & Drink | Ich möchte einen Nachtisch. | I would like a dessert. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nən ˈnaːx.tɪʃ] | [ɪç ˈmœçtə n̩ ˈnaːxtɪʃ]
German::A1::Food & Drink | Wir essen zu Abend. | We are eating dinner. | [viːɐ̯ ˈʔɛ.sn̩ tsuː ˈʔaː.bn̩t] | [viɐ̯ ˈɛsn̩ tsu ˈaːbn̩t]
German::A1::Food & Drink | Wir essen zu Mittag. | We are eating lunch. | [viːɐ̯ ˈʔɛ.sn̩ tsuː ˈmɪ.taːk] | [viɐ̯ ˈɛsn̩ tsu ˈmɪtaːk]
German::A1::Food & Drink | Ich mache das Frühstück. | I am making breakfast. | [ʔɪç ˈma.xə das ˈfʁyː.ʃtʏk] | [ɪç ˈmaxə das ˈfʁyːʃtʏk]
German::A1::Food & Drink | Die Speisekarte, bitte. | The menu, please. | [diː ˈʃpaɪ̯.zə.kaʁ.tə ˈbɪ.tə] | [diː ˈʃpaɪzəkaʁtə ˈbɪtə]
German::A1::Food & Drink | Ich bestelle eine Pizza. | I am ordering a pizza. | [ʔɪç bəˈʃtɛ.lə ˈʔaɪ̯.nə ˈpʰɪ.tsa] | [ɪç bəˈʃtɛlə nə ˈpɪtsa]
German::A1::Food & Drink | Er bestellt einen Salat. | He orders a salad. | [ʔeːɐ̯ bəˈʃtɛlt̚ ˈʔaɪ̯.nən zaˈlaːt̚] | [ɛɐ̯ bəˈʃtɛlt̚ n̩ zaˈlaːt̚]
German::A1::Food & Drink | Die Rechnung, bitte. | The bill, please. | [diː ˈʁɛç.nʊŋ ˈbɪ.tə] | [diː ˈʁɛçnʊŋ ˈbɪtə]
German::A1::Food & Drink | Der Kellner bringt das Essen. | The waiter brings the food. | [deːɐ̯ ˈkʰɛl.nɐ bʁɪŋt̚ das ˈʔɛ.sn̩] | [dɛɐ̯ ˈkɛlnɐ bʁɪŋt̚ das ˈɛsn̩]
German::A1::Food & Drink | Ich möchte kein Fleisch. | I do not want any meat. | [ʔɪç ˈmœç.tə kʰaɪ̯n flaɪ̯ʃ] | [ɪç ˈmœçtə kaɪn flaɪʃ]
German::A1::Food & Drink | Ich esse gern Obst. | I like eating fruit. | [ʔɪç ˈʔɛ.sə ɡɛʁn ʔoːpst] | [ɪç ˈɛsə ɡɛɐ̯n oːpst]
German::A1::Food & Drink | Ich esse gern Gemüse. | I like eating vegetables. | [ʔɪç ˈʔɛ.sə ɡɛʁn ɡəˈmyː.zə] | [ɪç ˈɛsə ɡɛɐ̯n ɡəˈmyːzə]
German::A1::Food & Drink | Magst du Käse? | Do you like cheese? | [maːkst duː ˈkʰɛː.zə] | [maːkstə ˈkɛːzə]
German::A1::Food & Drink | Ich mag keinen Fisch. | I do not like fish. | [ʔɪç maːk ˈkʰaɪ̯.nən fɪʃ] | [ɪç maːk kaɪnən fɪʃ]
German::A1::Food & Drink | Der Apfel ist rot. | The apple is red. | [deːɐ̯ ˈʔap.fl̩ ʔɪst ʁoːt̚] | [dɛɐ̯ ˈapfl̩ ɪst ʁoːt̚]
German::A1::Food & Drink | Die Banane ist gelb. | The banana is yellow. | [diː baˈnaː.nə ʔɪst ɡɛlp] | [diː baˈnaːnə ɪst ɡɛlp]
German::A1::Food & Drink | Ich trinke gern Kaffee. | I like drinking coffee. | [ʔɪç ˈtʰʁɪŋ.kə ɡɛʁn kʰaˈfeː] | [ɪç ˈtʁɪŋkə ɡɛɐ̯n kaˈfeː]
German::A1::Food & Drink | Er trinkt gern Tee. | He likes drinking tea. | [ʔeːɐ̯ tʁɪŋkt̚ ɡɛʁn tʰeː] | [ɛɐ̯ tʁɪŋkt̚ ɡɛɐ̯n teː]
German::A1::Food & Drink | Wir trinken Wasser. | We drink water. | [viːɐ̯ ˈtʰʁɪŋ.kn̩ ˈva.sɐ] | [viɐ̯ ˈtʁɪŋkn̩ ˈvasɐ]
German::A1::Food & Drink | Sie isst einen Apfel. | She is eating an apple. | [ziː ʔɪst ˈʔaɪ̯.nən ˈʔap.fl̩] | [ziː ɪst n̩ ˈapfl̩]
German::A1::Food & Drink | Ich esse ein Stück Kuchen. | I am eating a piece of cake. | [ʔɪç ˈʔɛ.sə ʔaɪ̯n ʃtʏk ˈkʰuː.xn̩] | [ɪç ˈɛsn̩ ʃtʏk ˈkuːxn̩]
German::A1::Food & Drink | Die Nudeln sind warm. | The noodles are warm. | [diː ˈnuː.dl̩n zɪnt̚ vaʁm] | [diː ˈnuːdl̩n zɪnt̚ vaɐ̯m]
German::A1::Food & Drink | Der Reis ist fertig. | The rice is ready. | [deːɐ̯ ʁaɪ̯s ʔɪst ˈfɛʁ.tɪç] | [dɛɐ̯ ʁaɪs ɪst ˈfɛɐ̯tɪç]
German::A1::Food & Drink | Ich möchte ein Glas Wein. | I would like a glass of wine. | [ʔɪç ˈmœç.tə ʔaɪ̯n ɡlaːs vaɪ̯n] | [ɪç ˈmœçtn̩ ɡlaːs vaɪn]
German::A1::Food & Drink | Ich möchte eine Tasse Kaffee. | I would like a cup of coffee. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nə ˈtʰa.sə kʰaˈfeː] | [ɪç ˈmœçtə nə ˈtasə kaˈfeː]
German::A1::Food & Drink | Ich möchte einen Teller Suppe. | I would like a plate of soup. | [ʔɪç ˈmœç.tə ˈʔaɪ̯.nən ˈtʰɛ.lɐ ˈzʊ.pə] | [ɪç ˈmœçtə n̩ ˈtɛlɐ ˈzʊpə]
German::A1::Food & Drink | Das Essen ist fertig. | The food is ready. | [das ˈʔɛ.sn̩ ʔɪst ˈfɛʁ.tɪç] | [das ˈɛsn̩ ɪst ˈfɛɐ̯tɪç]
German::A1::Food & Drink | Der Honig ist süß. | The honey is sweet. | [deːɐ̯ ˈhoː.nɪç ʔɪst zyːs] | [dɛɐ̯ ˈhoːnɪç ɪst zyːs]
German::A1::Food & Drink | Die Marmelade ist süß. | The jam is sweet. | [diː maʁ.məˈlaː.də ʔɪst zyːs] | [diː maʁməˈlaːdə ɪst zyːs]
German::A1::Food & Drink | Ich esse jeden Morgen ein Ei. | I eat an egg every morning. | [ʔɪç ˈʔɛ.sə ˈjeː.dn̩ ˈmɔʁ.ɡn̩ ʔaɪ̯n ʔaɪ̯] | [ɪç ˈɛsə ˈjeːdn̩ ˈmɔɐ̯ɡn̩ ʔn̩ ʔaɪ]
German::A1::Food & Drink | Wir kaufen Obst und Gemüse. | We buy fruit and vegetables. | [viːɐ̯ ˈkʰaʊ̯.fn̩ ʔoːpst ʔʊnt̚ ɡəˈmyː.zə] | [viɐ̯ ˈkaʊfn̩ oːpst ʊnt ɡəˈmyːzə]
