German::A1::Shopping & Money | Ich gebe dem Verkäufer das Geld. | I give the salesman the money. | [ʔɪç ˈɡeː.bə deːm fɛɐ̯ˈkʰɔʏ̯.fɐ das ɡɛlt̚] | [ɪç ˈɡeːbə dm̩ fɛɐ̯ˈkɔʏfɐ das ɡɛlt̚]
German::A1::Shopping & Money | Ich gehe zum Markt. | I am going to the market. | [ʔɪç ˈɡeː.ə tsʊm maʁkt̚] | [ɪç ˈɡeːə tsʊm maʁkt̚]
German::A1::Shopping & Money | Der Markt ist heute geöffnet. | The market is open today. | [deːɐ̯ maʁkt̚ ʔɪst ˈhɔʏ̯.tə ɡəˈʔœf.nət] | [dɛɐ̯ maʁkt̚ ɪst ˈhɔʏtə ɡəˈʔœfnət]
German::A1::Shopping & Money | Das Geschäft ist geschlossen. | The shop is closed. | [das ɡəˈʃɛft̚ ʔɪst ɡəˈʃlɔ.sn̩] | [das ɡəˈʃɛft̚ ɪst ɡəˈʃlɔsn̩]
German::A1::Shopping & Money | Wann öffnet der Laden? | When does the shop open? | [van ˈʔœf.nət deːɐ̯ ˈlaː.dn̩] | [van ˈœfnət dɛɐ̯ ˈlaːdn̩]
German::A1::Shopping & Money | Der Laden öffnet um neun Uhr. | The shop opens at nine o'clock. | [deːɐ̯ ˈlaː.dn̩ ˈʔœf.nət ʔʊm nɔʏ̯n ʔuːɐ̯] | [dɛɐ̯ ˈlaːdn̩ ˈœfnət ʊm nɔʏn ʔuɐ̯]
German::A1::Shopping & Money | Ich brauche eine Quittung. | I need a receipt. | [ʔɪç ˈbʁaʊ̯.xə ˈʔaɪ̯.nə ˈkʰvɪ.tʊŋ] | [ɪç ˈbʁaʊxə nə ˈkvɪtʊŋ]
German::A1::Shopping & Money | Haben Sie Wechselgeld? | Do you have change? | [ˈhaː.bən ziː ˈvɛk.sl̩.ɡɛlt̚] | [ˈhaːbm̩ zi ˈvɛksl̩ɡɛlt̚]
German::A1::Shopping & Money | Das macht zwanzig Euro. | That comes to twenty euros. | [das maxt̚ ˈtsvan.tsɪç ˈʔɔʏ̯.ʁo] | [das maxt̚ ˈtsvantsɪç ˈɔʏʁo]
German::A1::Shopping & Money | Das ist im Angebot. | That is on offer. | [das ʔɪst ʔɪm ˈʔan.ɡə.boːt̚] | [das ɪst ɪm ˈanɡəboːt̚]
German::A1::Shopping & Money | Ich spare Geld. | I am saving money. | [ʔɪç ˈʃpaː.ʁə ɡɛlt̚] | [ɪç ˈʃpaːʁə ɡɛlt̚]
German::A1::Shopping & Money | Ich gebe dem Kind einen Euro. | I give the child one euro. | [ʔɪç ˈɡeː.bə deːm kʰɪnt̚ ˈʔaɪ̯.nən ˈʔɔʏ̯.ʁo] | [ɪç ˈɡeːbə dm̩ kɪnt̚ n̩ ˈɔʏʁo]
German::A1::Shopping & Money | Der Preis ist hoch. | The price is high. | [deːɐ̯ pʁaɪ̯s ʔɪst hoːx] | [dɛɐ̯ pʁaɪs ɪst hoːx]
German::A1::Shopping & Money | Der Preis ist niedrig. | The price is low. | [deːɐ̯ pʁaɪ̯s ʔɪst ˈniː.dʁɪç] | [dɛɐ̯ pʁaɪs ɪst ˈniːdʁɪç]
German::A1::Shopping & Money | Ich probiere die Jacke an. | I am trying on the jacket. | [ʔɪç pʁoˈbiː.ʁə diː ˈja.kə ʔan] | [ɪç pʁoˈbiːʁə diː ˈjakə an]
German::A1::Shopping & Money | Passt mir die Hose? | Does the trousers fit me? | [pʰast̚ miːɐ̯ diː ˈhoː.zə] | [past̚ miɐ̯ diː ˈhoːzə]
German::A1::Shopping & Money | Die Schuhe passen mir gut. | The shoes fit me well. | [diː ˈʃuː.ə ˈpʰa.sn̩ miːɐ̯ ɡuːt̚] | [diː ˈʃuːə ˈpasn̩ miɐ̯ ɡuːt̚]
German::A1::Shopping & Money | Ich brauche eine größere Größe. | I need a bigger size. | [ʔɪç ˈbʁaʊ̯.xə ˈʔaɪ̯.nə ˈɡʁøː.sɐ.ʁə ˈɡʁøː.sə] | [ɪç ˈbʁaʊxə nə ˈɡʁøːsɐʁə ˈɡʁøːsə]
German::A1::Shopping & Money | Ich brauche eine kleinere Größe. | I need a smaller size. | [ʔɪç ˈbʁaʊ̯.xə ˈʔaɪ̯.nə ˈklaɪ̯.nə.ʁə ˈɡʁøː.sə] | [ɪç ˈbʁaʊxə nə ˈklaɪnəʁə ˈɡʁøːsə]
German::A1::Shopping & Money | Welche Farbe gefällt dir? | Which colour do you like? | [ˈvɛl.çə ˈfaʁ.bə ɡəˈfɛlt̚ diːɐ̯] | [ˈvɛlçə ˈfaʁbə ɡəˈfɛlt̚ diɐ̯]
German::A1::Shopping & Money | Mir gefällt die rote Jacke. | I like the red jacket. | [miːɐ̯ ɡəˈfɛlt̚ diː ˈʁoː.tə ˈja.kə] | [miɐ̯ ɡəˈfɛlt̚ diː ˈʁoːtə ˈjakə]
German::A1::Shopping & Money | Ich zeige ihm die Rechnung. | I show him the bill. | [ʔɪç ˈtsaɪ̯.ɡə ʔiːm diː ˈʁɛç.nʊŋ] | [ɪç ˈtsaɪɡəm diː ˈʁɛçnʊŋ]
German::A1::Shopping & Money | Wir bezahlen an der Kasse. | We pay at the checkout. | [viːɐ̯ bəˈtsaː.lən ʔan deːɐ̯ ˈkʰa.sə] | [viɐ̯ bəˈtsaːlən an dɛɐ̯ ˈkasə]
German::A1::Shopping & Money | Ich lege das Geld auf den Tisch. | I put the money on the table. | [ʔɪç ˈleː.ɡə das ɡɛlt̚ ʔaʊ̯f deːn tʰɪʃ] | [ɪç ˈleːɡə das ɡɛlt̚ aʊf dn̩ tɪʃ]
German::A1::Shopping & Money | Der Kassierer gibt mir das Wechselgeld. | The cashier gives me the change. | [deːɐ̯ kʰaˈsiː.ʁɐ ɡiːpt̚ miːɐ̯ das ˈvɛk.sl̩.ɡɛlt̚] | [dɛɐ̯ kaˈsiːʁɐ ɡiːpt̚ miɐ̯ das ˈvɛksl̩ɡɛlt̚]
German::A1::Shopping & Money | Ich kaufe drei Brötchen. | I am buying three bread rolls. | [ʔɪç ˈkʰaʊ̯.fə dʁaɪ̯ ˈbʁøːt.çən] | [ɪç ˈkaʊfə dʁaɪ ˈbʁøːtçən]
German::A1::Shopping & Money | Ich kaufe zwei Kilo Äpfel. | I am buying two kilos of apples. | [ʔɪç ˈkʰaʊ̯.fə tsvaɪ̯ ˈkʰiː.lo ˈʔɛp.fl̩] | [ɪç ˈkaʊfə tsvaɪ ˈkiːlo ˈɛpfl̩]
German::A1::Shopping & Money | Das Portemonnaie ist leer. | The wallet is empty. | [das pɔʁ.tmɔˈneː ʔɪst leːɐ̯] | [das pɔʁtmɔˈneː ɪst leɐ̯]
German::A1::Shopping & Money | Meine Geldbörse ist voll. | My purse is full. | [ˈmaɪ̯.nə ˈɡɛlt̚.bœʁ.zə ʔɪst fɔl] | [ˈmaɪnə ˈɡɛltbœʁzə ɪst fɔl]
German::A1::Shopping & Money | Ich spare für ein Fahrrad. | I am saving for a bicycle. | [ʔɪç ˈʃpaː.ʁə fyːɐ̯ ʔaɪ̯n ˈfaːɐ̯.ʁaːt̚] | [ɪç ˈʃpaːʁə fyɐ̯ n̩ ˈfaːɐ̯ʁaːt̚]
German::A1::Shopping & Money | Ich gebe meinem Freund das Geld zurück. | I give my friend the money back. | [ʔɪç ˈɡeː.bə ˈmaɪ̯.nəm fʁɔʏ̯nt̚ das ɡɛlt̚ tsuˈʁʏk] | [ɪç ˈɡeːbə ˈmaɪnəm fʁɔʏnt̚ das ɡɛlt̚ tsuˈʁʏk]
