German::A1::Family & People | Das ist mein Vater. | This is my father. | [das ʔɪst maɪ̯n ˈfaː.tʰɐ] | [das ɪst maɪ̯n ˈfaː.tʰɐ]
German::A1::Family & People | Meine Großeltern sind alt. | My grandparents are old. | [ˈmaɪ̯.nə ˈɡʁoːs.ˌʔɛl.tʰɐn zɪnt ʔalt] | [ˈmaɪ̯.nə ˈɡʁoːs.ˌʔɛl.tʰɐn zɪnt ʔalt]
German::A1::Family & People | Wie viele Geschwister hast du? | How many siblings do you have? | [viː ˈfiː.lə ɡəˈʃvɪs.tʰɐ hast duː] | [vi ˈfiː.lə ɡəˈʃvɪs.tʰɐ has.tu]
German::A1::Family & People | Ich habe einen Bruder und eine Schwester. | I have a brother and a sister. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nən ˈbʁuː.dɐ ʔʊnt ˈʔaɪ̯.nə ˈʃvɛs.tʰɐ] | [ɪç ˈhaː.bə ˈnaɪ̯.nən ˈbʁuː.dɐ ʊn ˈnaɪ̯.nə ˈʃvɛs.tʰɐ]
German::A1::Family & People | Ich habe keine Geschwister. | I have no siblings. | [ʔɪç ˈhaː.bə ˈkʰaɪ̯.nə ɡəˈʃvɪs.tʰɐ] | [ɪç ˈhaː.bə ˈkʰaɪ̯.nə ɡəˈʃvɪs.tʰɐ]
German::A1::Family & People | Bist du verheiratet? | Are you married? | [bɪst duː fɛɐ̯ˈhaɪ̯.ʁaː.tʰət] | [bɪs.tu fɛɐ̯ˈhaɪ̯.ʁaː.tʰət]
German::A1::Family & People | Ja, ich bin verheiratet. | Yes, I am married. | [jaː ʔɪç bɪn fɛɐ̯ˈhaɪ̯.ʁaː.tʰət] | [ja ɪç bɪn fɛɐ̯ˈhaɪ̯.ʁaː.tʰət]
German::A1::Family & People | Nein, ich bin ledig. | No, I am single. | [naɪ̯n ʔɪç bɪn ˈleː.dɪç] | [naɪ̯n ɪç bɪn ˈleː.dɪç]
German::A1::Family & People | Er ist geschieden. | He is divorced. | [ʔeːɐ̯ ʔɪst ɡəˈʃiː.dən] | [ɐ ɪst ɡəˈʃiː.dn̩]
German::A1::Family & People | Meine Familie ist groß. | My family is big. | [ˈmaɪ̯.nə faˈmiː.li̯ə ʔɪst ɡʁoːs] | [ˈmaɪ̯.nə faˈmiː.li̯ə ɪst ɡʁoːs]
German::A1::Family & People | Deine Familie ist klein. | Your family is small. | [ˈdaɪ̯.nə faˈmiː.li̯ə ʔɪst klaɪ̯n] | [ˈdaɪ̯.nə faˈmiː.li̯ə ɪst klaɪ̯n]
German::A1::Family & People | Wer ist das? | Who is this? | [veːɐ̯ ʔɪst das] | [veːɐ̯ ɪs.das]
German::A1::Family & People | Das ist meine Nichte. | This is my niece. | [das ʔɪst ˈmaɪ̯.nə ˈnɪç.tʰə] | [das ɪst ˈmaɪ̯.nə ˈnɪç.tʰə]
German::A1::Family & People | Das ist mein Neffe. | This is my nephew. | [das ʔɪst maɪ̯n ˈnɛ.fə] | [das ɪst maɪ̯n ˈnɛ.fə]
German::A1::Family & People | Mein Opa erzählt gern Geschichten. | My grandpa likes telling stories. | [maɪ̯n ˈʔoː.pa ʔɛɐ̯ˈtsɛːlt ɡɛʁn ɡəˈʃɪç.tʰən] | [maɪ̯n ˈʔoː.pa ɐˈtsɛːlt ɡɛʁn ɡəˈʃɪç.tn̩]
German::A1::Family & People | Meine Oma kocht gern. | My grandma likes cooking. | [ˈmaɪ̯.nə ˈʔoː.ma kʰɔχt ɡɛʁn] | [ˈmaɪ̯.nə ˈʔoː.ma kʰɔχt ɡɛʁn]
German::A1::Family & People | Wie heißt dein Vater? | What is your father's name? | [viː ˈhaɪ̯st daɪ̯n ˈfaː.tʰɐ] | [vi ˈhaɪ̯st daɪ̯n ˈfaː.tʰɐ]
German::A1::Family & People | Mein Vater heißt Klaus. | My father is called Klaus. | [maɪ̯n ˈfaː.tʰɐ ˈhaɪ̯st klaʊ̯s] | [maɪ̯n ˈfaː.tʰɐ ˈhaɪ̯st klaʊ̯s]
German::A1::Family & People | Wie alt ist deine Mutter? | How old is your mother? | [viː ʔalt ʔɪst ˈdaɪ̯.nə ˈmʊ.tʰɐ] | [vi ʔalt ɪst ˈdaɪ̯.nə ˈmʊ.tʰɐ]
German::A1::Family & People | Meine Mutter ist fünfzig. | My mother is fifty. | [ˈmaɪ̯.nə ˈmʊ.tʰɐ ʔɪst ˈfʏnf.tsɪç] | [ˈmaɪ̯.nə ˈmʊ.tʰɐ ɪst ˈfʏɱf.tsɪç]
German::A1::Family & People | Wo wohnt dein Bruder? | Where does your brother live? | [voː voːnt daɪ̯n ˈbʁuː.dɐ] | [vo voːnt daɪ̯n ˈbʁuː.dɐ]
German::A1::Family & People | Mein Bruder wohnt in Köln. | My brother lives in Cologne. | [maɪ̯n ˈbʁuː.dɐ voːnt ʔɪn kʰœln] | [maɪ̯n ˈbʁuː.dɐ voːnt ɪn kʰœln]
German::A1::Family & People | Ist er dein Kollege? | Is he your colleague? | [ʔɪst ʔeːɐ̯ daɪ̯n kʰɔˈleː.ɡə] | [ɪs.tɐ daɪ̯n kʰɔˈleː.ɡə]
German::A1::Family & People | Nein, er ist mein Nachbar. | No, he is my neighbour. | [naɪ̯n ʔeːɐ̯ ʔɪst maɪ̯n ˈnaːχ.baːɐ̯] | [naɪ̯n ɐ ɪst maɪ̯n ˈnaːχ.baɐ̯]
German::A1::Family & People | Sie ist meine beste Freundin. | She is my best friend. | [ziː ʔɪst ˈmaɪ̯.nə ˈbɛs.tʰə ˈfʁɔɪ̯n.dɪn] | [zi ɪst ˈmaɪ̯.nə ˈbɛs.tʰə ˈfʁɔɪ̯n.dɪn]
German::A1::Family & People | Er ist mein bester Freund. | He is my best friend. | [ʔeːɐ̯ ʔɪst maɪ̯n ˈbɛs.tʰɐ fʁɔɪ̯nt] | [ɐ ɪst maɪ̯n ˈbɛs.tʰɐ fʁɔɪ̯nt]
German::A1::Family & People | Wir sind eine glückliche Familie. | We are a happy family. | [viːɐ̯ zɪnt ˈʔaɪ̯.nə ˈɡlʏk.lɪ.çə faˈmiː.li̯ə] | [viɐ̯ zɪnt ˈnaɪ̯.nə ˈɡlʏk.lɪ.çə faˈmiː.li̯ə]
German::A1::Family & People | Mein Baby schläft viel. | My baby sleeps a lot. | [maɪ̯n ˈbeː.bi ʃlɛːft fiːl] | [maɪ̯n ˈbeː.bi ʃlɛːft fiːl]
German::A1::Family & People | Das Kind ist noch klein. | The child is still small. | [das kʰɪnt ʔɪst nɔχ klaɪ̯n] | [das kʰɪnt ɪst nɔχ klaɪ̯n]
German::A1::Family & People | Die Erwachsenen sprechen viel. | The adults talk a lot. | [diː ʔɛɐ̯ˈvak.sə.nən ˈʃpʁɛ.çən fiːl] | [di ɛɐ̯ˈvak.sə.nən ˈʃpʁɛ.çn̩ fiːl]
German::A1::Family & People | Meine Verwandten wohnen weit weg. | My relatives live far away. | [ˈmaɪ̯.nə fɛɐ̯ˈvan.tʰən ˈvoː.nən vaɪ̯t vɛk] | [ˈmaɪ̯.nə fɛɐ̯ˈvan.tʰn̩ ˈvoː.nən vaɪ̯t vɛk]
German::A1::Family & People | Ich liebe meine Familie. | I love my family. | [ʔɪç ˈliː.bə ˈmaɪ̯.nə faˈmiː.li̯ə] | [ɪç ˈliː.bə ˈmaɪ̯.nə faˈmiː.li̯ə]
