German::A1::Work & School | Ich arbeite in einem Büro. | I work in an office. | [ʔɪç ˈʔaʁ.baɪ̯.tə ʔɪn ˈʔaɪ̯.nəm byˈʁoː] | [ɪç ˈaɐ̯baɪ̯tə‿n ˈaɪ̯nəm byˈʁoː]
German::A1::Work & School | Ich lerne auch Englisch und Deutsch. | I also learn English and German. | [ʔɪç ˈlɛʁ.nə ʔaʊ̯x ˈʔɛŋ.lɪʃ ʔʊnt dɔʏ̯tʃ] | [ɪç ˈlɛɐ̯nə‿aʊ̯x ˈɛŋlɪʃ‿ʊn dɔʏ̯tʃ]
German::A1::Work & School | Die Hausaufgabe ist für morgen. | The homework is for tomorrow. | [diː ˈhaʊ̯s.ʔaʊ̯f.ɡaː.bə ʔɪst fyːɐ̯ ˈmɔʁ.ɡn̩] | [di ˈhaʊ̯saʊ̯fɡaːbə‿s fyɐ̯ ˈmɔɐ̯ɡn̩]
German::A1::Work & School | Ich mache meine Hausaufgaben jeden Abend. | I do my homework every evening. | [ʔɪç ˈma.xə ˈmaɪ̯.nə ˈhaʊ̯s.ʔaʊ̯f.ɡaː.bn̩ ˈjeː.dn̩ ˈʔaː.bn̩t] | [ɪç ˈmaxə ˈmaɪ̯nə ˈhaʊ̯saʊ̯fɡaːbm̩ ˈjeːdn̩ ˈaːbm̩t]
German::A1::Work & School | Die Prüfung ist am Freitag. | The exam is on Friday. | [diː ˈpʁyː.fʊŋ ʔɪst ʔam ˈfʁaɪ̯.taːk] | [di ˈpʁyːfʊŋ‿s am ˈfʁaɪ̯taːk]
German::A1::Work & School | Ich habe eine gute Note bekommen. | I got a good mark. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə ˈɡuː.tə ˈnoː.tə bəˈkʰɔ.mən] | [ɪç ˈhaːbə‿n ˈɡuːtə ˈnoːtə bəˈkɔmən]
German::A1::Work & School | Der Lehrer erklärt die Aufgabe. | The teacher explains the task. | [deːɐ̯ ˈleː.ʁɐ ʔɛɐ̯ˈklɛːɐ̯t diː ˈʔaʊ̯f.ɡaː.bə] | [dɛɐ̯ ˈleːʁɐ ɛɐ̯ˈklɛːɐ̯t di ˈaʊ̯fɡaːbə]
German::A1::Work & School | Die Schüler hören dem Lehrer zu. | The pupils listen to the teacher. | [diː ˈʃyː.lɐ ˈhøː.ʁən deːm ˈleː.ʁɐ tsuː] | [di ˈʃyːlɐ ˈhøːʁn̩ dm̩ ˈleːʁɐ tsu]
German::A1::Work & School | Ich studiere an der Universität. | I study at the university. | [ʔɪç ʃtʊˈdiː.ʁə ʔan deːɐ̯ ʔu.ni.vɛʁ.ziˈtʰɛːt] | [ɪç ʃtuˈdiːʁə‿n dɛɐ̯ univɛɐ̯ziˈtɛːt]
German::A1::Work & School | Was studierst du? | What are you studying? | [vas ʃtʊˈdiːɐ̯st duː] | [vas ʃtuˈdiːɐ̯s du]
German::A1::Work & School | Ich studiere Medizin. | I am studying medicine. | [ʔɪç ʃtʊˈdiː.ʁə me.diˈtsʰiːn] | [ɪç ʃtuˈdiːʁə mediˈtsiːn]
German::A1::Work & School | Mein Bruder ist Student. | My brother is a student. | [maɪ̯n ˈbʁuː.dɐ ʔɪst ʃtʊˈdɛnt] | [maɪ̯n ˈbʁuːdɐ‿s ʃtuˈdɛnt]
German::A1::Work & School | Ich habe morgen einen wichtigen Termin. | I have an important appointment tomorrow. | [ʔɪç ˈhaː.bə ˈmɔʁ.ɡn̩ ˈʔaɪ̯.nən ˈvɪç.tɪ.ɡn̩ tʰɛɐ̯ˈmiːn] | [ɪç ˈhaːbə ˈmɔɐ̯ɡn̩ ˈaɪ̯nən ˈvɪçtɪɡn̩ tɛɐ̯ˈmiːn]
German::A1::Work & School | Der Chef hat viel Arbeit. | The boss has a lot of work. | [deːɐ̯ ʃɛf hat fiːl ˈʔaʁ.baɪ̯t] | [dɛɐ̯ ʃɛf hat fiːl ˈaɐ̯baɪ̯t]
German::A1::Work & School | Ich verdiene nicht viel Geld. | I don't earn much money. | [ʔɪç fɛɐ̯ˈdiː.nə nɪçt fiːl ɡɛlt] | [ɪç fɛɐ̯ˈdiːnə nɪç fiːl ɡɛlt]
German::A1::Work & School | Wie viel verdienst du? | How much do you earn? | [viː fiːl fɛɐ̯ˈdiːnst duː] | [vi fiːl fɛɐ̯ˈdiːns du]
German::A1::Work & School | Ich arbeite von Montag bis Freitag. | I work from Monday to Friday. | [ʔɪç ˈʔaʁ.baɪ̯.tə fɔn ˈmoːn.taːk bɪs ˈfʁaɪ̯.taːk] | [ɪç ˈaɐ̯baɪ̯tə fɔn ˈmoːntaːk bɪs ˈfʁaɪ̯taːk]
German::A1::Work & School | Am Wochenende arbeite ich nicht. | I don't work at the weekend. | [ʔam ˈvɔ.xn̩.ʔɛn.də ˈʔaʁ.baɪ̯.tə ʔɪç nɪçt] | [am ˈvɔxn̩ʔɛndə ˈaɐ̯baɪ̯tə‿ɪç nɪç]
German::A1::Work & School | Ich fahre mit dem Bus zur Arbeit. | I go to work by bus. | [ʔɪç ˈfaː.ʁə mɪt deːm bʊs tsuːɐ̯ ˈʔaʁ.baɪ̯t] | [ɪç ˈfaːʁə mɪt dm̩ bʊs tsuɐ̯ ˈaɐ̯baɪ̯t]
German::A1::Work & School | Der Zug ist heute pünktlich. | The train is on time today. | [deːɐ̯ tsuːk ʔɪst ˈhɔʏ̯.tə ˈpʏŋkt.lɪç] | [dɛɐ̯ tsuːk‿s ˈhɔʏ̯tə ˈpʏŋktlɪç]
German::A1::Work & School | Ich komme oft zu spät zur Arbeit. | I often come late to work. | [ʔɪç ˈkʰɔ.mə ʔɔft tsuː ʃpɛːt tsuːɐ̯ ˈʔaʁ.baɪ̯t] | [ɪç ˈkɔmə ɔft tsu ʃpɛːt tsuɐ̯ ˈaɐ̯baɪ̯t]
German::A1::Work & School | Meine Kollegin ist sehr freundlich. | My colleague is very friendly. | [ˈmaɪ̯.nə kʰɔˈleː.ɡɪn ʔɪst zeːɐ̯ ˈfʁɔʏ̯nt.lɪç] | [ˈmaɪ̯nə kɔˈleːɡɪn‿s zeɐ̯ ˈfʁɔʏ̯ntlɪç]
German::A1::Work & School | Wir haben ein neues Projekt. | We have a new project. | [viːɐ̯ ˈhaː.bn̩ ʔaɪ̯n ˈnɔʏ̯.əs pʁoˈjɛkt] | [viɐ̯ ˈhaːbm̩ ʔaɪ̯n ˈnɔʏ̯əs pʁoˈjɛkt]
German::A1::Work & School | Das Projekt ist sehr wichtig. | The project is very important. | [das pʁoˈjɛkt ʔɪst zeːɐ̯ ˈvɪç.tɪç] | [das pʁoˈjɛkt‿s zeɐ̯ ˈvɪçtɪç]
German::A1::Work & School | Ich habe heute ein Meeting. | I have a meeting today. | [ʔɪç ˈhaː.bə ˈhɔʏ̯.tə ʔaɪ̯n ˈmiː.tɪŋ] | [ɪç ˈhaːbə ˈhɔʏ̯tə‿n ˈmiːtɪŋ]
German::A1::Work & School | Das Meeting dauert zwei Stunden. | The meeting lasts two hours. | [das ˈmiː.tɪŋ ˈdaʊ̯.ɐt tsvaɪ̯ ˈʃtʊn.dn̩] | [das ˈmiːtɪŋ ˈdaʊ̯ɐt tsvaɪ̯ ˈʃtʊndn̩]
German::A1::Work & School | Ich mag meine Arbeit, weil sie interessant ist. | I like my work because it is interesting. | [ʔɪç maːk ˈmaɪ̯.nə ˈʔaʁ.baɪ̯t vaɪ̯l ziː ʔɪn.tʰə.ʁɛˈsant ʔɪst] | [ɪç maːk ˈmaɪ̯nə ˈaɐ̯baɪ̯t vaɪ̯l zi ɪntəʁɛˈsant‿s]
German::A1::Work & School | Er mag seine Arbeit nicht, weil sie langweilig ist. | He doesn't like his work because it is boring. | [ʔeːɐ̯ maːk ˈzaɪ̯.nə ˈʔaʁ.baɪ̯t nɪçt vaɪ̯l ziː ˈlaŋ.vaɪ̯.lɪç ʔɪst] | [ɛɐ̯ maːk ˈzaɪ̯nə ˈaɐ̯baɪ̯t nɪç vaɪ̯l zi ˈlaŋvaɪ̯lɪç‿s]
German::A1::Work & School | Ich lerne viel, weil die Prüfung wichtig ist. | I study a lot because the exam is important. | [ʔɪç ˈlɛʁ.nə fiːl vaɪ̯l diː ˈpʁyː.fʊŋ ˈvɪç.tɪç ʔɪst] | [ɪç ˈlɛɐ̯nə fiːl vaɪ̯l di ˈpʁyːfʊŋ ˈvɪçtɪç‿s]
German::A1::Work & School | Sie ist nervös, weil die Prüfung morgen ist. | She is nervous because the exam is tomorrow. | [ziː ʔɪst nɛʁˈvøːs vaɪ̯l diː ˈpʁyː.fʊŋ ˈmɔʁ.ɡn̩ ʔɪst] | [zi‿s nɛʁˈvøːs vaɪ̯l di ˈpʁyːfʊŋ ˈmɔɐ̯ɡn̩‿s]
German::A1::Work & School | Ich glaube, dass ich die Prüfung bestehe. | I believe that I will pass the exam. | [ʔɪç ˈɡlaʊ̯.bə das ʔɪç diː ˈpʁyː.fʊŋ bəˈʃteː.ə] | [ɪç ˈɡlaʊ̯bə das‿ɪç di ˈpʁyːfʊŋ bəˈʃteːə]
German::A1::Work & School | Er weiß, dass die Schule wichtig ist. | He knows that school is important. | [ʔeːɐ̯ vaɪ̯s das diː ˈʃuː.lə ˈvɪç.tɪç ʔɪst] | [ɛɐ̯ vaɪ̯s das di ˈʃuːlə ˈvɪçtɪç‿s]
German::A1::Work & School | Ich habe eine Fabrik besucht. | I visited a factory. | [ʔɪç ˈhaː.bə ˈʔaɪ̯.nə faˈbʁiːk bəˈzuːxt] | [ɪç ˈhaːbə‿n faˈbʁiːk bəˈzuːxt]
German::A1::Work & School | Sie arbeitet in einem Krankenhaus. | She works in a hospital. | [ziː ˈʔaʁ.baɪ̯.tət ʔɪn ˈʔaɪ̯.nəm ˈkʰʁaŋ.kn̩.haʊ̯s] | [zi ˈaɐ̯baɪ̯tət‿ɪn ˈaɪ̯nəm ˈkʁaŋkn̩haʊ̯s]
German::A1::Work & School | Mein Vater arbeitet in einer Firma. | My father works in a company. | [maɪ̯n ˈfaː.tɐ ˈʔaʁ.baɪ̯.tət ʔɪn ˈʔaɪ̯.nɐ ˈfɪʁ.ma] | [maɪ̯n ˈfaːtɐ ˈaɐ̯baɪ̯tət‿ɪn ˈaɪ̯nɐ ˈfɪɐ̯ma]
German::A1::Work & School | Die Firma ist sehr groß. | The company is very big. | [diː ˈfɪʁ.ma ʔɪst zeːɐ̯ ɡʁoːs] | [di ˈfɪɐ̯ma‿s zeɐ̯ ɡʁoːs]
German::A1::Work & School | Ich brauche mehr Ferien. | I need more holidays. | [ʔɪç ˈbʁaʊ̯.xə meːɐ̯ ˈfeː.ʁjən] | [ɪç ˈbʁaʊ̯xə meɐ̯ ˈfeːʁjən]
German::A1::Work & School | Im Sommer haben wir sechs Wochen Ferien. | In summer we have six weeks of holidays. | [ʔɪm ˈzɔ.mɐ ˈhaː.bn̩ viːɐ̯ zɛks ˈvɔ.xn̩ ˈfeː.ʁjən] | [ɪm ˈzɔmɐ ˈhaːbm̩ viɐ̯ zɛks ˈvɔxn̩ ˈfeːʁjən]
German::A1::Work & School | Ich mache eine Pause, weil ich hungrig bin. | I take a break because I am hungry. | [ʔɪç ˈma.xə ˈʔaɪ̯.nə ˈpaʊ̯.zə vaɪ̯l ʔɪç ˈhʊŋ.ʁɪç bɪn] | [ɪç ˈmaxə‿n ˈpaʊ̯zə vaɪ̯l‿ɪç ˈhʊŋʁɪç bɪn]
German::A1::Work & School | Nach der Arbeit gehe ich nach Hause. | After work I go home. | [naːx deːɐ̯ ˈʔaʁ.baɪ̯t ˈɡeː.ə ʔɪç naːx ˈhaʊ̯.zə] | [nax dɛɐ̯ ˈaɐ̯baɪ̯t ˈɡeːə‿ɪç nax ˈhaʊ̯zə]
