Spanish::A1::Negation and contradiction | No tengo dinero hoy. | I don't have money today. | [no ˈteŋ.go d̪i.ˈne.ɾo oi̯] | [noˈteŋ.goð̞iˈne.ɾoi̯]
Spanish::A1::Negation and contradiction | No como nunca comida rápida. | I never eat fast food. | [no ˈko.mo ˈnuŋ.ka ko.ˈmi.ð̞a ˈra.pi.ð̞a] | [noˈko.moˈnuŋ.kako.ˈmi.ð̞aˈra.pi.ð̞a]
Spanish::A1::Negation and contradiction | No hay ningún libro en la mesa. | There's no book on the table. | [no ai̯ niŋ.ˈɡ̞un ˈli.β̞ɾo en la ˈme.sa] | [noai̯niŋˈɡ̞unˈli.β̞ɾoenla.ˈme.sa]
Spanish::A1::Negation and contradiction | Ella no tiene ningún amigo aquí. | She doesn't have any friends here. | [ˈe.ʝa no ˈtje.ne niŋ.ˈɡ̞un a.ˈmi.ɣ̞o a.ˈki] | [ˈe.ʝanoˈtje.neniŋˈɡ̞una.ˈmi.ɣ̞oaˈki]
Spanish::A1::Negation and contradiction | No trabajo los fines de semana nunca. | I never work on weekends. | [no tɾa.ˈβ̞a.xo los ˈfi.nes ð̞e se.ˈma.na ˈnuŋ.ka] | [notɾaˈβ̞a.xolo.ˈfi.neð̞e.seˈma.naˈnuŋ.ka]
Spanish::A1::Negation and contradiction | Nadie viene a la reunión hoy. | Nobody is coming to the meeting today. | [ˈna.ð̞je ˈbje.ne a la re.u.ˈnjon oi̯] | [ˈna.ð̞jeˈbje.nea.la.rewˈnjonoi̯]
Spanish::A1::Negation and contradiction | No hay nada nuevo en las noticias. | There's nothing new in the news. | [no ai̯ ˈna.ð̞a ˈnwe.β̞o en las no.ˈti.sjas] | [noai̯ˈna.ð̞aˈnwe.β̞oenlas.noˈti.sjas]
Spanish::A1::Negation and contradiction | Ellos no salen nunca de noche. | They never go out at night. | [ˈe.ʝoz no ˈsa.len ˈnuŋ.ka ð̞e ˈno.tʃe] | [ˈe.ʝoznoˈsa.lenˈnuŋ.kað̞e.ˈno.tʃe]
Spanish::A1::Negation and contradiction | No conozco ningún restaurante bueno aquí. | I don't know any good restaurant here. | [no ko.ˈnos.ko niŋ.ˈɡ̞un res.tau̯.ˈɾan.te ˈβwe.no a.ˈki] | [noko.ˈnos.koniŋˈɡ̞un.res.tau̯ˈɾan.teˈβwe.noaˈki]
Spanish::A1::Negation and contradiction | No tengo ninguna duda sobre esto. | I have no doubt about this. | [no ˈteŋ.go niŋ.ˈɡ̞u.na ˈd̪u.ð̞a ˈso.β̞ɾe ˈes.to] | [noˈteŋ.goniŋˈɡ̞u.naˈd̪u.ð̞aˈso.β̞ɾees.to]
Spanish::A1::Negation and contradiction | No entiendo nada de esta lección. | I don't understand anything about this lesson. | [no en.ˈtjen.d̪o ˈna.ð̞a ð̞e ˈes.ta lek.ˈsjon] | [noen.ˈtjen.d̪oˈna.ð̞að̞e.esta.lekˈsjon]
Spanish::A1::Negation and contradiction | Nadie contestó el teléfono. | Nobody answered the phone. | [ˈna.ð̞je kon.tes.ˈto el te.ˈle.fo.no] | [ˈna.ð̞jekon.tesˈtoel.teˈle.fo.no]
Spanish::A1::Negation and contradiction | No quiero nada más, gracias. | I don't want anything else, thanks. | [no ˈkje.ɾo ˈna.ð̞a mas ˈɣ̞ɾa.sjas] | [noˈkje.ɾoˈna.ð̞amasˈɣ̞ɾa.sjas]
