Spanish::A1::Talking about routines (II) | Yo como frutas todos los días. | I eat fruit every day. | [ˈʝo ˈko.mo ˈfɾu.tas ˈto.ðos loz ˈdi.as] | [ˈʝoˈkomoˈfɾutahtoðozloˈzði.ah]
Spanish::A1::Talking about routines (II) | Yo quiero un café. | I want a coffee. | [ˈʝo ˈkje.ɾo uŋ kaˈfe] | [ˈʝoˈkjeɾoŋkaˈfe]
Spanish::A1::Talking about routines (II) | Tú quieres salir hoy. | You want to go out today. | [ˈtu ˈkje.ɾes saˈliɾ oi̯] | [ˈtuˈkjeɾessaˈliɾoi̯]
Spanish::A1::Talking about routines (II) | Él quiere aprender inglés. | He wants to learn English. | [ˈel ˈkje.ɾe a.pɾenˈdeɾ iŋˈɡles] | [ˈelˈkjeɾeapɾenˈdeɾiŋˈɡleh]
Spanish::A1::Talking about routines (II) | Ella quiere descansar. | She wants to rest. | [ˈe.ʝa ˈkje.ɾe des.kanˈsaɾ] | [ˈe.ʝaˈkjeɾedehkanˈsaɾ]
Spanish::A1::Talking about routines (II) | Nosotros queremos viajar. | We want to travel. | [noˈso.tɾos keˈɾe.mos bjaˈxaɾ] | [noˈso.tɾoskeˈɾemozβjaˈxaɾ]
Spanish::A1::Talking about routines (II) | Ellos quieren comer pizza. | They want to eat pizza. | [ˈe.ʝos ˈkje.ɾen koˈmeɾ ˈpi.sa] | [ˈe.ʝosˈkjeɾeŋkoˈmeɾˈpisa]
Spanish::A1::Talking about routines (II) | Yo puedo hablar español. | I can speak Spanish. | [ˈʝo ˈpwe.ðo aˈβlaɾ es.paˈɲol] | [ˈʝoˈpweðoaˈβlarespaˈɲol]
Spanish::A1::Talking about routines (II) | Tú puedes ayudarme. | You can help me. | [ˈtu ˈpwe.ðes a.ʝuˈðaɾ.me] | [ˈtuˈpweðesaʝuˈðaɾme]
Spanish::A1::Talking about routines (II) | Él puede correr rápido. | He can run fast. | [ˈel ˈpwe.ðe koˈreɾ ˈra.pi.ðo] | [ˈelˈpweðekoˈreˈrapiðo]
Spanish::A1::Talking about routines (II) | Ella puede cantar bien. | She can sing well. | [ˈe.ʝa ˈpwe.ðe kanˈtaɾ ˈβjen] | [ˈe.ʝaˈpweðekanˈtaɾˈβjen]
Spanish::A1::Talking about routines (II) | Nosotros podemos venir mañana. | We can come tomorrow. | [noˈso.tɾos poˈðe.mos beˈniɾ maˈɲa.na] | [noˈso.tɾospoˈðemosβeˈniɾmaˈɲana]
Spanish::A1::Talking about routines (II) | Ellos pueden jugar fútbol. | They can play soccer. | [ˈe.ʝos ˈpwe.ðen xuˈɣaɾ ˈfut.βol] | [ˈe.ʝosˈpweðeŋxuˈɣaɾˈfutβol]
Spanish::A1::Talking about routines (II) | Yo pido un café con leche. | I order a coffee with milk. | [ˈʝo ˈpi.ðo uŋ kaˈfe kon ˈle.tʃe] | [ˈʝoˈpiðoŋkaˈfekonˈletʃe]
Spanish::A1::Talking about routines (II) | Tú pides ayuda. | You ask for help. | [ˈtu ˈpi.ðes aˈʝu.ða] | [ˈtuˈpiðesaˈʝuða]
Spanish::A1::Talking about routines (II) | Ella pide la cuenta. | She asks for the bill. | [ˈe.ʝa ˈpi.ðe la ˈkwen.ta] | [ˈe.ʝaˈpiðelaˈkwenta]
