Spanish::A1::House, rooms, and location | La cocina está al lado del comedor. | The kitchen is next to the dining room. | [la ko.ˈsi.na es.ˈta al ˈla.ð̞o ð̞el ko.me.ˈð̞oɾ] | [lakoˈsi.naesˈtaal.ˈla.ð̞oð̞el.komeˈð̞oɾ]
Spanish::A1::House, rooms, and location | Las ventanas están cerradas por la noche. | The windows are closed at night. | [las ben.ˈta.nas es.ˈtan se.ˈra.ð̞as poɾ la ˈno.tʃe] | [lazbenˈta.nasesˈtansera.ð̞aspoɾ.laˈno.tʃe]
Spanish::A1::House, rooms, and location | Mi escritorio está entre la cama y la ventana. | My desk is between the bed and the window. | [mi es.kɾi.ˈto.ɾjo es.ˈta ˈen.tɾe la ˈka.ma i la ben.ˈta.na] | [mjes.kɾiˈto.ɾjoesˈtaen.tɾe.laˈka.mai.laβenˈta.na]
Spanish::A1::House, rooms, and location | El baño está a la derecha de la cocina. | The bathroom is to the right of the kitchen. | [el ˈba.ɲo es.ˈta a la d̪e.ˈɾe.tʃa ð̞e la ko.ˈsi.na] | [elˈba.ɲoesˈtaa.lað̞eˈɾe.tʃað̞e.lakoˈsi.na]
Spanish::A1::House, rooms, and location | El armario está a la izquierda de la puerta. | The closet is to the left of the door. | [el aɾ.ˈma.ɾjo es.ˈta a la is.ˈkjeɾ.ð̞a ð̞e la ˈpweɾ.ta] | [elaɾˈma.ɾjoesˈtaa.laisˈkjeɾ.ð̞að̞e.laˈpweɾ.ta]
Spanish::A1::House, rooms, and location | Hay flores en el balcón. | There are flowers on the balcony. | [ai̯ ˈflo.ɾes en el bal.ˈkon] | [ai̯ˈflo.ɾesenel.balˈkon]
Spanish::A1::House, rooms, and location | El comedor está cerca de la cocina. | The dining room is near the kitchen. | [el ko.me.ˈð̞oɾ es.ˈta ˈseɾ.ka ð̞e la ko.ˈsi.na] | [elkomeˈð̞oɾesˈtaˈseɾ.kað̞e.lakoˈsi.na]
Spanish::A1::House, rooms, and location | Mis padres viven en un apartamento pequeño. | My parents live in a small apartment. | [mis ˈpa.ð̞ɾez ˈβ̞i.β̞en en un a.paɾ.ta.ˈmen.to pe.ˈke.ɲo] | [misˈpa.ð̞ɾezˈβ̞i.β̞enenun.a.paɾtaˈmen.tope.ˈke.ɲo]
Spanish::A1::House, rooms, and location | Nosotros vivimos en una casa grande. | We live in a big house. | [no.ˈso.tɾos ˈβ̞i.β̞i.mos en ˈu.na ˈka.sa ˈɣ̞ɾan.d̪e] | [noˈso.tɾosˈβ̞i.β̞i.mosenu.naˈka.saˈɣ̞ɾan.d̪e]
Spanish::A1::House, rooms, and location | El sótano está debajo de la casa. | The basement is under the house. | [el ˈso.ta.no es.ˈta d̪e.ˈβ̞a.xo ð̞e la ˈka.sa] | [elˈso.ta.noesˈtad̪eˈβ̞a.xoð̞e.laˈka.sa]
Spanish::A1::House, rooms, and location | La escalera está al fondo del pasillo. | The staircase is at the end of the hallway. | [la es.ka.ˈle.ɾa es.ˈta al ˈfon.d̪o ð̞el pa.ˈsi.ʝo] | [laes.kaˈle.ɾaesˈtaal.ˈfon.d̪oð̞el.paˈsi.ʝo]
Spanish::A1::House, rooms, and location | Hay una piscina detrás del jardín. | There is a pool behind the garden. | [ai̯ ˈu.na pis.ˈsi.na d̪e.ˈtɾaz ð̞el xaɾ.ˈð̞in] | [ai̯ˈu.napisˈsi.nad̪eˈtɾaz.ð̞el.xaɾˈð̞in]
Spanish::A1::House, rooms, and location | El refrigerador está en la cocina. | The refrigerator is in the kitchen. | [el re.fɾi.xe.ɾa.ˈð̞oɾ es.ˈta en la ko.ˈsi.na] | [elre.fɾixe.ɾaˈð̞oɾesˈtaenla.koˈsi.na]
Spanish::A1::House, rooms, and location | Los cuadros están en la pared. | The paintings are on the wall. | [los ˈkwa.ð̞ɾos es.ˈtan en la pa.ˈɾeð̞] | [losˈkwa.ð̞ɾosesˈtanenla.paˈɾeð̞]
Spanish::A1::House, rooms, and location | La cama está pegada a la pared. | The bed is against the wall. | [la ˈka.ma es.ˈta pe.ˈɣ̞a.ð̞a a la pa.ˈɾeð̞] | [laˈka.maesˈtapeˈɣ̞a.ð̞aa.lapaˈɾeð̞]
Spanish::A1::House, rooms, and location | El patio está fuera de la casa. | The patio is outside the house. | [el ˈpa.tjo es.ˈta ˈfwe.ɾa ð̞e la ˈka.sa] | [elˈpa.tjoesˈtaˈfwe.ɾað̞e.laˈka.sa]
