Spanish::A1::Talking about routines (I) | Yo trabajo en una oficina. | I work in an office. | [ˈʝo tɾaˈβa.xo en ˈu.na o.fiˈsi.na] | [ˈʝotɾaˈβaxoenuˈnaofiˈsina]
Spanish::A1::Talking about routines (I) | Ellos estudian por la noche. | They study at night. | [ˈe.ʝos esˈtu.ðjan poɾ la ˈno.tʃe] | [ˈe.ʝosehˈtuðjampoɾlaˈnotʃe]
Spanish::A1::Talking about routines (I) | Yo camino a la escuela. | I walk to school. | [ˈʝo kaˈmi.no a la esˈkwe.la] | [ˈʝokaˈminoalaeˈskwela]
Spanish::A1::Talking about routines (I) | Tú caminas al trabajo. | You walk to work. | [ˈtu kaˈmi.nas al tɾaˈβa.xo] | [ˈtukaˈminahaltɾaˈβaxo]
Spanish::A1::Talking about routines (I) | Él camina rápido. | He walks fast. | [ˈel kaˈmi.na ˈra.pi.ðo] | [ˈelkaˈminaˈrapiðo]
Spanish::A1::Talking about routines (I) | Ella camina despacio. | She walks slowly. | [ˈe.ʝa kaˈmi.na desˈpa.sjo] | [ˈe.ʝakaˈminadehˈpasjo]
Spanish::A1::Talking about routines (I) | Nosotros caminamos juntos. | We walk together. | [noˈso.tɾos ka.miˈna.mos ˈxun.tos] | [noˈso.tɾoskamiˈnamoˈxuntoh]
Spanish::A1::Talking about routines (I) | Ellos caminan por el parque. | They walk through the park. | [ˈe.ʝos kaˈmi.nan poɾ el ˈpaɾ.ke] | [ˈe.ʝoskaˈminampoɾelˈpaɾke]
Spanish::A1::Talking about routines (I) | Yo escucho música. | I listen to music. | [ˈʝo esˈku.tʃo ˈmu.si.ka] | [ˈʝoehˈkutʃoˈmusika]
Spanish::A1::Talking about routines (I) | Tú escuchas la radio. | You listen to the radio. | [ˈtu esˈku.tʃas la ˈra.ðjo] | [ˈtuehˈkutʃahlaˈraðjo]
Spanish::A1::Talking about routines (I) | Él escucha al profesor. | He listens to the teacher. | [ˈel esˈku.tʃa al pɾo.feˈsoɾ] | [ˈelehˈkutʃaalpɾofeˈsoɾ]
Spanish::A1::Talking about routines (I) | Ella escucha con atención. | She listens carefully. | [ˈe.ʝa esˈku.tʃa kon a.tenˈsjon] | [ˈe.ʝaehˈkutʃakonatenˈsjon]
Spanish::A1::Talking about routines (I) | Nosotros escuchamos canciones. | We listen to songs. | [noˈso.tɾos es.kuˈtʃa.mos kanˈsjo.nes] | [noˈso.tɾosehkuˈtʃamoskanˈsjoneh]
Spanish::A1::Talking about routines (I) | Ellos escuchan las noticias. | They listen to the news. | [ˈe.ʝos esˈku.tʃan las noˈti.sjas] | [ˈe.ʝosehˈkutʃanlaznoˈtisjah]
Spanish::A1::Talking about routines (I) | Yo hablo español. | I speak Spanish. | [ˈʝo ˈa.βlo es.paˈɲol] | [ˈʝoˈaβloespaˈɲol]
Spanish::A1::Talking about routines (I) | Tú hablas muy bien. | You speak very well. | [ˈtu ˈa.βlas ˈmwi ˈβjen] | [ˈtuˈaβlazˈmwiˈβjen]
Spanish::A1::Talking about routines (I) | Él habla con su amigo. | He talks with his friend. | [ˈel ˈa.βla kon su aˈmi.ɣo] | [ˈelˈaβlakonswaˈmiɣo]
Spanish::A1::Talking about routines (I) | Ella habla por teléfono. | She talks on the phone. | [ˈe.ʝa ˈa.βla poɾ teˈle.fo.no] | [ˈe.ʝaˈaβlapoɾteˈlefono]
Spanish::A1::Talking about routines (I) | Nosotros hablamos todos los días. | We talk every day. | [noˈso.tɾos aˈβla.mos ˈto.ðos loz ˈdi.as] | [noˈso.tɾosaˈβlamostoðozloˈzði.ah]
Spanish::A1::Talking about routines (I) | Ellos hablan de política. | They talk about politics. | [ˈe.ʝos ˈa.βlan de poˈli.ti.ka] | [ˈe.ʝosˈaβlandepoˈlitika]
Spanish::A1::Talking about routines (I) | Yo desayuno a las siete. | I have breakfast at seven. | [ˈʝo de.saˈʝu.no a las ˈsje.te] | [ˈʝoðesaˈʝunoalaˈsjete]
Spanish::A1::Talking about routines (I) | Tú desayunas cereal. | You have cereal for breakfast. | [ˈtu de.saˈʝu.nas se.ɾeˈal] | [ˈtuðesaˈʝunahsereˈal]
Spanish::A1::Talking about routines (I) | Él desayuna café y pan. | He has coffee and bread for breakfast. | [ˈel de.saˈʝu.na kaˈfe i pan] | [ˈelðesaˈʝunakaˈfeipan]
Spanish::A1::Talking about routines (I) | Ella desayuna fruta. | She has fruit for breakfast. | [ˈe.ʝa de.saˈʝu.na ˈfɾu.ta] | [ˈe.ʝaðesaˈʝunaˈfɾuta]
Spanish::A1::Talking about routines (I) | Nosotros desayunamos juntos. | We have breakfast together. | [noˈso.tɾos de.sa.ʝuˈna.mos ˈxun.tos] | [noˈso.tɾosðesaʝuˈnamoˈxuntoh]
Spanish::A1::Talking about routines (I) | Ellos desayunan temprano. | They have breakfast early. | [ˈe.ʝos de.saˈʝu.nan temˈpɾa.no] | [ˈe.ʝosðesaˈʝunantemˈpɾano]
Spanish::A1::Talking about routines (I) | Yo cocino la cena. | I cook dinner. | [ˈʝo koˈsi.no la ˈse.na] | [ˈʝokoˈsinolaˈsena]
Spanish::A1::Talking about routines (I) | Tú cocinas muy bien. | You cook very well. | [ˈtu koˈsi.nas ˈmwi ˈβjen] | [ˈtukoˈsinahˈmwiˈβjen]
Spanish::A1::Talking about routines (I) | Nosotros cocinamos pasta. | We cook pasta. | [noˈso.tɾos ko.siˈna.mos ˈpas.ta] | [noˈso.tɾoskosiˈnamoˈpahta]
Spanish::A1::Talking about routines (I) | Ellos cocinan todos los domingos. | They cook every Sunday. | [ˈe.ʝos koˈsi.nan ˈto.ðos loz doˈmiŋ.ɡos] | [ˈe.ʝoskoˈsinantoðozloðoˈmiŋɡoh]
