Japanese::N2::~ものだから / ~もので | 急いでいたものだから、財布を忘れてしまった。 | I was in such a hurry that I forgot my wallet. | [i.so.i.de i.ta mo.no da.ka.ɾa sa.i.ɸɯ o wa.sɯ.ɾe̞.te ɕi.ma.ta] | [i.so̞i.de.ta mo.no da.ka.ɾa sa.i.ɸɯ o wa.sɯɾe̞.tɕaːta]
Japanese::N2::~ものだから / ~もので | まだ経験が浅いもので、至らない点も多いかと思います。 | Since I'm still fairly inexperienced, I imagine there are many shortcomings. | [ma.da ke̞ː.ke̞ɴ ɡa a.sa.i mo.no de i.ta.ɾa.na.i te̞ɴ mo oː.i ka to o.mo.i.ma.sɯ] | [ma.da ke̞ːke̞ŋ ɡa a.saːi mo.no de i.taɾa.naːi teŋ mo oːi ka to o.moː.ma.sɯ]
Japanese::N2::~ものだから / ~もので | 会議が長引いたものだから、次の予定に間に合わなかった。 | Since the meeting ran long, I couldn't make it to my next appointment. | [ka.i.ɡi ɡa na.ɡa.bi.i.ta mo.no da.ka.ɾa tsɯ.ɡi no jo.te̞ː ni ma.ni.a.wa.na.ka.ta] | [ka.i.ɡi ɡa na.ɡa.biːta mo.no da.ka.ɾa tsɯɡi no jo.te̞ː ni ma.ni.a.wa.naːta]
Japanese::N2::~ものだから / ~もので | 目覚まし時計が鳴らなかったものだから、寝坊してしまった。 | Since my alarm clock didn't go off, I overslept. | [me̞.za.ma.ɕi to.ke̞ː ɡa na.ɾa.na.ka.ta mo.no da.ka.ɾa ne̞.boː ɕi.te ɕi.ma.ta] | [me̞.za.maɕtoke̞ː ɡa na.ɾa.naːta mo.no da.ka.ɾa ne̞.boː ɕtɕaːta]
Japanese::N2::~ものだから / ~もので | 慣れない土地だったものだから、道に迷ってしまった。 | Since it was an unfamiliar place, I ended up getting lost. | [na.ɾe̞.na.i to.tɕi da.ta mo.no da.ka.ɾa mi.tɕi ni ma.jo.te ɕi.ma.ta] | [na.ɾe̞.naːi to.tɕi daːta mo.no da.ka.ɾa mi.tɕi ni ma.joʔ.tɕaːta]
Japanese::N2::~ものだから / ~もので | 資料の数が多いもので、確認に時間がかかっております。 | Since there are a large number of documents, the review is taking some time. | [ɕi.ɾjoː no ka.zɯ ɡa oː.i mo.no de ka.kɯ.ɲiɴ ni ʑi.ka.ɴ ɡa ka.ka.te o.ɾi.ma.sɯ] | [ɕiɾjoː no ka.zɯ ɡa oːi mo.no de ka.kɯ.ɲiɴ ni ʑkaŋ ɡa ka.katːe o.ɾma.sɯ]
Japanese::N2::~ものだから / ~もので | あまりにしつこく頼まれたものだから、断り切れなかった。 | I was pestered so insistently that I couldn't bring myself to refuse. | [a.ma.ɾi ni ɕi.tsɯ.ko.kɯ ta.no.ma.ɾe̞.ta mo.no da.ka.ɾa ko.to.wa.ɾi.ki.ɾe̞.na.ka.ta] | [a.ma.ɾini ɕitsɯko̞kɯ ta.no.maɾe̞ta mo.no da.ka.ɾa ko̞to̞waɾiki.ɾe̞.naːta]
Japanese::N2::~ものだから / ~もので | 猫が急に飛び出してきたものだから、びっくりして車を止めた。 | Since the cat suddenly darted out, I was startled and stopped the car. | [ne̞.ko ɡa kʲɯː ni to.bi.da.ɕi.te ki.ta mo.no da.ka.ɾa bi.kːɯ.ɾi ɕi.te kɯ.ɾɯ.ma o to.me̞.ta] | [ne̞ko ɡa kʲɯːni to.bi.daɕte.kita mo.no da.ka.ɾa biʔkɯɾi ɕte kɯɾɯma o to.me̞ta]
Japanese::N2::~ものだから / ~もので | 締め切りが迫っているものだから、休む暇もない。 | Since the deadline is closing in, I don't even have time to rest. | [ɕi.me̞.ki.ɾi ɡa se̞.ma.te i.ɾɯ mo.no da.ka.ɾa ja.sɯ.mɯ çi.ma mo na.i] | [ɕme̞kiɾi ɡa se̞maʔte.ɾɯ mo.no da.ka.ɾa jasɯmɯ çma mo naː]
Japanese::N2::~ものだから / ~もので | 最新の機種が欲しかったものだから、思わず衝動買いしてしまった。 | I wanted the newest model so badly that I ended up impulse-buying it. | [sa.i.ɕiɴ no ki.ɕɯ ɡa ho.ɕi.ka.ta mo.no da.ka.ɾa o.mo.wa.zɯ ɕoː.doː.ɡa.i ɕi.te ɕi.ma.ta] | [sa.iɕiŋ no kiɕɯ ɡa ho̞ɕi.ka.tːa mo.no da.ka.ɾa o.mo.wazɯ ɕoːdoːɡai ɕtɕaːta]
Japanese::N2::~ものだから / ~もので | 会場が狭かったものだから、参加者を絞らざるを得なかった。 | Since the venue was small, we had no choice but to limit the participants. | [ka.i.ʑoː ɡa se̞.ma.ka.ta mo.no da.ka.ɾa sa.n.ka.ɕa o ɕi.bo.ɾa.za.ɾɯ o e̞.na.ka.ta] | [ka.i.ʑoː ɡa se̞ma.katːa mo.no da.ka.ɾa saŋ.kaɕa o ɕi.bo.ɾa.za.ɾɯ o e̞.naːta]
Japanese::N2::~ものだから / ~もので | 携帯電話をなくしたものだから、連絡が取れなかったんです。 | Since I lost my phone, I wasn't able to get in touch with anyone. | [ke̞ː.ta.i de̞ɴ.wa o na.kɯ.ɕi.ta mo.no da.ka.ɾa ɾe̞ɴ.ɾa.kɯ ɡa to.ɾe̞.na.ka.ta n de̞.sɯ] | [ke̞ːtaide̞ɲwa o na.kɯɕta mo.no da.ka.ɾa ɾe̞ɴɾakɯ ɡa to.ɾe̞.naːtan de̞sɯ]
Japanese::N2::~ものだから / ~もので | まだ新人なもので、失礼があればお許しください。 | Since I'm still new here, please forgive me if I'm impolite. | [ma.da ɕi.ɴ.ʑi.ɴ na mo.no de ɕi.tsɯ.ɾe̞ː ɡa a.ɾe̞.ba o jɯ.ɾɯ.ɕi kɯ.da.sa.i] | [ma.da ɕiɲʑim na mo.no de ɕtsɯɾe̞ː ɡa a.ɾe̞ba o jɯɾɯɕi kɯ.dasaː]
Japanese::N2::~ものだから / ~もので | 天気があまりに良かったものだから、予定を変えて出かけた。 | The weather was so nice that I changed my plans and went out. | [te̞ɴ.ki ɡa a.ma.ɾi ni jo.ka.ta mo.no da.ka.ɾa jo.te̞ː o ka.e̞.te de̞.ka.ke̞.ta] | [teŋki ɡa a.maɾini jo̞kaːta mo.no da.ka.ɾa jo.teː o ka.e̞te de̞.ka.ke̞ta]
Japanese::N2::~ものだから / ~もので | 値段が予想以上に高かったものだから、購入をためらった。 | The price was much higher than expected, so I hesitated to buy it. | [ne̞.da.ɴ ɡa jo.soː i.ʑoː ni ta.ka.ka.ta mo.no da.ka.ɾa koː.ɲɯː o ta.me̞.ɾa.ta] | [ne̞.daŋ ɡa jo.soːiʑoːni ta.kaːta mo.no da.ka.ɾa koːɲɯː o ta.me̞.ɾaʔta]
Japanese::N2::~ものだから / ~もので | 資格がまだ取れていないもので、この仕事は担当できません。 | Since I haven't obtained the qualification yet, I can't take charge of this work. | [ɕi.ka.kɯ ɡa ma.da to.ɾe̞.te i.na.i mo.no de ko.no ɕi.ɡo.to wa ta.n.toː de̞.ki.ma.se̞ɴ] | [ɕi.kakɯ ɡa ma.da to.ɾe̞te.naːi mo.no de ko.no ɕiɡo̞to̞ wa taɲ.toː de̞ki.ma.se̞ɴ]
Japanese::N2::~ものだから / ~もので | 子供の頃から野球が好きだったものだから、今も毎週観戦している。 | Since I've loved baseball since childhood, I still watch it every week. | [ko.do.mo no ko.ɾo ka.ɾa ja.kʲɯː ɡa sɯ.ki da.ta mo.no da.ka.ɾa i.ma mo ma.i.ɕɯː ka.ɴ.se̞ɴ ɕi.te i.ɾɯ] | [ko̞do̞mo no ko.ɾo ka.ɾa jakʲɯː ɡa sɯkidaːta mo.no da.ka.ɾa i.mamo ma.iɕɯː kaɲ.se̞ŋ ɕte.ɾɯ]
Japanese::N2::~ものだから / ~もので | 出張が急に決まったものだから、家族に伝える暇もなかった。 | Since the business trip was suddenly decided, I didn't even have time to tell my family. | [ɕɯʔ.tɕoː ɡa kʲɯː ni ki.ma.ta mo.no da.ka.ɾa ka.zo.kɯ ni tsɯ.ta.e̞.ɾɯ çi.ma mo na.ka.ta] | [ɕɯʔtɕoː ɡa kʲɯːni ki.maːta mo.no da.ka.ɾa ka.zo̞kɯ ni tsɯ.tae̞ɾɯ çma mo naːta]
Japanese::N2::~ものだから / ~もので | 声が小さいもので、後ろの席まで届かなかった。 | Since my voice is quiet, it didn't reach the seats at the back. | [ko.e̞ ɡa tɕi.i.sa.i mo.no de ɯ.ɕi.ɾo no se̞.ki ma.de to.do.ka.na.ka.ta] | [ko̞e̞ ɡa tɕiːsai mo.no de ɯɕiɾo̞ no se̞ki made to.do̞.ka.naːta]
Japanese::N2::~ものだから / ~もので | 契約書の文字が細かかったものだから、読み飛ばしてしまった。 | The print in the contract was so small that I ended up skimming past it. | [ke̞ː.ja.kɯ.ɕo no mo.ʑi ɡa ko.ma.ka.ka.ta mo.no da.ka.ɾa jo.mi.to.ba.ɕi.te ɕi.ma.ta] | [ke̞ːjakɯɕo no mo.dʑi ɡa ko̞ma.kakːatːa mo.no da.ka.ɾa jo.mi.to.baɕtɕaːta]
Japanese::N2::~ものだから / ~もので | 職場が変わったばかりなもので、まだ勝手が分かりません。 | Since I just changed workplaces, I still don't know the ropes. | [ɕo.kɯ.ba ɡa ka.wa.ta ba.ka.ɾi na mo.no de ma.da ka.tːe ɡa wa.ka.ɾi.ma.se̞ɴ] | [ɕo̞kɯba ɡa ka.waʔta ba.ka.ɾi na mo.no de ma.da katːe ɡa wa.ka.ɾma.se̞ɴ]
Japanese::N2::~ものだから / ~もので | 味があまりに濃かったものだから、水を何杯も飲んだ。 | The dish was so strongly flavored that I drank several glasses of water. | [a.ʑi ɡa a.ma.ɾi ni ko.ka.ta mo.no da.ka.ɾa mi.zɯ o na.n.ba.i mo no.n da] | [a.dʑi ɡa a.maɾini ko.katːa mo.no da.ka.ɾa mi.zɯ o naɲ.bai mo noɲda]
Japanese::N2::~ものだから / ~もので | まだ状況を把握していないもので、正確なお答えはできかねます。 | Since I haven't yet grasped the full situation, I'm afraid I can't give a precise answer. | [ma.da ʑoː.kjoː o ha.a.kɯ ɕi.te i.na.i mo.no de se̞ː.ka.kɯ na o ko.ta.e̞ wa de̞.ki.ka.ne̞.ma.sɯ] | [ma.da ʑoːkjoː o ha.a.kɯ ɕte.naːi mo.no de se̞ːkakɯ na o.ko.ta.e̞ wa de̞ki.kane̞.ma.sɯ]
Japanese::N2::~ものだから / ~もので | 前の会社を辞めたばかりなもので、まだ次の仕事を探しています。 | Since I just quit my previous company, I'm still looking for my next job. | [ma.e no ka.i.ɕa o ja.me̞.ta ba.ka.ɾi na mo.no de ma.da tsɯ.ɡi no ɕi.ɡo.to o sa.ɡa.ɕi.te i.ma.sɯ] | [ma.e no ka.i.ɕa o ja.me̞ta ba.ka.ɾi na mo.no de ma.da tsɯɡi no ɕiɡo̞to̞ o sa.ɡaɕte.masɯ]
Japanese::N2::~ものだから / ~もので | 荷物があまりに重かったものだから、途中で何度も休んだ。 | The luggage was so heavy that I had to rest several times along the way. | [ni.mo.tsɯ ɡa a.ma.ɾi ni o.mo.ka.ta mo.no da.ka.ɾa to.tɕɯː de na.n do mo ja.sɯ.n da] | [ni.mo̞tsɯ ɡa a.maɾini o.mo̞katːa mo.no da.ka.ɾa toʔtɕɯːde naɲdo mo ja.sɯɲda]
Japanese::N2::~ものだから / ~もので | 予定が急に変更になったものだから、対応に追われた。 | Since the schedule was suddenly changed, we were kept scrambling to respond. | [jo.te̞ː ɡa kʲɯː ni he̞ɴ.koː ni na.ta mo.no da.ka.ɾa ta.i.oː ni o.wa.ɾe̞.ta] | [jo.teː ɡa kʲɯːni he̞ŋkoː ni naʔta mo.no da.ka.ɾa ta.ioː ni o.waɾe̞ta]
Japanese::N2::~ものだから / ~もので | あの人はいつも冗談ばかり言うものだから、信じてもらえないことが多い。 | Since that person is always joking, people often don't believe him. | [a.no çi.to wa i.tsɯ.mo ʑoː.da.n ba.ka.ɾi ju.ɯ mo.no da.ka.ɾa ɕi.n ʑi.te mo.ɾa.e̞.na.i ko.to ɡa oː.i] | [a.no çito wa i.tsɯmo ʑoːdam bakaɾi juː mo.no da.ka.ɾa ɕin dʑte moɾa.e̞.naːko̞to̞ ɡa oːi]
Japanese::N2::~ものだから / ~もので | 停電が起きたものだから、作業を中断せざるを得なかった。 | Since a blackout occurred, we had no choice but to suspend the work. | [te̞ː.de̞ɴ ɡa o.ki.ta mo.no da.ka.ɾa sa.ɡjoː o tɕɯː.da.ɴ se̞.za.ɾɯ o e̞.na.ka.ta] | [teːde̞ŋ ɡa o.kita mo.no da.ka.ɾa saɡjoː o tɕɯːdaɴ se̞za.ɾɯ o e̞.naːta]
