Japanese::N2::~次第 | 資料が届き次第、ご連絡いたします。 | I will contact you as soon as the documents arrive. | [ɕi.ɾjoː ɡa to.do.ki ɕi.da.i ɡo.ɾe.ɲ.ɾa.kɯ i.ta.ɕi.ma.sɯ] | [ɕi.ɾjoː to.do.ki̥ ɕi.da.i ɡo.ɾe.ɲ.ɾa.kɯ i.ta.ɕi.ma.sɯ]
Japanese::N2::~次第 | 考え方次第で、人生は大きく変わる。 | Life can change greatly depending on your way of thinking. | [ka.ɲ.ɡa.e.ka.ta ɕi.da.i de dʑi.ɲ.seː wa oː.ki.kɯ ka.wa.ɾɯ] | [ka.ɲ.ɡa.e.ka.ta ɕi.da.i de dʑi.ɲ.seː oː.kʲi.kɯ ka.wa.ɾɯ]
Japanese::N2::~次第 | 雨がやみ次第、試合を再開します。 | We will resume the match as soon as the rain stops. | [a.me ɡa ja.mi ɕi.da.i ɕi.a.i o sa.i.ka.i ɕi.ma.sɯ] | [a.me ja.mi̥ ɕi.da.i ɕi.a.i sa.i.ka.i ɕi.ma.sɯ]
Japanese::N2::~次第 | 面接の結果次第で、次の対応が決まる。 | What happens next depends on the interview results. | [me.ɲ.se.t͡sɯ no ke.ka ɕi.da.i de t͡sɯ.ɡi no ta.i.oː ɡa ki.ma.ɾɯ] | [me.ɲ.se.t͡sɯ no ke.ka ɕi.da.i de t͡sɯ.ɡi no ta.i.oː kʲi.ma.ɾɯ]
Japanese::N2::~次第 | 原稿ができ次第、編集部に送ってください。 | Please send the manuscript to the editorial department as soon as it's done. | [ɡe.ɲ.koː ɡa de.ki ɕi.da.i he.ɲ.ɕɯː.bɯ ni o.kɯ.tːe kɯ.da.sa.i] | [ɡe.ɲ.koː de.kʲi ɕi.da.i he.ɲ.ɕɯː.bɯ ni o.kɯ.tːe kɯ.da.sa.i]
Japanese::N2::~次第 | この計画がうまくいくかは、資金次第だ。 | Whether this plan works out depends on the funding. | [ko.no keː.ka.kɯ ɡa ɯ.ma.kɯ i.kɯ ka wa ɕi.ki.ɲ ɕi.da.i da] | [ko.no keː.ka.kɯ ɯ.ma.kɯ i.kɯ ka ɕi.ki.ɲ ɕi.da.i da]
Japanese::N2::~次第 | 新しい情報が入り次第、更新いたします。 | We will update it as soon as new information comes in. | [a.ta.ɾa.ɕiː dʑoː.hoː ɡa ha.i.ri ɕi.da.i koː.ɕi.ɲ i.ta.ɕi.ma.sɯ] | [a.ta.ɾa.ɕiː dʑoː.hoː ha.i.ri ɕi.da.i koː.ɕi.ɲ i.ta.ɕi.ma.sɯ]
Japanese::N2::~次第 | 気分次第で、行き先を変えることもある。 | Depending on my mood, I sometimes change my destination. | [ki.bɯ.ɲ ɕi.da.i de i.ki.sa.ki o ka.e.ɾɯ ko.to mo a.ɾɯ] | [kʲi.bɯ.ɲ ɕi.da.i de i.kʲi.sa.ki ka.e.ɾɯ ko.to mo a.ɾɯ]
Japanese::N2::~次第 | サインが集まり次第、要望書を提出します。 | We'll submit the petition as soon as we've collected the signatures. | [sa.i.ɲ ɡa a.t͡sɯ.ma.ɾi ɕi.da.i joː.boː.ɕo o te.i.ɕɯ.t͡sɯ ɕi.ma.sɯ] | [sa.i.ɲ a.t͡sɯ.ma.ɾi ɕi.da.i joː.boː.ɕo te.i.ɕɯ.t͡sɯ.ɕi.ma.sɯ]
Japanese::N2::~次第 | 予算次第では、計画を縮小する必要がある。 | Depending on the budget, we may need to scale back the plan. | [jo.sa.ɲ ɕi.da.i de.wa keː.ka.kɯ o ɕɯ.kɯ.ɕoː sɯ.ɾɯ çi.t͡sɯ.joː ɡa a.ɾɯ] | [jo.sa.ɲ ɕi.da.i de.wa keː.ka.kɯ ɕɯ.kɯ.ɕoː sɯ.ɾɯ çi.t͡sɯ.joː a.ɾɯ]
Japanese::N2::~次第 | 手が空き次第、そちらに伺います。 | I'll come over as soon as I have a free moment. | [te ɡa a.ki ɕi.da.i so.tɕi.ɾa ni ɯ.ka.ɡa.i.ma.sɯ] | [te a.kʲi ɕi.da.i so.tɕi.ɾa ɯ.ka.ɡa.i.ma.sɯ]
Japanese::N2::~次第 | 相手の出方次第で、こちらの対応も変える。 | We'll adjust our response depending on how the other side acts. | [a.i.te no de.ka.ta ɕi.da.i de ko.tɕi.ɾa no ta.i.oː mo ka.e.ɾɯ] | [a.i.te no de.ka.ta ɕi.da.i de ko.tɕi.ɾa no ta.i.oː mo ka.e.ɾɯ]
Japanese::N2::~次第 | 修理が終わり次第、お渡しします。 | We will hand it over as soon as the repair is finished. | [ɕɯː.ɾi ɡa o.wa.ɾi ɕi.da.i o.wa.ta.ɕi ɕi.ma.sɯ] | [ɕɯː.ɾi o.wa.ɾi ɕi.da.i o.wa.ta.ɕi̥.ɕi.ma.sɯ]
Japanese::N2::~次第 | 契約が成立するかは交渉次第だ。 | Whether the contract goes through depends on the negotiations. | [keː.ja.kɯ ɡa seː.ɾi.t͡sɯ sɯ.ɾɯ ka wa koː.ɕoː ɕi.da.i da] | [keː.ja.kɯ seː.ɾi.t͡sɯ sɯ.ɾɯ ka koː.ɕoː ɕi.da.i da]
Japanese::N2::~次第 | 許可が下り次第、工事を始める予定だ。 | We plan to start construction as soon as the permit is granted. | [kʲo.ka ɡa o.ɾi ɕi.da.i koː.dʑi o ha.dʑi.me.ɾɯ jo.te.i da] | [kʲo.ka o.ɾi ɕi.da.i koː.dʑi ha.dʑi.me.ɾɯ jo.te.i da]
Japanese::N2::~次第 | このプロジェクトの成否は、チームワーク次第だ。 | The success or failure of this project depends on teamwork. | [ko.no pɯ.ɾo.dʑe.kɯ.to no seː.çi wa tʲiː.mɯ.waː.kɯ ɕi.da.i da] | [ko.no pɯ.ɾo.dʑe.kɯ.to no seː.çi tʲiː.mɯ.waː.kɯ ɕi.da.i da]
Japanese::N2::~次第 | 荷物が届き次第、開封いたします。 | We will open the package as soon as it arrives. | [ɲi.mo.t͡sɯ ɡa to.do.ki ɕi.da.i ka.i.fɯː i.ta.ɕi.ma.sɯ] | [ɲi.mo.t͡sɯ to.do.ki̥ ɕi.da.i ka.i.fɯː.i.ta.ɕi.ma.sɯ]
Japanese::N2::~次第 | やり方次第では、もっと早く終わったはずだ。 | Depending on the method, it should have finished sooner. | [ja.ɾi.ka.ta ɕi.da.i de.wa mo.tːo ha.ja.kɯ o.wa.tːa ha.zɯ da] | [ja.ɾi.ka.ta ɕi.da.i de.wa mo.tːo ha.ja.kɯ o.wa.tːa ha.zɯ da]
Japanese::N2::~次第 | 決まり次第、皆さんにお伝えします。 | I'll let everyone know as soon as it's decided. | [ki.ma.ɾi ɕi.da.i mi.na.sa.ɲ ni o.t.sɯ.ta.e ɕi.ma.sɯ] | [kʲi.ma.ɾi ɕi.da.i mi.na.sa.ɲ ni o.t͡sɯ.ta.e ɕi.ma.sɯ]
Japanese::N2::~次第 | 医師の判断次第で、退院の日が早まることもある。 | Depending on the doctor's judgment, the discharge date might be moved up. | [i.ɕi no ha.ɲ.da.ɲ ɕi.da.i de ta.i.i.ɲ no çi ɡa ha.ja.ma.ɾɯ ko.to mo a.ɾɯ] | [i.ɕi no ha.ɲ.da.ɲ ɕi.da.i de ta.i.i.ɲ no çi ha.ja.ma.ɾɯ ko.to mo a.ɾɯ]
Japanese::N2::~次第 | 都合がつき次第、また連絡させていただきます。 | I'll contact you again as soon as it's convenient. | [t͡sɯ.ɡoː ɡa t͡sɯ.ki ɕi.da.i ma.ta ɾe.ɲ.ɾa.kɯ sa.se.te i.ta.da.ki.ma.sɯ] | [t͡sɯ.ɡoː t͡sɯ.kʲi ɕi.da.i ma.ta ɾe.ɲ.ɾa.kɯ sa.se.te i.ta.da.kʲi.ma.sɯ]
Japanese::N2::~次第 | 材料が揃い次第、調理に取りかかります。 | I'll start cooking as soon as the ingredients are all ready. | [za.i.rjoː ɡa so.ɾo.i ɕi.da.i tɕoː.ɾi ni to.ɾi.ka.ka.ɾi.ma.sɯ] | [za.i.rjoː so.ɾo.i ɕi.da.i tɕoː.ɾi ni to.ɾi.ka.ka.ɾi.ma.sɯ]
Japanese::N2::~次第 | この提案が通るかどうかは委員会次第だ。 | Whether this proposal is approved depends on the committee. | [ko.no te.i.a.ɲ ɡa toː.ɾɯ ka doː.ka wa i.i.ɲ.ka.i ɕi.da.i da] | [ko.no te.i.a.ɲ toː.ɾɯ ka doː.ka i.i.ɲ.ka.i ɕi.da.i da]
Japanese::N2::~次第 | 体調が回復し次第、仕事に復帰します。 | I will return to work as soon as I've recovered. | [ta.i.tɕoː ɡa ka.i.fɯ.kɯ ɕi ɕi.da.i ɕi.ɡo.to ni fɯ.kːi ɕi.ma.sɯ] | [ta.i.tɕoː ka.i.fɯ.kɯ ɕi̥.ɕi.da.i ɕi.ɡo.to ni fɯ.kːi̥.ɕi.ma.sɯ]
