Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 経済成長率の鈍化が懸念されている。 | There is concern over the slowdown in the economic growth rate. | [ke.i.za.i se.i.tɕoː.ɾi.tsɯ no doɴ.ka ɡa keɴ.neɴ sa.ɾe.te i.ɾɯ] | [keː.za.i seː.tɕoː.ɾi.tsɯ no doɴ.ka ɡa keɴ.neɴ sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 技術革新は産業構造を根本的に変えつつある。 | Technological innovation is fundamentally changing the industrial structure. | [ɡi.dʑɯ.tsɯ ka.kɯ.ɕiɴ wa saɴ.ɡjoː koː.zoː o koɴ.poɴ.te.ki ni ka.e.tsɯ.tsɯ a.ɾɯ] | [ɡi.dʑɯ.tsɯ ka.kɯ.ɕiɴ wa saɴ.ɡjoː koː.zoː o koɴ.poɴ.teki ni ka.e.tːsɯ ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 教育格差の拡大が社会問題化している。 | The widening of educational disparity has become a social problem. | [kjoː.i.kɯ ka.kɯ.sa no ka.kɯ.da.i ɡa ɕa.ka.i moɴ.da.i.ka ɕi.te i.ɾɯ] | [kjoː.i.kɯ ka.kɯ.sa no ka.kɯ.da.i ɡa ɕa.ka.i moɴ.da.i.ka ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 企業間の競争激化が価格低下を招いている。 | Intensifying competition among companies is leading to price declines. | [ki.ɡjoː.kaɴ no kjoː.soː ɡe.ki.ka ɡa ka.ka.kɯ te.i.ka o ma.ne.i.te i.ɾɯ] | [ki.ɡjoː.kaɴ no kjoː.soː ɡeki.ka ɡa ka.ka.kɯ teː.ka o ma.ne.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 都市部への人口集中が過疎化を加速させている。 | The concentration of population in urban areas is accelerating depopulation elsewhere. | [to.ɕi.bɯ e no dʑiɴ.koː ɕɯː.tɕɯː ɡa ka.so.ka o ka.so.kɯ sa.se.te i.ɾɯ] | [to.ɕi.bɯ e no dʑiɴ.koː ɕɯː.tɕɯː ɡa ka.so.ka o ka.so.kɯ sa.se.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 社会保障制度の持続可能性が問われている。 | The sustainability of the social security system is being questioned. | [ɕa.ka.i ho.ɕoː se.i.do no dʑi.zo.kɯ ka.noː.se.i ɡa to.wa.ɾe.te i.ɾɯ] | [ɕa.ka.i ho.ɕoː seː.do no dʑi.zo.kɯ ka.noː.seː ɡa to.wa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 国内需要の低迷が景気回復を妨げている。 | Sluggish domestic demand is hindering economic recovery. | [ko.kɯ.na.i dʑɯ.joː no te.i.me.i ɡa ke.i.ki ka.i.ɸɯ.kɯ o sa.ma.ta.ɡe.te i.ɾɯ] | [ko.kɯ.na.i dʑɯ.joː no teː.meː ɡa keː.ki ka.i.ɸɯ.kɯ o sa.ma.ta.ɡe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 政治不信が投票率の低下を招いている。 | Political distrust is causing a decline in voter turnout. | [se.i.dʑi ɸɯ.ɕiɴ ɡa toː.hjoː.ɾi.tsɯ no te.i.ka o ma.ne.i.te i.ɾɯ] | [seː.dʑi ɸɯ.ɕiɴ ɡa toː.çjoː.ɾi.tsɯ no teː.ka o ma.ne.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 資源の枯渇が長期的な課題として認識されている。 | Resource depletion is recognized as a long-term issue. | [ɕi.ɡeɴ no ko.ka.tsɯ ɡa tɕoː.ki.te.ki na ka.da.i to ɕi.te niɴ.ɕi.ki sa.ɾe.te i.ɾɯ] | [ɕi.ɡeɴ no ko.ka.tsɯ ɡa tɕoː.ki.teki na ka.da.i to ɕte niɴ.ɕki sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 企業の社会的責任がますます重視されている。 | Corporate social responsibility is increasingly emphasized. | [ki.ɡjoː no ɕa.ka.i.te.ki se.ki.niɴ ɡa ma.sɯ.ma.sɯ dʑɯː.ɕi sa.ɾe.te i.ɾɯ] | [ki.ɡjoː no ɕa.ka.i.teki seki.niɴ ɡa ma.sɯ.ma.sɯ dʑɯː.ɕi sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 世代間の価値観の相違が議論を呼んでいる。 | Differences in values between generations are sparking debate. | [se.da.i.kaɴ no ka.tɕi.kaɴ no soː.i ɡa ɡi.roɴ o joɴ.de i.ɾɯ] | [se.da.i.kaɴ no ka.tɕi.kaɴ no soː.i ɡa ɡi.ɾoɴ o joɴ.de ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 制度改革の遅延が国民の不満を高めている。 | Delays in institutional reform are increasing public dissatisfaction. | [se.i.do ka.i.ka.kɯ no tɕi.eɴ ɡa ko.kɯ.miɴ no ɸɯ.maɴ o ta.ka.me.te i.ɾɯ] | [seː.do ka.i.ka.kɯ no tɕeɴ ɡa ko.kɯ.miɴ no ɸɯ.maɴ o ta.ka.me.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 産業構造の転換が雇用形態にも影響している。 | The transformation of the industrial structure is also affecting employment patterns. | [saɴ.ɡjoː koː.zoː no teɴ.kaɴ ɡa ko.joː ke.i.ta.i ni mo e.i.kjoː ɕi.te i.ɾɯ] | [saɴ.ɡjoː koː.zoː no teɴ.kaɴ ɡa ko.joː keː.ta.i ni mo eː.kjoː ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 情報化社会において個人情報の保護は不可欠である。 | Protecting personal information is indispensable in an information society. | [dʑoː.hoː.ka ɕa.ka.i ni o.i.te ko.dʑiɴ dʑoː.hoː no ho.ɡo wa ɸɯ.ka.ke.tsɯ de a.ɾɯ] | [dʑoː.hoː.ka ɕa.ka.i ni o.te ko.dʑiɴ dʑoː.hoː no ho.ɡo wa ɸɯ.ka.ke.tsɯ de a.ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 経営陣は事業再編の必要性を訴えた。 | Management appealed for the necessity of business restructuring. | [ke.i.e.i.dʑiɴ wa dʑi.ɡjoː sa.i.heɴ no hi.tsɯ.joː.se.i o ɯ.tta.e.ta] | [keː.eː.dʑiɴ wa dʑi.ɡjoː sa.i.heɴ no çi.tsɯ.joː.seː o ɯ.tːa.e.ta]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 官僚機構の硬直性が改革の障害となっている。 | The rigidity of the bureaucratic structure is an obstacle to reform. | [kaɴ.rjoː ki.koː no koː.tɕo.kɯ.se.i ɡa ka.i.ka.kɯ no ɕoː.ɡa.i to na.tte i.ɾɯ] | [kaɴ.ɾjoː ki.koː no koː.tɕo.kɯ.seː ɡa ka.i.ka.kɯ no ɕoː.ɡa.i to na.tːe ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 貧困問題の解決には国際協力が欠かせない。 | International cooperation is indispensable to solving the poverty problem. | [hiɴ.koɴ moɴ.da.i no ka.i.ke.tsɯ ni wa ko.kɯ.sa.i kjoː.rjo.kɯ ɡa ka.ka.se.na.i] | [çiɴ.koɴ moɴ.da.i no ka.i.ke.tsɯ ni wa ko.kɯ.sa.i kjoː.ɾjo.kɯ ɡa ka.ka.se.na.i]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 消費行動の変化が小売業界に打撃を与えている。 | Changes in consumer behavior are dealing a blow to the retail industry. | [ɕoː.hi koː.doː no heɴ.ka ɡa ko.ɯ.ɾi ɡjoː.ka.i ni da.ɡe.ki o a.ta.e.te i.ɾɯ] | [ɕoː.çi koː.doː no heɴ.ka ɡa ko.ɯ.ɾi ɡjoː.ka.i ni da.ɡe.ki o a.ta.e.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 気候変動対策としての再生可能エネルギー導入が進む。 | The introduction of renewable energy as a climate change countermeasure is progressing. | [ki.koː heɴ.doː ta.i.sa.kɯ to ɕi.te no sa.i.se.i ka.noː e.ne.rɯ.ɡiː doː.njɯː ɡa sɯ.sɯ.mɯ] | [ki.koː heɴ.doː ta.i.sa.kɯ to ɕte no sa.i.seː ka.noː e.ne.ɾɯ.ɡiː doː.njɯː ɡa sɯ.sɯ.mɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 財政赤字の膨張が将来世代への負担となる。 | The expansion of the fiscal deficit becomes a burden on future generations. | [za.i.se.i a.ka.dʑi no boː.tɕoː ɡa ɕoː.ɾa.i se.da.i e no ɸɯ.taɴ to na.ɾɯ] | [za.i.seː a.ka.dʑi no boː.tɕoː ɡa ɕoː.ɾa.i se.da.i e no ɸɯ.taɴ to na.ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 企業合併により市場競争は一段と激化した。 | Due to the corporate merger, market competition intensified further. | [ki.ɡjoː ɡa.ppe.i ni jo.ɾi ɕi.dʑoː kjoː.soː wa i.tɕi.daɴ to ɡe.ki.ka ɕi.ta] | [ki.ɡjoː ɡa.ppeː ni jo.ɾi ɕi.dʑoː kjoː.soː wa i.tɕi.daɴ to ɡeki.ka ɕta]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 国民の健康意識の高まりが医療費削減に寄与している。 | The rising health awareness of the public contributes to reducing medical costs. | [ko.kɯ.miɴ no keɴ.koː i.ɕi.ki no ta.ka.ma.ɾi ɡa i.ɾjoː.çi sa.kɯ.ɡeɴ ni ki.jo ɕi.te i.ɾɯ] | [ko.kɯ.miɴ no keɴ.koː i.ɕki no ta.ka.ma.ɾi ɡa i.ɾjoː.çi sa.kɯ.ɡeɴ ni ki.jo ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 官民連携によるインフラ整備が期待されている。 | Infrastructure development through public-private partnership is expected. | [kaɴ.miɴ reɴ.ke.i ni jo.ɾɯ iɴ.ɸɯ.ɾa se.i.bi ɡa ki.ta.i sa.ɾe.te i.ɾɯ] | [kaɴ.miɴ ɾeɴ.keː ni jo.ɾɯ iɴ.ɸɯ.ɾa seː.bi ɡa ki.ta.i sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 世論調査の結果は政策変更の必要性を示している。 | The results of the public opinion poll indicate the need for policy change. | [se.ɾoɴ tɕoː.sa no ke.kka wa se.i.sa.kɯ heɴ.koː no hi.tsɯ.joː.se.i o ɕi.me.ɕi.te i.ɾɯ] | [se.ɾoɴ tɕoː.sa no ke.kːa wa seː.sa.kɯ heɴ.koː no çi.tsɯ.joː.seː o ɕi.me.ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 国境を越えた犯罪組織の摘発が強化されている。 | The crackdown on cross-border criminal organizations is being strengthened. | [ko.kkjoː o ko.e.ta haɴ.za.i so.ɕi.ki no te.ki.ha.tsɯ ɡa kjoː.ka sa.ɾe.te i.ɾɯ] | [ko.kːjoː o ko.e.ta haɴ.za.i so.ɕi.ki no te.ki.ha.tsɯ ɡa kjoː.ka sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 人材不足が中小企業の経営を圧迫している。 | The labor shortage is putting pressure on the management of small and medium-sized enterprises. | [dʑiɴ.za.i ɸɯ.so.kɯ ɡa tɕɯː.ɕoː ki.ɡjoː no ke.i.e.i o a.ppa.kɯ ɕi.te i.ɾɯ] | [dʑiɴ.za.i ɸɯ.so.kɯ ɡa tɕɯː.ɕoː ki.ɡjoː no keː.eː o a.ppa.kɯ ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 規制緩和が新規参入を促進すると見られている。 | Deregulation is seen as promoting new market entry. | [ki.se.i kaɴ.wa ɡa ɕiɴ.ki saɴ.njɯː o so.kɯ.ɕiɴ sɯ.ɾɯ to mi.ɾa.ɾe.te i.ɾɯ] | [ki.seː kaɴ.wa ɡa ɕiɴ.ki saɴ.njɯː o so.kɯ.ɕiɴ sɯ.ɾɯ to mi.ɾa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 都市計画の見直しが交通渋滞の緩和につながる。 | A review of urban planning leads to the alleviation of traffic congestion. | [to.ɕi ke.i.ka.kɯ no mi.na.o.ɕi ɡa koː.tsɯː dʑɯː.ta.i no kaɴ.wa ni tsɯ.na.ɡa.ɾɯ] | [to.ɕi keː.ka.kɯ no mi.na.o.ɕi ɡa koː.tsɯː dʑɯː.ta.i no kaɴ.wa ni tsɯ.na.ɡa.ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 賃金格差の是正が労使交渉の焦点となった。 | Correcting wage disparities became the focus of labor-management negotiations. | [tɕiɴ.giɴ ka.kɯ.sa no ze.se.i ɡa roː.ɕi koː.ɕoː no ɕoː.teɴ to na.tta] | [tɕiɴ.ɡiɴ ka.kɯ.sa no ze.seː ɡa ɾoː.ɕi koː.ɕoː no ɕoː.teɴ to na.tːa]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 国家安全保障の観点から法改正が議論されている。 | Legal reform is being discussed from the perspective of national security. | [ko.kka aɴ.ze.ɴ ho.ɕoː no kaɴ.teɴ ka.ɾa hoː ka.i.se.i ɡa ɡi.roɴ sa.ɾe.te i.ɾɯ] | [ko.kːa aɴ.zeɴ ho.ɕoː no kaɴ.teɴ ka.ɾa hoː ka.i.seː ɡa ɡi.ɾoɴ sa.ɾe.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 企業の内部統制強化が不正防止に役立つ。 | Strengthening internal corporate controls is useful in preventing fraud. | [ki.ɡjoː no na.i.bɯ toː.se.i kjoː.ka ɡa ɸɯ.se.i boː.ɕi ni ja.kɯ.da.tsɯ] | [ki.ɡjoː no na.i.bɯ toː.seː kjoː.ka ɡa ɸɯ.seː boː.ɕi ni ja.kɯ.da.tsɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 人口減少が地方自治体の財政を圧迫している。 | Population decline is putting pressure on local government finances. | [dʑiɴ.koː ɡeɴ.ɕoː ɡa tɕi.hoː dʑi.tɕi.ta.i no za.i.se.i o a.ppa.kɯ ɕi.te i.ɾɯ] | [dʑiɴ.koː ɡeɴ.ɕoː ɡa tɕi.hoː dʑi.tɕi.ta.i no za.i.seː o a.ppa.kɯ ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 国際貢献の一環として人道支援が行われた。 | Humanitarian aid was carried out as part of international contribution. | [ko.kɯ.sa.i koː.keɴ no i.kkaɴ to ɕi.te dʑiɴ.doː ɕi.eɴ ɡa o.ko.na.wa.ɾe.ta] | [ko.kɯ.sa.i koː.keɴ no i.kːaɴ to ɕte dʑiɴ.doː ɕeɴ ɡa o.ko.na.wa.ɾe.ta]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 産学連携の推進が技術革新を後押ししている。 | The promotion of industry-academia collaboration is boosting technological innovation. | [saɴ.ɡa.kɯ reɴ.ke.i no sɯ.i.ɕiɴ ɡa ɡi.dʑɯ.tsɯ ka.kɯ.ɕiɴ o a.to.o.ɕi ɕi.te i.ɾɯ] | [saɴ.ɡa.kɯ ɾeɴ.keː no sɯ.i.ɕiɴ ɡa ɡi.dʑɯ.tsɯ ka.kɯ.ɕiɴ o a.to.o.ɕte ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 金融緩和政策の効果が徐々に現れ始めている。 | The effects of the monetary easing policy are gradually beginning to appear. | [kiɴ.jɯː kaɴ.wa se.i.sa.kɯ no koː.ka ɡa dʑo.dʑo ni a.ra.wa.ɾe ha.dʑi.me.te i.ɾɯ] | [kiɴ.jɯː kaɴ.wa seː.sa.kɯ no koː.ka ɡa dʑo.dʑo ni a.ɾa.wa.ɾe ha.dʑme.te ɾɯ]
Japanese::N2::Compound Kango (Sino-Japanese) Constructions | 地方分権の推進が中央集権体制の見直しを迫っている。 | The promotion of decentralization is forcing a review of the centralized system. | [tɕi.hoː bɯɴ.keɴ no sɯ.i.ɕiɴ ɡa tɕɯː.oː ɕɯː.keɴ ta.i.se.i no mi.na.o.ɕi o se.ma.tte i.ɾɯ] | [tɕi.hoː bɯɴ.keɴ no sɯ.i.ɕiɴ ɡa tɕɯː.oː ɕɯː.keɴ ta.i.seː no mi.na.o.ɕo se.ma.tːe ɾɯ]
