Japanese::N2::Mixed Review & Integration | 彼は忙しいにもかかわらず、必ず毎朝メールをチェックする。 | Despite being busy, he always checks his email every morning. | [ka.ɾe wa i.so.ga.ɕi.i ni mo ka.ka.wa.ɾa.zɯ ka.na.ɾa.zɯ ma.i.a.sa me.e.ɾɯ o tʃe.kkɯ sɯ.ɾɯ] | [ka.ɾe̞ wa i.so.ɡa.ɕiː ni mo ka.ka.wa.ɾa.zɯ ka̠.na.ɾa.zɯ ma.i.a.sa me̞ː.ɾɯ o tɕe̞k.kɯ sɯ.ɾɯ]
Japanese::N2::Mixed Review & Integration | ちょっと油断したばかりに、大きなミスをしてしまった。 | Solely because I let my guard down for a moment, I made a big mistake. | [tʃo.tto jɯ.dan ɕi.ta ba.ka.ɾʲi ni oː.kʲi.na mʲi.sɯ o ɕi.te ɕi.mat.ta] | [tɕo̞t.to jɯ.dan ɕta ba.ka.ɾʲi ni oː.kʲi.na mʲi.sɯ o ɕte̞ ɕi.mat.ta]
Japanese::N2::Mixed Review & Integration | あまりの驚きに、しばらく声が出なかった。 | Due to my excessive surprise, I couldn't speak for a while. | [a.ma.ɾʲi no o.do.ɾo.kʲi ni ɕi.ba.ɾa.kɯ ko.ɛ ɡa de.na.kat.ta] | [a.ma.ɾʲi no o.do.ɾo.kʲi ni ɕi.ba.ɾa.kɯ ko.ɛ ɡa de̞.na̠k.katta]
Japanese::N2::Mixed Review & Integration | 私の経験からいうと、早めに準備した方がいい。 | Speaking from my own experience, it's better to prepare early. | [wa.ta.ɕi no ke.i.ke̞n ka.ɾa i.ɯ to ha.ja.me ni dʑɯm.bʲi ɕi.ta hoː ɡa i.i] | [wa.ta̠.ɕi no ke̞ː.ke̞n ka.ɾa iɯ to ha.ja.me̞ ni dʑɯm.bʲi ɕi.ta hoː ɡa iː]
Japanese::N2::Mixed Review & Integration | この服装からして、彼は面接に真剣だとわかる。 | Judging just from his attire, one can tell he's serious about the interview. | [ko.no ɸɯ.kɯ.soː ka.ɾa ɕi.te ka.ɾe wa me̞n.se̞tsɯ ni ɕin.ke̞n da to wa.ka.ɾɯ] | [ko.no ɸɯ.kɯ.soː ka.ɾa ɕte̞ ka.ɾe wa me̞n.se̞.tsɯ ni ɕiŋ.ke̞n da̠ to wa.ka.ɾɯ]
Japanese::N2::Mixed Review & Integration | これは単なる偶然にほかならない。 | This is nothing other than sheer coincidence. | [ko.ɾe wa tan.na.ɾɯ ɡɯː.ze̞n ni ho.ka.na.ɾa.na.i] | [ko.ɾe̞ wa tan.na.ɾɯ ɡɯː.ze̞n ni ho.ka.na.ɾa.na̠i]
Japanese::N2::Mixed Review & Integration | 彼が犯人であることは、証拠から見て相違ないだろう。 | Judging from the evidence, there's no doubt he's the culprit. | [ka.ɾe ɡa han.nʲin de a.ɾɯ ko.to wa ɕoː.ko ka.ɾa mʲi.te soː.i na.i da.ɾoː] | [ka.ɾe ɡa han.nʲiŋ de̞ a.ɾɯ ko.to wa ɕoː.ko̞ ka.ɾa mʲite̞ soː.i na̠i da.ɾoː]
Japanese::N2::Mixed Review & Integration | 台風のため、出張を延期せざるを得なかった。 | Due to the typhoon, we had no choice but to postpone the business trip. | [ta.i.ɸɯː no ta.me ɕɯ.tʃoː o e.n.kʲi se.za.ɾɯ o e.na.kat.ta] | [ta.i.ɸɯː no ta.me̞ ɕɯ.tɕoː o e̞ŋ.kʲi se̞.za̠.ɾɯ e̞.na̠k.katta]
Japanese::N2::Mixed Review & Integration | あの惨状を見ては、同情を禁じ得ない。 | Seeing that miserable state, one cannot help but feel sympathy. | [a.no san.dʑoː o mʲi.te wa doː.dʑoː o kʲin.dʑi e.na.i] | [a.no san.dʑoː o mʲi.te̞ wa doː.dʑoː o kʲin.dʑi e̞.na̠i]
Japanese::N2::Mixed Review & Integration | 彼のユーモアには、笑わずにはいられない。 | I cannot help but laugh at his humor. | [ka.ɾe no jɯː.mo.a ni.wa wa.ɾa.wa.zɯ ni.wa i.ɾa.ɾe.na.i] | [ka.ɾe̞ no jɯː.mo.a ni.wa wa.ɾa.wa.zɯ ni.wa i.ɾa.ɾe̞.na̠i]
Japanese::N2::Mixed Review & Integration | 平和を願ってやまない。 | I wish endlessly for peace. | [he.i.wa o ne.ɡat.te ja.ma.na.i] | [he̞ː.wa o ne̞.ɡatte̞ ja.ma.na̠i]
Japanese::N2::Mixed Review & Integration | 拝啓、時下ますますご清栄のこととお慶び申し上げます。 | Dear Sir/Madam, I hope this letter finds you in the best of health and prosperity. | [ha.i.ke.i dʑi.ka ma.sɯ.ma.sɯ go.se.i.e.i no ko.to to o.ko.to.bʲi moː.ɕi.a.ge.ma.sɯ] | [ha.i.ke̞ː dʑi.ka ma.sɯ.ma.sɯ ɡo.se̞ː.e̞ː no ko.to to o.ko.to.bʲi moː.ɕi.a.ɡe̞.ma̠.sɯ]
Japanese::N2::Mixed Review & Integration | 恐れ入りますが、ただいま担当者が席を外しております。 | I'm terribly sorry, but the person in charge is away from their desk right now. | [o.so.ɾe.i.ɾʲi.ma.sɯ ɡa ta.da.i.ma tan.toː.ɕa ɡa se.kʲi o ha.zɯ.ɕi.te o.ɾʲi.ma.sɯ] | [o.so.ɾe̞.i.ɾʲi.ma.sɯ ɡa ta.da.ima tan.toː.ɕa ɡa se̞.kʲi o ha.zɯ.ɕte o.ɾʲi.ma̠.sɯ]
Japanese::N2::Mixed Review & Integration | 好奇心さえあれば、どんな分野でも学び続けられる。 | As long as you have curiosity, you can keep learning in any field. | [koː.kʲi.ɕin sa.e a.ɾe.ba don.na bɯn.ja de mo ma.na.bʲi.tsɯ.zɯ.ke.ɾa.ɾe.ɾɯ] | [koː.kʲi.ɕin sa.e a̠.ɾe̞.ba don.na bɯɰ̃.ja de̞ mo ma.na.bʲi.tsɯ.zɯ.ke̞.ɾa.ɾe̞.ɾɯ]
Japanese::N2::Mixed Review & Integration | 彼は周囲の忠告もかまわず、無理なスケジュールを組んだ。 | He, without caring about the advice of those around him, made an unreasonable schedule. | [ka.ɾe wa ɕɯː.i no tʃɯː.ko.kɯ mo ka.ma.wa.zɯ mɯ.ɾʲi na sɯ.ke.dʑɯː.ɾɯ o kɯn.da] | [ka.ɾe̞ wa ɕɯːi no tɕɯː.ko.kɯ mo ka.ma.wa.zɯ mɯ.ɾʲi na sɯ.ke̞.dʑɯː.ɾɯ o kɯn.da̠]
Japanese::N2::Mixed Review & Integration | 彼は周囲の心配をよそに、一人で危険な登山に挑んだ。 | Disregarding the worries of those around him, he took on the dangerous climb alone. | [ka.ɾe wa ɕɯː.i no ɕin.pa.i o jo.so ni hʲi.to.ɾʲi de kʲi.ke̞n na to.za.n ni i.don.da] | [ka.ɾe̞ wa ɕɯːi no ɕim.pa.i o jo.so ni çi.to.ɾʲi de kʲi.ke̞n na to.zaɰ̃ ni i.don.da̠]
Japanese::N2::Mixed Review & Integration | 疲れていながらも、彼女は最後まで発表を続けた。 | Although she was tired, she continued the presentation to the end. | [tsɯ.ka.ɾe.te i.na.ga.ɾa mo ka.no.dʑo wa sa.i.go ma.de ha.ppʲoː o tsɯ.zɯ.ke.ta] | [tsɯ.ka.ɾe̞.te i.na.ɡa.ɾa mo ka.no.dʑo wa sa.i.ɡo ma.de̞ ha.ppʲoː o tsɯ.zɯ.ke̞.ta̠]
Japanese::N2::Mixed Review & Integration | 状況は少しずつ改善しつつある。 | The situation is gradually improving. | [dʑoː.kʲoː wa sɯ.ko.ɕi zɯ.tsɯ ka.i.ze.n ɕi.tsɯ.tsɯ a.ɾɯ] | [dʑoː.kʲoː wa sɯ.ko.ɕi zɯ.tsɯ ka.i.ze̞n ɕi.tsɯ.tsɯ a̠ɾɯ]
Japanese::N2::Mixed Review & Integration | 国際情勢を踏まえ、経済対策を強化する方針だ。 | Taking the international situation into account, the policy is to strengthen economic measures. | [ko.kɯ.sa.i dʑoː.se̞ː o ɸɯ.ma.e ke.i.za.i ta.i.sa.kɯ o kʲoː.ka sɯ.ɾɯ hoː.ɕin da] | [ko.kɯ.sa̠i dʑoː.se̞ː o ɸɯma.e ke̞ː.za.i ta̠i.sa.kɯ o kʲoː.ka sɯ.ɾɯ hoː.ɕin da̠]
Japanese::N2::Mixed Review & Integration | したがって、この計画は中止せざるを得ない。 | Therefore, we have no choice but to cancel this plan. | [ɕi.ta.gat.te ko.no ke.i.ka.kɯ wa tʃɯː.ɕi se.za.ɾɯ o e.na.i] | [ɕi.ta̠ɡatte̞ ko.no ke̞ː.ka.kɯ wa tɕɯː.ɕi se̞.za.ɾɯ e̞.na̠i]
Japanese::N2::Mixed Review & Integration | 円安が進んだ。その結果、輸出企業の業績が伸びた。 | The yen weakened. As a result, the performance of exporting companies improved. | [e.n.ja.sɯ ɡa sɯ.sɯn.da so.no ke̞k.ka jɯ.ɕɯtsɯ.kʲi.ɡʲoː no ɡʲoː.se̞.kʲi ɡa no.bʲi.ta] | [e̞ɰ̃.ja.sɯ ɡa sɯ.sɯɰ̃.da̠ so.no ke̞k.ka jɯ.ɕɯ.tsɯ.kʲiɡʲoː no ɡʲoː.se̞.kʲi ɡa no.bʲi.ta̠]
Japanese::N2::Mixed Review & Integration | 好景気が続いている。一方、格差の拡大も指摘されている。 | The economic boom continues. On the other hand, the widening of disparity is also pointed out. | [koː.ke.i.kʲi ɡa tsɯ.zɯ.i.te i.ɾɯ i.ppoː ka.kɯ.sa no ka.kɯ.da.i mo ɕi.te̞.kʲi sa.ɾe.te i.ɾɯ] | [koː.ke̞ː.kʲi ɡa tsɯ.zɯi.te ɾɯ ip.poː ka.kɯ.sa no ka.kɯ.da̠i mo ɕi.te̞.kʲi sa.ɾe̞.te ɾɯ]
Japanese::N2::Mixed Review & Integration | 少子化対策は、国の将来を左右する重要な課題である。 | Measures against the declining birthrate are an important issue that will determine the nation's future. | [ɕoː.ɕi.ka ta.i.sa.kɯ wa kɯ.nʲi no ɕoː.ɾa.i o sa.jɯː sɯ.ɾɯ dʑɯː.joː na ka.da.i de a.ɾɯ] | [ɕoː.ɕi.ka ta̠i.sa.kɯ wa kɯ.nʲi no ɕoː.ɾa.i o sa.jɯː sɯ.ɾɯ dʑɯː.joː na ka.da̠i de a̠ɾɯ]
Japanese::N2::Mixed Review & Integration | 会議は来週の月曜日に行われる予定です。 | The meeting is scheduled to be held next Monday. | [ka.i.ɡʲi wa ɾa.i.ɕɯː no ge̞tsɯ.joː.bʲi ni o.ko.na.wa.ɾe.ɾɯ jo.te.i de.sɯ] | [ka.i.ɡʲi wa ɾa.i.ɕɯː no ɡe̞.tsɯ.joː.bʲi ni o.ko.na.wa.ɾe̞.ɾɯ jo.te̞ː de̞.sɯ]
Japanese::N2::Mixed Review & Integration | 彼は忙しさのあまり、食事をとることさえ忘れてしまう。 | He is so busy that he even forgets to eat. | [ka.ɾe wa i.so.ga.ɕi.sa no a.ma.ɾʲi ɕo.kɯ.dʑi o to.ɾɯ ko.to sa.e wa.sɯ.ɾe.te ɕi.ma.ɯ] | [ka.ɾe̞ wa i.so.ɡa.ɕi.sa no a.ma.ɾʲi ɕo.kɯ.dʑi o to.ɾɯ ko.to sa.e wa.sɯ.ɾe̞.te̞ ɕi.ma̠ɯ]
Japanese::N2::Mixed Review & Integration | 一度きちんと説明すれば、彼もわかってくれるはずだ。 | If you explain it properly just once, he should understand too. | [i.tʃi.do kʲi.tʃin to se̞.tsɯ.me̞ː sɯ.ɾe.ba ka.ɾe mo wa.kat.te kɯ.ɾe.ɾɯ ha.zɯ da] | [i.tɕi.do kʲi.tɕin to se̞.tsɯ.me̞ː sɯ.ɾe̞.ba ka.ɾe̞ mo wa.katte̞ kɯ.ɾe̞.ɾɯ ha.zɯ da̠]
Japanese::N2::Mixed Review & Integration | 彼女は誰にも相談せずに、一人で決断してしまった。 | She made the decision alone, without consulting anyone. | [ka.no.dʑo wa da.ɾe ni mo soː.dan se.zɯ ni hʲi.to.ɾʲi de ke̞.tsɯ.dan ɕi.te ɕi.mat.ta] | [ka.no.dʑo wa da̠.ɾe̞ ni mo soː.dan se̞.zɯ ni çi.to.ɾʲi de̞ ke̞.tsɯ.dan ɕte̞ ɕi.mat.ta]
Japanese::N2::Mixed Review & Integration | 政府はさっそく対応策を検討し始めた。 | The government immediately began considering countermeasures. | [se̞ː.ɸɯ wa sas.so.kɯ ta.i.oː.sa.kɯ o ke̞n.toː ɕi ha.dʑi.me.ta] | [se̞ː.ɸɯ wa sas.so.kɯ ta.i.oː.sa.kɯ o ke̞n.toː ɕi ha.dʑi.me̞.ta̠]
Japanese::N2::Mixed Review & Integration | いくら安いにしても、品質が悪ければ意味がない。 | No matter how cheap it is, if the quality is bad, it's meaningless. | [i.kɯ.ɾa ja.sɯ.i ni ɕi.te mo hʲin.ɕi.tsɯ ɡa wa.ɾɯ.ke.ɾe.ba i.mʲi ɡa na.i] | [i.kɯ.ɾa ja.sɯi ni ɕte̞ mo çin.ɕi.tsɯ ɡa wa.ɾɯ.ke̞.ɾe̞.ba i.mʲi ɡa na̠i]
Japanese::N2::Mixed Review & Integration | 準備が整い次第、出発しましょう。 | Let's set off as soon as preparations are complete. | [dʑɯm.bʲi ɡa to.to.no.i ɕi.da.i ɕɯp.pa.tsɯ ɕi.ma.ɕoː] | [dʑɯm.bʲi ɡa to.to.no.i ɕi.da.i ɕɯp.pa.tsɯ ɕi.ma̠.ɕoː]
Japanese::N2::Mixed Review & Integration | 彼の説明を聞くにつけ、疑問はますます深まった。 | The more I listened to his explanation, the deeper my doubts became. | [ka.ɾe no se.tsɯ.me.i o kʲi.kɯ ni tsɯ.ke ɡʲi.mon wa ma.sɯ.ma.sɯ ɸɯ.ka.mat.ta] | [ka.ɾe̞ no se̞.tsɯ.me̞ː o kʲi.kɯ ni tsɯ.ke̞ ɡʲi.mon wa ma.sɯ.ma.sɯ ɸɯ.ka.matta]
Japanese::N2::Mixed Review & Integration | この地域の人々は、昔からの伝統を大切に守り続けている。 | The people of this region continue to carefully preserve their old traditions. | [ko.no tʲi.i.kʲi no hʲi.to.bʲi.to wa mɯ.ka.ɕi ka.ɾa no de̞n.toː o ta.i.se.tsɯ ni ma.mo.ɾʲi.tsɯ.zɯ.ke.te i.ɾɯ] | [ko.no tɕiː.kʲi no çi.to.bʲi.to wa mɯ.ka̠.ɕi ka.ɾa no de̞n.toː o ta̠i.se̞.tsɯ ni ma.mo.ɾʲi.tsɯ.zɯ.ke̞.te ɾɯ]
Japanese::N2::Mixed Review & Integration | 彼女に相違して、私は反対の意見を持っている。 | Contrary to her, I hold the opposite opinion. | [ka.no.dʑo ni soː.i ɕi.te wa.ta.ɕi wa han.ta.i no i.ke̞n o mot.te i.ɾɯ] | [ka.no.dʑo ni soː.i ɕte̞ wa.ta̠.ɕi wa han.ta̠i no i.ke̞n o motte̞ ɾɯ]
Japanese::N2::Mixed Review & Integration | 失敗を恐れるあまり、彼は挑戦することをやめてしまった。 | Fearing failure too much, he stopped trying to challenge himself. | [ɕip.pa.i o o.so.ɾe.ɾɯ a.ma.ɾʲi ka.ɾe wa tʲoː.se̞n sɯ.ɾɯ ko.to o ja.me.te ɕi.mat.ta] | [ɕip.pa̠i o o.so.ɾe̞.ɾɯ a.ma.ɾʲi ka.ɾe̞ wa tɕoː.se̞n sɯ.ɾɯ ko.to o ja.me̞.te̞ ɕi.mat.ta]
Japanese::N2::Mixed Review & Integration | 彼のスピーチからいえば、今回の決定に満足しているようだ。 | Judging from his speech, he seems satisfied with this decision. | [ka.ɾe no sɯ.piː.tʃi ka.ɾa i.e.ba kon.ka.i no ke̞.tsɯ.te̞ː ni man.zo.kɯ ɕi.te i.ɾɯ joː da] | [ka.ɾe̞ no sɯ.piː.tɕi ka.ɾa i.e̞.ba koŋ.ka.i no ke̞.tsɯ.te̞ː ni man.zo.kɯ ɕte̞ ɾɯ joː da̠]
Japanese::N2::Mixed Review & Integration | 敬具、ますますのご発展をお祈り申し上げます。 | Sincerely yours, I wish you continued prosperity. | [ke.i.gɯ ma.sɯ.ma.sɯ no go.ha.tten o o.i.no.ɾʲi moː.ɕi.a.ge.ma.sɯ] | [ke̞ː.ɡɯ ma.sɯ.ma.sɯ no ɡo.ha.tten o o.i.no.ɾʲi moː.ɕi.a.ɡe̞.ma̠.sɯ]
Japanese::N2::Mixed Review & Integration | どんなに謝ろうと、彼女の怒りはすでに極限に達していた。 | No matter how much he apologized, her anger had already reached its limit. | [don.na ni a.ja.ma.ɾoː to ka.no.dʑo no i.ka.ɾʲi wa sɯ.de.ni kʲo.kɯ.ge̞n ni ta.ɕi.te i.ta] | [don.na ni a.ja.ma.ɾoː to ka.no.dʑo no i.ka.ɾʲi wa sɯ.de̞.ni kʲo.kɯ.ɡe̞n ni ta̠.ɕte i.ta]
Japanese::N2::Mixed Review & Integration | 支出をぬきにして、収益だけを見れば黒字だ。 | Excluding expenditure, if you look only at revenue, it's in the black. | [ɕi.ɕɯtsɯ o nɯ.kʲi ni ɕi.te ɕɯː.e.kʲi da.ke o mʲi.ɾe.ba kɯ.ɾo.dʑi da] | [ɕi.ɕɯ.tsɯ o nɯ.kʲi ni ɕte̞ ɕɯː.e̞.kʲi da.ke̞ o mʲiɾe̞.ba kɯ.ɾo.dʑi da̠]
Japanese::N2::Mixed Review & Integration | 電話に出るか出ないかのうちに、切れてしまった。 | Before I could even answer the phone, the call was cut off. | [de̞n.wa ni de.ɾɯ ka de.na.i ka no ɯ.tʃi ni kʲi.ɾe.te ɕi.mat.ta] | [de̞n.wa ni de̞.ɾɯ ka de̞.na̠i ka no ɯ.tɕi ni kʲi.ɾe̞.te̞ ɕi.mat.ta]
Japanese::N2::Mixed Review & Integration | ドアを開けたとたんに、強い風が吹き込んできた。 | The instant I opened the door, a strong wind blew in. | [do.a o a.ke.ta to.tan ni tsɯ.jo.i ka.ze ɡa ɸɯ.kʲi.kon.de kʲi.ta] | [do.a o a.ke̞.ta to.tan ni tsɯ.joi ka.ze̞ ɡa ɸɯ.kʲi.kon.de̞ kʲta̠]
Japanese::N2::Mixed Review & Integration | 帰国次第、あなたに連絡します。 | I will contact you as soon as I return to my country. | [kʲi.ko.kɯ ɕi.da.i a.na.ta ni ɾe̞n.ɾa.kɯ ɕi.ma.sɯ] | [kʲi.ko.kɯ ɕi.da.i a.na.ta ni ɾe̞n.ɾa.kɯ ɕi.ma̠.sɯ]
Japanese::N2::Mixed Review & Integration | ここまで話した上は、すべて正直に話すべきだ。 | Now that I've talked this far, I should tell everything honestly. | [ko.ko ma.de ha.na.ɕi.ta ɯ.e wa sɯ.be.te ɕoː.dʑi.kʲi ni ha.na.sɯ be.kʲi da] | [ko.ko ma.de̞ ha.na.ɕta ɯ.e wa sɯ.be̞.te̞ ɕoː.dʑi.kʲi ni ha.na.sɯ be̞.kʲi da̠]
Japanese::N2::Mixed Review & Integration | ちょっとした不注意ばかりに、事故を招いてしまった。 | Solely because of a bit of carelessness, an accident was caused. | [tʃo.tto ɕi.ta ɸɯ.tʲɯː.i ba.ka.ɾʲi ni dʑi.ko o ma.ne.i.te ɕi.mat.ta] | [tɕo̞tto ɕta ɸɯ.tɕɯː.i ba.ka.ɾʲi ni dʑi.ko o ma.ne̞.ite̞ ɕi.mat.ta]
Japanese::N2::Mixed Review & Integration | 部長の立場からすれば、この決定は当然のことだろう。 | From the manager's standpoint, this decision is probably only natural. | [bɯ.tʲoː no ta.tʃi.ba ka.ɾa sɯ.ɾe.ba ko.no ke̞.tsɯ.te̞ː wa toː.ze̞n no ko.to da.ɾoː] | [bɯ.tɕoː no ta̠.tɕi.ba ka.ɾa sɯ.ɾe̞.ba ko.no ke̞.tsɯ.te̞ː wa toː.ze̞n no ko.to da.ɾoː]
Japanese::N2::Mixed Review & Integration | あの態度からして、彼はまったく反省していないようだ。 | Judging just from that attitude, he doesn't seem to be reflecting at all. | [a.no ta.i.do ka.ɾa ɕi.te ka.ɾe wa mat.ta.kɯ han.se.i ɕi.te i.na.i joː da] | [a.no ta̠i.do ka.ɾa ɕte̞ ka.ɾe̞ wa mat.ta.kɯ han.se̞ː ɕte̞ na̠i joː da̠]
