Japanese::N2::Abstract/Editorial Vocabulary in Context | この問題の本質を見極める必要がある。 | It is necessary to discern the essence of this problem. | [ko.no moɴ.da.i no hoɴ.ɕi.tsɯ o mi.ki.wa.me.ɾɯ hi.tsɯ.joː ɡa a.ɾɯ] | [ko.no moɴ.da.i no hoɴ.ɕi.tsɯ o mi.ki.wa.me.ɾɯ çi.tsɯ.joː ɡa a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 現状維持を望む声も根強く存在する。 | Voices favoring the status quo also remain strong. | [ɡeɴ.dʑoː i.dʑi o no.zo.mɯ ko.e mo ne.zɯ.jo.kɯ soɴ.za.i sɯ.ɾɯ] | [ɡeɴ.dʑoː i.dʑi o no.zo.mɯ ko.e mo ne.zɯ.jo.kɯ soɴ.za.i sɯ.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 変化への抵抗感は根深いものがある。 | The sense of resistance to change runs deep. | [heɴ.ka e no te.i.koː.kaɴ wa ne.bɯ.ka.i mo.no ɡa a.ɾɯ] | [heɴ.ka e no teː.koː.kaɴ wa ne.bɯ.ka.i mo.no ɡa a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼らの議論は本質からかけ離れている。 | Their argument is far removed from the essence of the matter. | [ka.ɾe.ɾa no ɡi.roɴ wa hoɴ.ɕi.tsɯ ka.ɾa ka.ke.ha.na.ɾe.te i.ɾɯ] | [ka.ɾe.ɾa no ɡi.ɾoɴ wa hoɴ.ɕi.tsɯ ka.ɾa ka.ke.ha.na.ɾe.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 客観性を保つことは容易ではない。 | Maintaining objectivity is not easy. | [kja.kkaɴ.se.i o ta.mo.tsɯ ko.to wa jo.i de wa na.i] | [kja.kːaɴ.seː o ta.mo.tsɯ ko.to wa jo.i de wa na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 社会通念にとらわれない発想が求められている。 | Ideas unconstrained by conventional social wisdom are being called for. | [ɕa.ka.i tsɯː.neɴ ni to.ra.wa.ɾe.na.i ha.ssoː ɡa mo.to.me.ɾa.ɾe.te i.ɾɯ] | [ɕa.ka.i tsɯː.neɴ ni to.ɾa.wa.ɾe.na.i ha.sːoː ɡa mo.to.me.ɾa.ɾe.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この理念は理想論に過ぎないとの批判もある。 | There is also criticism that this ideal is merely idealistic theory. | [ko.no ɾi.neɴ wa ɾi.soː.roɴ ni sɯ.ɡi.na.i to no çi.haɴ mo a.ɾɯ] | [ko.no ɾi.neɴ wa ɾi.soː.ɾoɴ ni sɯ.ɡi.na.i to no çi.haɴ mo a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼の見識の深さには驚かされる。 | One is struck by the depth of his insight. | [ka.ɾe no ke.ɴ.ɕi.ki no ɸɯ.ka.sa ni wa o.do.ro.ka.sa.ɾe.ɾɯ] | [ka.ɾe no keɴ.ɕki no ɸɯ.ka.sa ni wa o.do.ɾo.ka.sa.ɾe.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この課題への取り組みは表層的なものにとどまっている。 | Efforts to address this issue remain superficial. | [ko.no ka.da.i e no to.ɾi.kɯ.mi wa hjoː.soː.te.ki na mo.no ni to.do.ma.tte i.ɾɯ] | [ko.no ka.da.i e no to.ɾi.kɯ.mi wa çjoː.soː.teki na mo.no ni to.do.ma.tːe ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 議論の前提そのものを疑う必要があるかもしれない。 | It may be necessary to question the very premise of the debate. | [ɡi.roɴ no zeɴ.te.i so.no mo.no o ɯ.ta.ɡa.ɯ hi.tsɯ.joː ɡa a.ɾɯ ka.mo ɕi.re.na.i] | [ɡi.ɾoɴ no zeɴ.teː so.no mo.no o ɯ.ta.ɡa.ɯ çi.tsɯ.joː ɡa a.ɾɯ ka.mo ɕi.ɾe.na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 抽象論だけでは現場の問題は解決しない。 | Abstract argument alone will not solve the problems on the ground. | [tɕɯː.ɕoː.roɴ da.ke de wa ɡeɴ.ba no moɴ.da.i wa ka.i.ke.tsɯ ɕi.na.i] | [tɕɯː.ɕoː.ɾoɴ da.ke de wa ɡeɴ.ba no moɴ.da.i wa ka.i.ke.tsɯ ɕna.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼の指摘は的を射ている。 | His point hits the mark. | [ka.ɾe no ɕi.te.ki wa ma.to o i.te i.ɾɯ] | [ka.ɾe no ɕte.ki wa ma.to o i.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この議論には根本的な欠陥がある。 | There is a fundamental flaw in this argument. | [ko.no ɡi.roɴ ni wa koɴ.poɴ.te.ki na ke.kkaɴ ɡa a.ɾɯ] | [ko.no ɡi.ɾoɴ ni wa koɴ.poɴ.teki na ke.kːaɴ ɡa a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 単純な二元論では現実を捉えきれない。 | A simple dualism cannot capture reality. | [taɴ.dʑɯɴ na ni.ɡeɴ.roɴ de wa ɡeɴ.dʑi.tsɯ o to.ra.e.ki.re.na.i] | [taɴ.dʑɯɴ na ni.ɡeɴ.ɾoɴ de wa ɡeɴ.dʑi.tsɯ o to.ɾa.e.ki.ɾe.na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼女の論述は緻密で隙がない。 | Her exposition is meticulous and flawless. | [ka.no.dʑo no roɴ.dʑɯ.tsɯ wa tɕi.mi.tsɯ de sɯ.ki ɡa na.i] | [ka.no.dʑo no ɾoɴ.dʑɯ.tsɯ wa tɕi.mi.tsɯ de sɯ.ki ɡa na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この慣行は時代錯誤であるとの指摘が相次いでいる。 | There is a growing chorus of criticism that this practice is an anachronism. | [ko.no kaɴ.koː wa dʑi.da.i.sa.kɯ.ɡo de a.ɾɯ to no ɕi.te.ki ɡa a.i.tsɯ.i.de i.ɾɯ] | [ko.no kaɴ.koː wa dʑi.da.i.sa.kɯ.ɡo de a.ɾɯ to no ɕte.ki ɡa a.i.tsɯ.de ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 表面上の合意にとどまり、本質的な対立は解消されていない。 | The agreement remains merely superficial; the fundamental conflict has not been resolved. | [hjoː.meɴ.dʑoː no ɡoː.i ni to.do.ma.ɾi hoɴ.ɕi.tsɯ.te.ki na ta.i.ɾi.tsɯ wa ka.i.ɕoː sa.ɾe.te i.na.i] | [çjoː.meɴ.dʑoː no ɡoː.i ni to.do.ma.ɾi hoɴ.ɕi.tsɯ.teki na ta.i.ɾi.tsɯ wa ka.i.ɕoː sa.ɾe.te na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 権威に盲目的に従うのは危険である。 | Blindly following authority is dangerous. | [ke.ɴ.i ni moː.mo.kɯ.te.ki ni ɕi.ta.ɡa.ɯ no wa ki.keɴ de a.ɾɯ] | [keɴ.i ni moː.mo.kɯ.teki ni ɕta.ɡa.ɯ no wa ki.keɴ de a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 事象を多角的に捉える視点が欠かせない。 | A multifaceted perspective for grasping phenomena is indispensable. | [dʑi.ɕoː o ta.ka.kɯ.te.ki ni to.ra.e.ɾɯ ɕi.teɴ ɡa ka.ka.se.na.i] | [dʑi.ɕoː o ta.ka.kɯ.teki ni to.ɾa.e.ɾɯ ɕi.teɴ ɡa ka.ka.se.na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 感情論に流されず冷静に議論すべきだ。 | One should discuss calmly without being swept up in emotional argument. | [kaɴ.dʑoː.roɴ ni na.ɡa.sa.re.zɯ re.i.se.i ni ɡi.roɴ sɯ.be.ki da] | [kaɴ.dʑoː.ɾoɴ ni na.ɡa.sa.ɾe.zɯ ɾeː.seː ni ɡi.ɾoɴ sɯ.be.ki da]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 表向きの理由と実際の動機は必ずしも一致しない。 | The stated reason and the actual motive do not necessarily coincide. | [o.mo.te.mɯ.ki no ɾi.jɯː to dʑi.ssa.i no doː.ki wa ka.na.ɾa.zɯ.ɕi.mo i.tɕi.ɕi.na.i] | [o.mo.te.mɯ.ki no ɾi.jɯː to dʑi.sːa.i no doː.ki wa ka.na.ɾa.zɯ.ɕmo i.tɕi.ɕna.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼の理論は現実との乖離が甚だしい。 | His theory has an extreme divergence from reality. | [ka.ɾe no ɾi.roɴ wa ɡeɴ.dʑi.tsɯ to no ka.i.ɾi ɡa ha.na.ha.da.ɕiː] | [ka.ɾe no ɾi.ɾoɴ wa ɡeɴ.dʑi.tsɯ to no ka.i.ɾi ɡa ha.na.ha.da.ɕiː]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この問題を単純化しすぎるのは危険だ。 | It is dangerous to oversimplify this issue. | [ko.no moɴ.da.i o taɴ.dʑɯɴ.ka ɕi sɯ.ɡi.ɾɯ no wa ki.keɴ da] | [ko.no moɴ.da.i o taɴ.dʑɯɴ.ka ɕi sɯ.ɡi.ɾɯ no wa ki.keɴ da]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 概念の定義そのものが曖昧なままである。 | The very definition of the concept remains ambiguous. | [ɡa.i.neɴ no te.i.ɡi so.no mo.no ɡa a.i.ma.i na ma.ma de a.ɾɯ] | [ɡa.i.neɴ no teː.ɡi so.no mo.no ɡa a.i.ma.i na ma.ma de a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この見解は一面的であり、全体像を捉えていない。 | This view is one-sided and does not capture the overall picture. | [ko.no ke.ɴ.ka.i wa i.tɕi.meɴ.te.ki de a.ɾi ze.ɴ.ta.i.zoː o to.ra.e.te i.na.i] | [ko.no keɴ.ka.i wa i.tɕi.meɴ.teki de a.ɾi zeɴ.ta.i.zoː o to.ɾa.e.te na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼の理屈には説得力があるように見えて、実は破綻している。 | His reasoning appears persuasive, but is in fact flawed. | [ka.ɾe no ɾi.kɯ.tsɯ ni wa se.ttoɯ.rjo.kɯ ɡa a.ɾɯ joː ni mi.e.te dʑi.tsɯ wa ha.taɴ ɕi.te i.ɾɯ] | [ka.ɾe no ɾi.kɯ.tsɯ ni wa se.tːoɯ.ɾjo.kɯ ɡa a.ɾɯ joː ni mi.e.te dʑi.tsɯ wa ha.taɴ ɕte ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 既存の枠組みにとらわれない発想が必要とされる。 | Thinking unbound by existing frameworks is required. | [ki.zoɴ no wa.kɯ.ɡu.mi ni to.ra.wa.ɾe.na.i ha.ssoː ɡa hi.tsɯ.joː to sa.ɾe.ɾɯ] | [ki.zoɴ no wa.kɯ.ɡu.mi ni to.ɾa.wa.ɾe.na.i ha.sːoː ɡa çi.tsɯ.joː to sa.ɾe.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この現象は一過性のものではなく構造的な問題である。 | This phenomenon is not a passing one, but a structural problem. | [ko.no ɡeɴ.ɕoː wa i.kka.se.i no mo.no de wa na.kɯ koː.zoː.te.ki na moɴ.da.i de a.ɾɯ] | [ko.no ɡeɴ.ɕoː wa i.kːa.seː no mo.no de wa na.kɯ koː.zoː.teki na moɴ.da.i de a.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 論点をすり替えるような議論は建設的でない。 | An argument that shifts the point at issue is not constructive. | [roɴ.teɴ o sɯ.ɾi.ka.e.ɾɯ joː na ɡi.roɴ wa keɴ.se.tsɯ.te.ki de na.i] | [ɾoɴ.teɴ o sɯ.ɾi.ka.e.ɾɯ joː na ɡi.ɾoɴ wa keɴ.se.tsɯ.teki de na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼の見立ては表層的な観察に基づくものにすぎない。 | His assessment is based on nothing more than superficial observation. | [ka.ɾe no mi.ta.te wa hjoː.soː.te.ki na ka.ɴ.sa.tsɯ ni mo.to.zɯ.kɯ mo.no ni sɯ.ɡi.na.i] | [ka.ɾe no mi.ta.te wa çjoː.soː.teki na kaɴ.sa.tsɯ ni mo.to.zɯ.kɯ mo.no ni sɯ.ɡi.na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この理論には内在的な矛盾が潜んでいる。 | An inherent contradiction lurks within this theory. | [ko.no ɾi.roɴ ni wa na.i.za.i.te.ki na mɯ.dʑɯɴ ɡa hi.so.n̪.de i.ɾɯ] | [ko.no ɾi.ɾoɴ ni wa na.i.za.i.teki na mɯ.dʑɯɴ ɡa çi.soɴ.de ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この決定の背後には複雑な政治的思惑が見え隠れする。 | Complex political intentions can be glimpsed behind this decision. | [ko.no ke.tte.i no ha.i.ɡo ni wa ɸɯ.kɯ.za.tsɯ na se.i.dʑi.te.ki o.mo.wa.kɯ ɡa mi.e.ka.kɯ.re sɯ.ɾɯ] | [ko.no ke.tːeː no ha.i.ɡo ni wa ɸɯ.kɯ.za.tsɯ na seː.dʑi.teki o.mo.wa.kɯ ɡa mi.e.ka.kɯ.ɾe sɯ.ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 表現の自由と責任の均衡をどう図るかが問われている。 | How to balance freedom of expression with responsibility is being questioned. | [hjoː.ɡeɴ no dʑi.jɯː to se.ki.ni.ɴ no kiɴ.koː o doː ha.ka.ɾɯ ka ɡa to.wa.ɾe.te i.ɾɯ] | [çjoː.ɡeɴ no dʑjɯː to seki.niɴ no kiɴ.koː o doː ha.ka.ɾɯ ka ɡa to.wa.ɾe.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この論争は本質を突いていると言えるだろう。 | This controversy can be said to strike at the heart of the matter. | [ko.no roɴ.soː wa hoɴ.ɕi.tsɯ o tsɯ.i.te i.ɾɯ to i.e.ɾɯ da.roː] | [ko.no ɾoɴ.soː wa hoɴ.ɕi.tsɯ o tsɯ.i.te ɾɯ to e.ɾɯ da.ɾoː]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 彼らの提言は理想を追い求めるあまり、実現性を欠いている。 | Their proposal, in its excessive pursuit of ideals, lacks feasibility. | [ka.ɾe.ɾa no te.i.ɡeɴ wa ɾi.soː o o.i.mo.to.me.ɾɯ a.ma.ɾi dʑi.tsɯ.ɡeɴ.se.i o ka.i.te i.ɾɯ] | [ka.ɾe.ɾa no teː.ɡeɴ wa ɾi.soː o o.i.mo.to.me.ɾɯ a.ma.ɾi dʑi.tsɯ.ɡeɴ.seː o ka.i.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この批判は的外れであるとの反論が出ている。 | Rebuttals have emerged arguing that this criticism is off the mark. | [ko.no hi.haɴ wa ma.to.ha.zu.ɾe de a.ɾɯ to no haɴ.roɴ ɡa de.te i.ɾɯ] | [ko.no çi.haɴ wa ma.to.ha.zɯ.ɾe de a.ɾɯ to no haɴ.ɾoɴ ɡa de.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 社会構造そのものを問い直す契機となった。 | It became an opportunity to reexamine the social structure itself. | [ɕa.ka.i koː.zoː so.no mo.no o to.i.na.o.sɯ ke.i.ki to na.tta] | [ɕa.ka.i koː.zoː so.no mo.no o toː.na.o.sɯ keː.ki to na.tːa]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 表層的な変化にとどまり、実質は何も変わっていない。 | The change remains superficial; nothing has substantively changed. | [hjoː.soː.te.ki na heɴ.ka ni to.do.ma.ɾi dʑi.ɕi.tsɯ wa na.ni mo ka.wa.tte i.na.i] | [çjoː.soː.teki na heɴ.ka ni to.do.ma.ɾi dʑi.ɕi.tsɯ wa na.ni mo ka.wa.tːe na.i]
Japanese::N2::Abstract/Editorial Vocabulary in Context | この議論はイデオロギー的な対立に終始している。 | This debate is characterized entirely by ideological conflict. | [ko.no ɡi.roɴ wa i.de.o.ro.ɡiː te.ki na ta.i.ɾi.tsɯ ni ɕɯː.ɕi ɕi.te i.ɾɯ] | [ko.no ɡi.ɾoɴ wa i.de.o.ɾo.ɡiː teki na ta.i.ɾi.tsɯ ni ɕɯː.ɕi ɕte ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 実証データに基づかない主張は説得力を欠く。 | Claims not based on empirical data lack persuasive power. | [dʑi.sːoː.deː.ta ni mo.to.zɯ.ka.na.i ɕɯ.tɕoː wa se.ttoɯ.rjo.kɯ o ka.kɯ] | [dʑi.sːoː.deː.ta ni mo.to.zɯ.ka.na.i ɕɯ.tɕoː wa se.tːoɯ.ɾjo.kɯ o ka.kɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 問題の根源に迫るような分析が求められている。 | Analysis that gets to the root of the problem is being sought. | [moɴ.da.i no koɴ.ɡeɴ ni se.ma.ɾɯ joː na bɯɴ.se.ki ɡa mo.to.me.ɾa.ɾe.te i.ɾɯ] | [moɴ.da.i no koɴ.ɡeɴ ni se.ma.ɾɯ joː na bɯɴ.seki ɡa mo.to.me.ɾa.ɾe.te ɾɯ]
Japanese::N2::Abstract/Editorial Vocabulary in Context | 感覚的な判断ではなく理性的な判断が求められる場面である。 | This is a situation calling for rational rather than intuitive judgment. | [kaɴ.ka.kɯ.te.ki na haɴ.daɴ de wa na.kɯ ɾi.se.i.te.ki na haɴ.daɴ ɡa mo.to.me.ɾa.ɾe.ɾɯ ba.meɴ de a.ɾɯ] | [kaɴ.ka.kɯ.teki na haɴ.daɴ de wa na.kɯ ɾiseː.teki na haɴ.daɴ ɡa mo.to.me.ɾa.ɾe.ɾɯ ba.meɴ de a.ɾɯ]
