English::A1::Past events (irregular verbs) | I went to the cinema yesterday. | ذهبتُ إلى السينما الأمس. | [ˈaɪ̯ ˈwɛnt tʰʊ ðə ˈsɪn.ə.mɑː ˈjɛs.tə.deɪ̯] | [aɪ̯ ˈwɛn tə ðə ˈsɪn.ə.mə ˈjɛs.tə.deɪ̯]
English::A1::Past events (irregular verbs) | They paid for the lunch. | دفعوا ثمن الغداء. | [ˈðeɪ̯ ˈpʰeɪ̯d fɔː ðə ˈlʌnt͡ʃ] | [ðeɪ̯ ˈpʰeɪ̯d fə ðə ˈlʌnt͡ʃ]
English::A1::Past events (irregular verbs) | I lost my hat yesterday. | فقدت قبعتي الأمس. | [ˈaɪ̯ ˈlɒst maɪ̯ ˈhæt ˈjɛs.tə.deɪ̯] | [aɪ̯ ˈlɒst maɪ̯ ˈhæt ˈjɛs.tə.deɪ̯]
English::A1::Past events (irregular verbs) | She told me a secret. | أخبرتني بسِر. | [ˈʃiː ˈtʰəʊ̯ld miː ə ˈsiː.kɹɪt] | [ʃi ˈtʰəʊ̯l mi ə ˈsiː.kɹɪt]
English::A1::Past events (irregular verbs) | He sat near the window. | جلس بالقرب من النافذة. | [ˈhiː ˈsæt ˈnɪə̯ ðə ˈwɪn.dəʊ̯] | [hi ˈsæt ˈnɪə̯ ðə ˈwɪn.dəʊ̯]
English::A1::Past events (irregular verbs) | We heard a noise outside. | سمعنا ضوضاء في الخارج. | [ˈwiː ˈhɜːd ə ˈnɔɪ̯z ˌaʊ̯tˈsaɪ̯d] | [wi ˈhɜːd ə ˈnɔɪ̯z ˌaʊ̯tˈsaɪ̯d]
English::A1::Past events (irregular verbs) | They understood the lesson. | فهموا الدرس. | [ˈðeɪ̯ ˌʌn.dəˈstʰʊd ðə ˈlɛs.n̩] | [ðeɪ̯ ˌʌn.dəˈstʰʊd ðə ˈlɛs.n̩]
English::A1::Past events (irregular verbs) | Did you go out last night? | هل خرجت الليلة الماضية؟ | [ˈdɪd jʊ ˈɡəʊ̯ ˈaʊ̯t ˈlɑːst ˈnaɪ̯t] | [dɪd jə ˈɡəʊ̯ ˈaʊ̯t ˈlɑːs ˈnaɪ̯t]
English::A1::Past events (irregular verbs) | No, I stayed at home and read. | لا، بقيت في المنزل وقرأت. | [ˈnəʊ̯ ˈaɪ̯ ˈstʰeɪ̯d æt ˈhəʊ̯m ænd ˈɹɛd] | [nəʊ̯ aɪ̯ ˈstʰeɪ̯d ət ˈhəʊ̯m ən ˈɹɛd]
English::A1::Past events (irregular verbs) | What did you buy at the shop? | ماذا اشتريت من المتجر؟ | [ˈwɒt ˈdɪd jʊ ˈbaɪ̯ æt ðə ˈʃɒp] | [wɒt dɪd jə ˈbaɪ̯ ət ðə ˈʃɒp]
English::A1::Past events (irregular verbs) | I bought some fruit and milk. | اشتريت بعض الفواكه والحليب. | [ˈaɪ̯ ˈbɔːt sʌm ˈfɹuːt ænd ˈmɪlk] | [aɪ̯ ˈbɔːt səm ˈfɹuːt ən ˈmɪlk]
English::A1::Past events (irregular verbs) | She thought the exam was easy. | ظنت أن الامتحان كان سهلاً. | [ˈʃiː ˈθɔːt ðə ɪɡˈzæm ˈwɒz ˈiː.zi] | [ʃi ˈθɔːt ðə ɪɡˈzæm wəz ˈiː.zi]
