English::A1::Past events (regular verbs) | I walked to school yesterday. | مشيت إلى المدرسة الأمس. | [ˈaɪ̯ ˈwɔːkt tʰʊ ˈskuːl ˈjɛs.tə.deɪ̯] | [aɪ̯ ˈwɔːkt tə ˈskuːl ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | She studied English last night. | درست الإنجليزية الليلة الماضية. | [ˈʃiː ˈstʰʌd.iːd ˈɪŋ.ɡlɪʃ ˈlɑːst ˈnaɪ̯t] | [ʃi ˈstʰʌd.iːd ˈɪŋ.ɡlɪʃ ˈlɑːs ˈnaɪ̯t]
English::A1::Past events (regular verbs) | We waited for the train. | انتظرنا القطار. | [ˈwiː ˈweɪ̯t.ɪd fɔː ðə ˈtʰɹeɪ̯n] | [wi ˈweɪ̯t.ɪd fə ðə ˈtʰɹeɪ̯n]
English::A1::Past events (regular verbs) | He worked in a bank last year. | عمل في بنك العام الماضي. | [ˈhiː ˈwɜːkt ɪn ə ˈbæŋk ˈlɑːst ˈjɪə̯] | [hi ˈwɜːkt ɪn ə ˈbæŋk ˈlɑːst ˈjɪə̯]
English::A1::Past events (regular verbs) | I called my friend yesterday. | اتصلت بصديقي الأمس. | [ˈaɪ̯ ˈkʰɔːld maɪ̯ ˈfɹɛnd ˈjɛs.tə.deɪ̯] | [aɪ̯ ˈkʰɔːld maɪ̯ ˈfɹɛn ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | They danced at the party. | رقصوا في الحفلة. | [ˈðeɪ̯ ˈdɑːnst æt ðə ˈpʰɑː.tʰi] | [ðeɪ̯ ˈdɑːns t ət ðə ˈpʰɑː.tʰi]
English::A1::Past events (regular verbs) | She opened the window. | فتحت النافذة. | [ˈʃiː ˈəʊ̯.pʰənd ðə ˈwɪn.dəʊ̯] | [ʃi ˈəʊ̯.pʰənd ðə ˈwɪn.dəʊ̯]
English::A1::Past events (regular verbs) | The show finished at nine. | انتهى العرض في السابعة. | [ðə ˈʃəʊ̯ ˈfɪn.ɪʃt æt ˈnaɪ̯n] | [ðə ˈʃəʊ̯ ˈfɪn.ɪʃt ət ˈnaɪ̯n]
English::A1::Past events (regular verbs) | We started school in September. | بدأنا الدراسة في سبتمبر. | [ˈwiː ˈstʰɑː.tʰɪd ˈskuːl ɪn sɛpˈtʰɛm.bə] | [wi ˈstʰɑː.tʰɪd ˈskuːl ɪn sɛpˈtʰɛm.bə]
English::A1::Past events (regular verbs) | I was very tired yesterday. | كنت تعباً جداً الأمس. | [ˈaɪ̯ ˈwɒz ˈvɛɹ.i ˈtʰaɪ̯.əd ˈjɛs.tə.deɪ̯] | [aɪ̯ wəz ˈvɛɹ.i ˈtʰaɪ̯.əd ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | She was happy at the party. | كانت سعيدة في الحفلة. | [ˈʃiː ˈwɒz ˈhæp.i æt ðə ˈpʰɑː.tʰi] | [ʃi wəz ˈhæp.i ət ðə ˈpʰɑː.tʰi]
English::A1::Past events (regular verbs) | They were in London last week. | كانوا في لندن الأسبوع الماضي. | [ˈðeɪ̯ ˈwɜː ɪn ˈlʌn.dən ˈlɑːst ˈwiːk] | [ðeɪ̯ wər ɪn ˈlʌn.dən ˈlɑːst ˈwiːk]
English::A1::Past events (regular verbs) | We were at home on Sunday. | كنا في المنزل يوم الأحد. | [ˈwiː ˈwɜː æt ˈhəʊ̯m ɒn ˈsʌn.deɪ̯] | [wi wər ət ˈhəʊ̯m ɒn ˈsʌn.deɪ̯]
English::A1::Past events (regular verbs) | The weather was cold yesterday. | كان الطقس بارداً الأمس. | [ðə ˈwɛð.ə ˈwɒz ˈkʰəʊ̯ld ˈjɛs.tə.deɪ̯] | [ðə ˈwɛð.ə wəz ˈkʰəʊ̯ld ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | Did you watch the match yesterday? | هل شاهدت المباراة الأمس؟ | [ˈdɪd jʊ ˈwɒt͡ʃ ðə ˈmæt͡ʃ ˈjɛs.tə.deɪ̯] | [dɪd jə ˈwɒt͡ʃ ðə ˈmæt͡ʃ ˈjɛs.tə.deɪ̯]
English::A1::Past events (regular verbs) | Yes, I liked it very much. | نعم، أعجبني جداً. | [ˈjɛs ˈaɪ̯ ˈlaɪ̯kt ˈɪt ˈvɛɹ.i ˈmʌt͡ʃ] | [jɛs aɪ̯ ˈlaɪ̯kt ɪt ˈvɛɹ.i ˈmʌt͡ʃ]
English::A1::Past events (regular verbs) | He closed the door quietly. | أغلق الباب بهدوء. | [ˈhiː ˈkləʊ̯zd ðə ˈdɔː ˈkwaɪ̯.ət.li] | [hi ˈkləʊ̯zd ðə ˈdɔː ˈkwaɪ̯.ət.li]
English::A1::Past events (regular verbs) | She asked a question in class. | سألت سؤالاً في الفصل. | [ˈʃiː ˈɑːskt ə ˈkwɛs.t͡ʃən ɪn ˈklɑːs] | [ʃi ˈɑːskt ə ˈkwɛs.t͡ʃən ɪn ˈklɑːs]
English::A1::Past events (regular verbs) | They arrived at the station. | وصلوا إلى المحطة. | [ˈðeɪ̯ əˈɹaɪ̯vd æt ðə ˈstʰeɪ̯.ʃn̩] | [ðeɪ̯ əˈɹaɪ̯vd ət ðə ˈstʰeɪ̯.ʃn̩]
English::A1::Past events (regular verbs) | I enjoyed the concert last night. | استمتعت بالحفل الموسيقي الليلة الماضية. | [ˈaɪ̯ ɪnˈd͡ʒɔɪ̯d ðə ˈkʰɒn.sət ˈlɑːst ˈnaɪ̯t] | [aɪ̯ ɪnˈd͡ʒɔɪ̯d ðə ˈkʰɒn.sət ˈlɑːs ˈnaɪ̯t]
