English::A1::Actions happening now | I am reading a book right now. | أنا أقرأ كتاباً الآن. | [ˈaɪ̯ ˈæm ˈɹiː.dɪŋ ə ˈbʊk ˈɹaɪ̯t ˈnaɪ̯] | [aɪ̯ m ˈɹiː.dɪŋ ə ˈbʊk ˈɹaɪ̯t ˈnaʊ̯]
English::A1::Actions happening now | They are sitting in the garden. | هم يجلسون في الحديقة. | [ˈðeɪ̯ ˈɑː ˈsɪt.ɪŋ ɪn ðə ˈɡɑː.dn̩] | [ðeɪ̯ ə ˈsɪt.ɪŋ ɪn ðə ˈɡɑː.dn̩]
English::A1::Actions happening now | He is driving his car now. | هو يقود سيارته الآن. | [ˈhiː ˈɪz ˈdɹaɪ̯v.ɪŋ hɪz ˈkʰɑː ˈnaʊ̯] | [hi z ˈdɹaɪ̯v.ɪŋ ɪz ˈkʰɑː ˈnaʊ̯]
English::A1::Actions happening now | Are they studying for the test? | هل يدرسون للاختبار؟ | [ˈɑː ˈðeɪ̯ ˈstʰʌd.i.ɪŋ fɔː ðə ˈtʰɛst] | [ə ðeɪ̯ ˈstʰʌd.i.ɪŋ fə ðə ˈtʰɛst]
English::A1::Actions happening now | No, they are eating lunch. | لا، هم يتناولون الغداء. | [ˈnəʊ̯ ˈðeɪ̯ ˈɑː ˈiːt.ɪŋ ˈlʌnt͡ʃ] | [nəʊ̯ ðeɪ̯ ə ˈiːt.ɪŋ ˈlʌnt͡ʃ]
English::A1::Actions happening now | The sun is shining right now. | الشمس تشرق الآن. | [ðə ˈsʌn ˈɪz ˈʃaɪ̯n.ɪŋ ˈɹaɪ̯t ˈnaʊ̯] | [ðə ˈsʌn z ˈʃaɪ̯n.ɪŋ ˈɹaɪ̯t ˈnaʊ̯]
English::A1::Actions happening now | She is talking on the phone. | هي تتحدث عبر الهاتف. | [ˈʃiː ˈɪz ˈtʰɔːk.ɪŋ ɒn ðə ˈfəʊ̯n] | [ʃi z ˈtʰɔːk.ɪŋ ɒn ðə ˈfəʊ̯n]
English::A1::Actions happening now | We are waiting for the bus. | نحن ننتظر الحافلة. | [ˈwiː ˈɑː ˈweɪ̯t.ɪŋ fɔː ðə ˈbʌs] | [wi ə ˈweɪ̯t.ɪŋ fə ðə ˈbʌs]
English::A1::Actions happening now | I am not working today. | أنا لا أعمل اليوم. | [ˈaɪ̯ ˈæm ˈnɒt ˈwɜːk.ɪŋ tʰəˈdeɪ̯] | [aɪ̯ m ˈnɒt ˈwɜːk.ɪŋ tʰəˈdeɪ̯]
English::A1::Actions happening now | Is the teacher speaking now? | هل يتحدث المعلم الآن؟ | [ˈɪz ðə ˈtʰiː.t͡ʃə ˈspiːk.ɪŋ ˈnaʊ̯] | [ɪz ðə ˈtʰiː.t͡ʃə ˈspiːk.ɪŋ ˈnaʊ̯]
English::A1::Actions happening now | He is opening the window. | هو يفتح النافذة. | [ˈhiː ˈɪz ˈəʊ̯.pʰən.ɪŋ ðə ˈwɪn.dəʊ̯] | [hi z ˈəʊ̯.pʰən.ɪŋ ðə ˈwɪn.dəʊ̯]
English::A1::Actions happening now | She is putting on her coat. | هي ترتدي معطفها. | [ˈʃiː ˈɪz ˈpʰʊt.ɪŋ ˈɒn hɜː ˈkʰəʊ̯t] | [ʃi z ˈpʰʊt.ɪŋ ˈɒn ə ˈkʰəʊ̯t]
English::A1::Actions happening now | They are running in the park. | هم يركضون في الحديقة. | [ˈðeɪ̯ ˈɑː ˈɹʌn.ɪŋ ɪn ðə ˈpʰɑːk] | [ðeɪ̯ ə ˈɹʌn.ɪŋ ɪn ðə ˈpʰɑːk]
English::A1::Actions happening now | I am standing near the door. | أنا أقف بالقرب من الباب. | [ˈaɪ̯ ˈæm ˈstʰæn.dɪŋ ˈnɪə̯ ðə ˈdɔː] | [aɪ̯ m ˈstʰæn.dɪŋ ˈnɪə̯ ðə ˈdɔː]
English::A1::Actions happening now | Are you listening to me now? | هل تستمع إليّ الآن؟ | [ˈɑː jʊ ˈlɪs.n̩.ɪŋ tʰʊ ˈmiː ˈnaʊ̯] | [ə jə ˈlɪs.n̩.ɪŋ tə mi ˈnaʊ̯]
English::A1::Actions happening now | We are cleaning the kitchen. | نحن ننظف المطبخ. | [ˈwiː ˈɑː ˈkliːn.ɪŋ ðə ˈkʰɪt͡ʃ.ən] | [wi ə ˈkliːn.ɪŋ ðə ˈkʰɪt͡ʃ.n̩]
English::A1::Actions happening now | He is buying a coffee now. | هو يشتري القهوة الآن. | [ˈhiː ˈɪz ˈbaɪ̯.ɪŋ ə ˈkʰɒf.i ˈnaʊ̯] | [hi z ˈbaɪ̯.ɪŋ ə ˈkʰɒf.i ˈnaʊ̯]
