English::A1::Directions | Go straight on. | اذهب إلى الأمام مباشرة. | [ˈɡəʊ̯ ˈstɹeɪ̯t ˈɒn] | [ɡəʊ̯ ˈstɹeɪ̯t ˈɒn]
English::A1::Directions | Go out of the building. | اخرج من المبنى. | [ˈɡəʊ̯ ˈaʊ̯t ɒv ðə ˈbɪl.dɪŋ] | [ɡəʊ̯ ˈaʊ̯t əv ðə ˈbɪl.dɪŋ]
English::A1::Directions | Walk towards the library. | امشِ باتجاه المكتبة. | [ˈwɔːk tʰəˈwɔːdz ðə ˈlaɪ̯.bɹə.ɹi] | [ˈwɔːk tʰəˈwɔːdz ðə ˈlaɪ̯.bɹə.ɹi]
English::A1::Directions | The cinema is behind the shop. | السينما خلف المتجر. | [ðə ˈsɪn.ə.mɑː ˈɪz bɪˈhaɪ̯nd ðə ˈʃɒp] | [ðə ˈsɪn.ə.mə z bɪˈhaɪ̯n ðə ˈʃɒp]
English::A1::Directions | Cross the square to the bank. | اعبر الساحة إلى البنك. | [ˈkʰɹɒs ðə ˈskwɛə̯ tʰʊ ðə ˈbæŋk] | [ˈkʰɹɒs ðə ˈskwɛə̯ tə ðə ˈbæŋk]
English::A1::Directions | Turn right at the hospital. | انعطف يميناً عند المستشفى. | [ˈtʰɜːn ˈɹaɪ̯t æt ðə ˈhɒs.pʰɪ.tl̩] | [ˈtʰɜːn ˈɹaɪ̯t ət ðə ˈhɒs.pʰɪ.tl̩]
English::A1::Directions | Walk past the café. | امشِ متجاوزاً المقهى. | [ˈwɔːk ˈpʰɑːst ðə ˈkʰæf.eɪ̯] | [ˈwɔːk ˈpʰɑːs ðə ˈkʰæf.eɪ̯]
English::A1::Directions | Go into the hotel. | ادخل إلى الفندق. | [ˈɡəʊ̯ ˈɪn.tʰʊ ðə həʊ̯ˈtʰɛl] | [ɡəʊ̯ ˈɪn.tʰə həʊ̯ˈtʰɛl]
English::A1::Directions | The pharmacy is opposite the park. | الصيدلية مقابل الحديقة. | [ðə ˈfɑː.mə.si ˈɪz ˈɒp.ə.zɪt ðə ˈpʰɑːk] | [ðə ˈfɑː.mə.si z ˈɒp.ə.zɪt ðə ˈpʰɑːk]
English::A1::Directions | Walk straight for five minutes. | امشِ مباشرة لمدة خمس دقائق. | [ˈwɔːk ˈstɹeɪ̯t fɔː ˈfaɪ̯v ˈmɪn.ɪts] | [ˈwɔːk ˈstɹeɪ̯t fə ˈfaɪ̯v ˈmɪn.ɪts]
English::A1::Directions | Turn left at the stop sign. | انعطف يساراً عند علامة التوقف. | [ˈtʰɜːn ˈlɛft æt ðə ˈstʰɒp ˌsaɪ̯n] | [ˈtʰɜːn ˈlɛft ət ðə ˈstʰɒp ˌsaɪ̯n]
English::A1::Directions | Go over the bridge. | اذهب عبر الجسر. | [ˈɡəʊ̯ ˈəʊ̯.və ðə ˈbɹɪd͡ʒ] | [ɡəʊ̯ ˈəʊ̯.və ðə ˈbɹɪd͡ʒ]
English::A1::Directions | It is near the station. | إنه بالقرب من المحطة. | [ˈɪt ˈɪz ˈnɪə̯ ðə ˈstʰeɪ̯.ʃn̩] | [ɪt s ˈnɪə̯ ðə ˈstʰeɪ̯.ʃn̩]
