English::A1::Weather | It is sunny today. | الجو مشمس اليوم. | [ˈɪt ˈɪz ˈsʌn.i tʰəˈdeɪ̯] | [ɪt s ˈsʌn.i tʰəˈdeɪ̯]
English::A1::Weather | The sun is shining. | الشمس مشرقة. | [ðə ˈsʌn ˈɪz ˈʃaɪ̯n.ɪŋ] | [ðə ˈsʌn z ˈʃaɪ̯n.ɪŋ]
English::A1::Weather | It is dark outside. | الجو مظلم في الخارج. | [ˈɪt ˈɪz ˈdɑːk ˌaʊ̯tˈsaɪ̯d] | [ɪt s ˈdɑːk ˌaʊ̯tˈsaɪ̯d]
English::A1::Weather | I like wet weather. | أحب الطقس الماطر. | [ˈaɪ̯ ˈlaɪ̯k ˈwɛt ˈwɛð.ə] | [aɪ̯ ˈlaɪ̯k ˈwɛt ˈwɛð.ə]
English::A1::Weather | It is very dry here. | الجو جاف جداً هنا. | [ˈɪt ˈɪz ˈvɛɹ.i ˈdɹaɪ̯ ˈhɪə̯] | [ɪt s ˈvɛɹ.i ˈdɹaɪ̯ ˈhɪə̯]
English::A1::Weather | The wind is strong. | الرياح قوية. | [ðə ˈwɪnd ˈɪz ˈstɹɒŋ] | [ðə ˈwɪnd z ˈstɹɒŋ]
English::A1::Weather | Is it cold in London? | هل الجو بارد في لندن؟ | [ˈɪz ˈɪt ˈkʰəʊ̯ld ɪn ˈlʌn.dən] | [ɪz ɪt ˈkʰəʊ̯ld ɪn ˈlʌn.dən]
English::A1::Weather | It is cold in winter. | الجو بارد في الشتاء. | [ˈɪt ˈɪz ˈkʰəʊ̯ld ɪn ˈwɪn.tʰə] | [ɪt s ˈkʰəʊ̯ld ɪn ˈwɪn.tʰə]
English::A1::Weather | The weather is bad today. | الطقس سيئ اليوم. | [ðə ˈwɛð.ə ˈɪz ˈbæd tʰəˈdeɪ̯] | [ðə ˈwɛð.ə z ˈbæd tʰəˈdeɪ̯]
English::A1::Weather | It is a beautiful afternoon. | إنها ظهيرة جميلة. | [ˈɪt ˈɪz ə ˈbjuː.tʰɪ.fəl ˌɑːf.tʰəˈnuːn] | [ɪt s ə ˈbjuː.tʰɪ.fəl ˌɑːf.tʰəˈnuːn]
English::A1::Weather | It is freezing today. | الجو شديد البرودة اليوم. | [ˈɪt ˈɪz ˈfɹiː.zɪŋ tʰəˈdeɪ̯] | [ɪt s ˈfɹiː.zɪŋ tʰəˈdeɪ̯]
English::A1::Weather | Is the weather good? | هل الطقس جيد؟ | [ˈɪz ðə ˈwɛð.ə ˈɡʊd] | [ɪz ðə ˈwɛð.ə ˈɡʊd]
English::A1::Weather | Yes, it is warm and sunny. | نعم، الجو دافئ ومشمس. | [ˈjɛs ˈɪt ˈɪz ˈwɔːm ænd ˈsʌn.i] | [jɛs ɪt s ˈwɔːm ənd ˈsʌn.i]
English::A1::Weather | It is cool in spring. | الجو معتدل البرودة في الربيع. | [ˈɪt ˈɪz ˈkʰuːl ɪn ˈspɹɪŋ] | [ɪt s ˈkʰuːl ɪn ˈspɹɪŋ]
English::A1::Weather | There is a storm today. | توجد عاصفة اليوم. | [ðɛə̯ ˈɪz ə ˈstʰɔːm tʰəˈdeɪ̯] | [ðə z ə ˈstʰɔːm tʰəˈdeɪ̯]
English::A1::Weather | The rain is heavy. | المطر غزير. | [ðə ˈɹeɪ̯n ˈɪz ˈhɛv.i] | [ðə ˈɹeɪ̯n z ˈhɛv.i]
English::A1::Weather | It is hot in the room. | الجو حار في الغرفة. | [ˈɪt ˈɪz ˈhɒt ɪn ðə ˈɹuːm] | [ɪt s ˈhɒt ɪn ðə ˈɹʊm]
English::A1::Weather | The sky is grey. | السماء رمادية. | [ðə ˈskaɪ̯ ˈɪz ˈɡɹeɪ̯] | [ðə ˈskaɪ̯ z ˈɡɹeɪ̯]
