English::A1::Family & people | This is my family. | هذه عائلتي. | [ðɪs ɪz maɪ̯ ˈfæ.məl.i] | [ðɪs ɪz maɪ̯ ˈfæ.məl.i]
English::A1::Family & people | I do not have a sister. | ليس لدي أخت. | [aɪ̯ d uː nɒt hæv ə ˈsɪs.tə] | [aɪ̯ dəʊ̯nt hæv ə ˈsɪs.tə]
English::A1::Family & people | John's father is a doctor. | والد جون طبيب. | [dʒɒnz ˈfɑː.ðə ɹ ɪz ə ˈdɒk.tə] | [dʒɒnz ˈfɑː.ðə ɹ ɪz ə ˈdɒk.tə]
English::A1::Family & people | Mary's mother is nice. | والدة ماري لطيفة. | [ˈmɛː.ɹiz ˈmʌ.ðə ɹ ɪz naɪ̯s] | [ˈmɛː.ɹiz ˈmʌ.ðə ɹ ɪz naɪ̯s]
English::A1::Family & people | Who is this man? | من هذا الرجل؟ | [huː ɪz ðɪs mæn] | [huːz ðɪs mæn]
English::A1::Family & people | Who is that woman? | من تلك المرأة؟ | [huː ɪz ðæt ˈwʊ.mən] | [huːz ðæk ˈwʊ.mən]
English::A1::Family & people | There are many people here. | هناك العديد من الناس هنا. | [ðɛː ɹ ɑː ˈmɛ.ni ˈpiː.pl̩ hɪə] | [ðɛə ɹ ə ˈmɛ.ni ˈpiː.pl̩ hɪə]
English::A1::Family & people | My uncle lives in London. | عمي يعيش في لندن. | [maɪ̯ ˈʌŋ.kl̩ lɪvz ɪn ˈlʌn.dən] | [maɪ̯ ˈʌŋ.kl̩ lɪvz ɪn ˈlʌn.dən]
English::A1::Family & people | My aunt is very kind. | عمتي طيبة جداً. | [maɪ̯ ɑːnt ɪz ˈvɛ.ɹi kaɪ̯nd] | [maɪ̯ ɑːnt ɪz ˈvɛ.ɹi kaɪ̯nd]
English::A1::Family & people | He has three nephews. | لديه ثلاثة أبناء أخ. | [hiː hæz θriː ˈnɛ.fjuːz] | [hiː hæz θriː ˈnɛ.fjuːz]
English::A1::Family & people | She has one niece. | لديها ابنة أخ واحدة. | [ʃiː hæz wʌn niːs] | [ʃiː hæz wʌn niːs]
English::A1::Family & people | They are good friends. | إنهم أصدقاء جيدون. | [ðeɪ̯ ɑː ɡʊd frɛndz] | [ðɛə ɡʊb frɛndz]
English::A1::Family & people | What is your husband's name? | ما اسم زوجك؟ | [wɒt ɪz jɔː ˈhʌz.bəndz neɪ̯m] | [wɒts jə ˈhʌz.bənz neɪ̯m]
English::A1::Family & people | My wife is a teacher. | زوجتي معلمة. | [maɪ̯ waɪ̯f ɪz ə ˈtiː.tʃə] | [maɪ̯ waɪ̯f ɪz ə ˈtiː.tʃə]
English::A1::Family & people | How many baby shoes are there? | كم عدد أحذية الأطفال هناك؟ | [haʊ̯ ˈmɛ.ni ˈbeɪ̯.bi ʃuːz ɑː ðɛː] | [haʊ̯ ˈmɛ.ni ˈbeɪ̯.bi ʃuːz ə ðɛː]
English::A1::Family & people | The baby is sleeping. | الطفل نائم. | [ðə ˈbeɪ̯.bi ɪz ˈsliː.pɪŋ] | [ðə ˈbeɪ̯.bi ɪz ˈsliː.pɪŋ]
English::A1::Family & people | We love our family. | نحن نحب عائلتنا. | [wiː lʌv aʊ̯.ə ˈfæ.məl.i] | [wiː lʌv aʊ̯.ə ˈfæ.məl.i]
