English::A1::Daily routines | I wake up at seven o'clock. | أستيقظ في الساعة السابعة. | [aɪ̯ weɪ̯k ʌp æt ˈsɛ.vn̩ ə.ˈklɒk] | [aɪ̯ weɪ̯k ʌp ət ˈsɛ.vn̩ ə.ˈklɒk]
English::A1::Daily routines | He cooks dinner in the evening. | هو يطبخ العشاء في المساء. | [hiː kʊks ˈdɪ.nə ɹ ɪn ðə ˈiːv.nɪŋ] | [hiː kʊks ˈdɪ.nə ɹ ɪn ðə ˈiːv.nɪŋ]
English::A1::Daily routines | They watch television after dinner. | هم يشاهدون التلفزيون بعد العشاء. | [ðeɪ̯ wɒtʃ ˈtɛ.lɪ.vɪ.ʒn̩ ˈɑːf.tə ˈdɪ.nə] | [ðeɪ̯ wɒtʃ ˈtɛ.lɪ.vɪ.ʒn̩ ˈɑːf.tə ˈdɪ.nə]
English::A1::Daily routines | I read a book in bed. | أقرأ كتاباً في السرير. | [aɪ̯ riːd ə bʊk ɪn bɛd] | [aɪ̯ riːd ə bʊk ɪm bɛd]
English::A1::Daily routines | She goes to sleep late. | هي تذهب إلى النوم متأخرة. | [ʃiː ɡəʊ̯z t ə sliːp leɪ̯t] | [ʃiː ɡəʊ̯z tə sliːp leɪ̯t]
English::A1::Daily routines | I always wake up early. | أنا دائماً أستيقظ مبكراً. | [aɪ̯ ˈɔːl.weɪ̯z weɪ̯k ʌp ˈɜː.li] | [aɪ̯ ˈɔːl.weɪ̯z weɪ̯k ʌp ˈɜː.li]
English::A1::Daily routines | He usually drinks tea. | هو عادة ما يشرب الشاي. | [hiː ˈjuː.ʒu.ə.li drɪŋks tiː] | [hiː ˈjuː.ʒə.li drɪŋks tiː]
English::A1::Daily routines | She often reads books. | هي غالباً ما تقرأ الكتب. | [ʃiː ˈɒf.n̩ riːdz bʊks] | [ʃiː ˈɒf.n̩ riːdz bʊks]
English::A1::Daily routines | We sometimes play football. | نحن أحياناً نلعب كرة القدم. | [wiː ˈsʌm.taɪ̯mz pleɪ̯ ˈfʊt.bɔːl] | [wiː ˈsʌm.taɪ̯mz pleɪ̯ ˈfʊt.bɔːl]
English::A1::Daily routines | They never arrive late. | هم لا يصلون متأخرين أبداً. | [ðeɪ̯ ˈnɛ.və ɹ ə.ˈraɪ̯v leɪ̯t] | [ðeɪ̯ ˈnɛ.və ɹ ə.ˈraɪ̯v leɪ̯t]
English::A1::Daily routines | Does he take a shower? | هل يأخذ حماماً؟ | [dʌz hiː teɪ̯k ə ˈʃaʊ̯.ə] | [dəz i teɪ̯k ə ˈʃaʊ̯.ə]
English::A1::Daily routines | She does not eat breakfast. | هي لا تتناول الفطور. | [ʃiː dʌz nɒt iːt ˈbrɛk.fəst] | [ʃiː ˈdʌz.nt iːt ˈbrɛk.fəst]
English::A1::Daily routines | I take a shower every day. | أستحم كل يوم. | [aɪ̯ teɪ̯k ə ˈʃaʊ̯.ə ˈɛv.ɹi deɪ̯] | [aɪ̯ teɪ̯k ə ˈʃaʊ̯.ə ˈɛv.ɹi deɪ̯]
English::A1::Daily routines | He listens to the radio. | هو يستمع إلى الراديو. | [hiː ˈlɪs.n̩z t ə ðə ˈreɪ̯.dɪ.əʊ̯] | [hiː ˈlɪs.n̩z tə ðə ˈreɪ̯.dɪ.əʊ̯]
English::A1::Daily routines | What time do you wake up? | في أي وقت تستيقظ؟ | [wɒt taɪ̯m d uː j uː weɪ̯k ʌp] | [wɒt taɪ̯m də jə weɪ̯k ʌp]
English::A1::Daily routines | She cleans her room on Saturday. | هي تنظف غرفتها يوم السبت. | [ʃiː kliːnz hɜː ruːm ɒn ˈsæ.tə.deɪ̯] | [ʃiː kliːnz hə ruːm ɒn ˈsæ.tə.deɪ̯]
English::A1::Daily routines | He feeds the cat every morning. | هو يطعم القط كل صباح. | [hiː fiːdz ðə kæt ˈɛv.ɹi ˈmɔː.nɪŋ] | [hiː fiːdz ðə kæt ˈɛv.ɹi ˈmɔː.nɪŋ]
English::A1::Daily routines | We catch the bus at eight thirty. | نلحق بالحافلة في الساعة الثامنة والنصف. | [wiː kætʃ ðə bʌs æt eɪ̯t ˈθɜː.ti] | [wiː kætʃ ðə bʌs ət eɪ̯t ˈθɜː.ti]
English::A1::Daily routines | They sleep at ten o'clock. | هم ينامون في الساعة العاشرة. | [ðeɪ̯ sliːp æt tɛn ə.ˈklɒk] | [ðeɪ̯ sliːp ət tɛm ə.ˈklɒk]
