English::A1::Days, months, dates | Today is Monday. | اليوم هو الاثنين. | [tə.ˈdeɪ̯ ɪz ˈmʌn.deɪ̯] | [tə.ˈdeɪ̯ ɪz ˈmʌn.deɪ̯]
English::A1::Days, months, dates | May is nice and warm. | أيار (مايو) لطيف ودافئ. | [meɪ̯ ɪz naɪ̯s ænd wɔːm] | [meɪ̯ ɪz naɪ̯s ən wɔːm]
English::A1::Days, months, dates | Summer begins in June. | الصيف يبدأ في حزيران (يونيو). | [ˈsʌ.mə bɪ.ˈɡɪnz ɪn dʒuːn] | [ˈsʌ.mə bɪ.ˈɡɪnz ɪn dʒuːn]
English::A1::Days, months, dates | July is very hot. | تموز (يوليو) حار جداً. | [dʒuː.ˈlaɪ̯ ɪz ˈvɛ.ɹi hɒt] | [dʒuː.ˈlaɪ̯ ɪz ˈvɛ.ɹi hɒt]
English::A1::Days, months, dates | We go on holiday in August. | نذهب في عطلة في آب (أغسطس). | [wiː ɡəʊ̯ ɒn ˈhɒ.lə.deɪ̯ ɪn ˈɔː.ɡəst] | [wiː ɡəʊ̯ ɒn ˈhɒ.lə.deɪ̯ ɪn ˈɔː.ɡəst]
English::A1::Days, months, dates | School starts in September. | المدرسة تبدأ في أيلول (سبتمبر). | [skuːl stɑːts ɪn sɛp.ˈtɛm.bə] | [skuːl stɑːts ɪn sɛp.ˈtɛm.bə]
English::A1::Days, months, dates | Autumn is in October. | الخريف في تشرين الأول (أكتوبر). | [ˈɔː.təm ɪz ɪn ɒk.ˈtəʊ̯.bə] | [ˈɔː.təm ɪz ɪn ɒk.ˈtəʊ̯.bə]
English::A1::Days, months, dates | November is usually wet. | تشرين الثاني (نوفمبر) عادة ما يكون ماطراً. | [nəʊ̯.ˈvɛm.bə ɹ ɪz ˈjuː.ʒu.ə.li wɛt] | [nəʊ̯.ˈvɛm.bə ɹ ɪz ˈjuː.ʒə.li wɛt]
English::A1::Days, months, dates | Christmas is in December. | عيد الميلاد في كانون الأول (ديسمبر). | [ˈkrɪs.məs ɪz ɪn dɪ.ˈsɛm.bə] | [ˈkrɪs.məs ɪz ɪn dɪ.ˈsɛm.bə]
English::A1::Days, months, dates | My birthday is in May. | عيد ميلادي في شهر مايو. | [maɪ̯ ˈbɜːθ.deɪ̯ ɪz ɪn meɪ̯] | [maɪ̯ ˈbɜːθ.deɪ̯ ɪz ɪn meɪ̯]
English::A1::Days, months, dates | What is the date today? | ما هو تاريخ اليوم؟ | [wɒt ɪz ðə deɪ̯t tə.ˈdeɪ̯] | [wɒts ðə deɪ̯t tə.ˈdeɪ̯]
English::A1::Days, months, dates | It is the first of June. | إنه الأول من يونيو. | [ɪt ɪz ðə fɜːst əv dʒuːn] | [ɪts ðə fɜːst əv dʒuːn]
English::A1::Days, months, dates | Her party is at five o'clock. | حفلتها في الساعة الخامسة. | [hɜː ˈpɑː.ti ɪz æt faɪ̯v ə.ˈklɒk] | [hə ˈpɑː.ti ɪz ət faɪ̯v ə.ˈklɒk]
English::A1::Days, months, dates | We meet at the weekend. | نلتقي في عطلة نهاية الأسبوع. | [wiː miːt æt ðə ˌwiːk.ˈɛnd] | [wiː miːt ət ðə ˌwiːk.ˈɛnd]
English::A1::Days, months, dates | See you on Sunday morning. | أراك صباح يوم الأحد. | [siː j uː ɒn ˈsʌn.deɪ̯ ˈmɔː.nɪŋ] | [siː jə ɒn ˈsʌn.deɪ̯ ˈmɔː.nɪŋ]
English::A1::Days, months, dates | He was born in nineteen ninety. | ولد عام ألف وتسعمائة وتسعين. | [hiː wɒz bɔːn ɪn ˌnaɪ̯n.ˈtiːn ˈnaɪ̯n.ti] | [hiː wəz bɔːn ɪn ˌnaɪ̯n.ˈtiːn ˈnaɪ̯n.ti]
English::A1::Days, months, dates | The test is on Tuesday afternoon. | الاختبار بعد ظهر يوم الثلاثاء. | [ðə tɛst ɪz ɒn ˈtjuːz.deɪ̯ ˌɑːf.tə.ˈnuːn] | [ðə tɛst ɪz ɒn ˈtjuːz.deɪ̯ ˌɑːf.tə.ˈnuːn]
English::A1::Days, months, dates | What day is it? | ما هو اليوم؟ | [wɒt deɪ̯ ɪz ɪt] | [wɒt deɪ̯ ɪz ɪt]
English::A1::Days, months, dates | It is Friday today. | اليوم هو الجمعة. | [ɪt ɪz ˈfraɪ̯.deɪ̯ tə.ˈdeɪ̯] | [ɪts ˈfraɪ̯.deɪ̯ tə.ˈdeɪ̯]
English::A1::Days, months, dates | I will call you in a week. | سأتصل بك خلال أسبوع. | [aɪ̯ wɪl kɔːl j uː ɪn ə wiːk] | [aɪ̯l kɔːl jə ɪn ə wiːk]
